model_id,output,output_label,input,N_base,S1_mean,S1_std,S1_ci_lo,S1_ci_hi,n_repeats
bnn-baseline,iteration2_max_global_stress,Max stress,SS316_alpha,8192,-0.0033067061670040533,0.023407286483261205,-0.0334135820218872,0.03350139386749112,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,256,0.0015459531671243253,0.08975087573829643,-0.14874518254471703,0.12562717538351872,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,256,0.0034783549413306136,0.07027438582488787,-0.08270991752401077,0.14400603223390365,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,nu,256,0.025791502158583092,0.06707577556897751,-0.05420844830128569,0.13688061577138627,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_base,256,0.7857055532104117,0.019104491871060936,0.7619660242382904,0.8109019868002151,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_slope,256,0.17124895475246293,0.08272953205804719,0.07526032348502584,0.3104447383969184,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_T_ref,256,-0.006918009302865491,0.07870265397535053,-0.09505006719200534,0.13361464263731532,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_k_ref,256,0.0015197520142065713,0.07874851478724432,-0.1107500244031875,0.12074753016953604,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_alpha,256,-0.004984098195118264,0.07012605598359438,-0.09848719289521626,0.12008774762806237,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,512,0.01689718057201754,0.058951660023017695,-0.07208008748970458,0.11114783477146668,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,512,0.01706111034921113,0.04045908720528472,-0.03429791188730334,0.08397712048316425,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,nu,512,0.05163211511207712,0.04210334817724843,-0.020262363495534653,0.0963954490256968,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_base,512,0.7753522416360009,0.018732891483300027,0.7531615236796618,0.8074005072378636,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_slope,512,0.19485564629841234,0.0522728864613644,0.1217773242593147,0.28163233597522586,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_T_ref,512,0.021907934806767903,0.043833007167986625,-0.03532973569345478,0.08714649705260297,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_k_ref,512,0.01014454169967951,0.052600770284236105,-0.07180644781422095,0.08987827839718908,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_alpha,512,0.017867507455906585,0.03873131360588727,-0.03566856586031888,0.07996638400196655,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,1024,-0.01287535987106252,0.037170627561091844,-0.06088223196956792,0.04272237083375826,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,1024,-0.0009961371819092013,0.05419235388672838,-0.07848590471207348,0.06621269530922248,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,nu,1024,0.020745757779783474,0.046700885035183236,-0.06480532823671317,0.07942528154024893,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_base,1024,0.7800882147399608,0.01868144600864088,0.7549662480352746,0.8095354519097788,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_slope,1024,0.1670921620509897,0.034537875677769614,0.11262071974981852,0.21256154776949568,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_T_ref,1024,-0.006290802882995444,0.06021383241556818,-0.09033493753508594,0.06649798456315746,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_k_ref,1024,-0.012719384634803339,0.05656268697029311,-0.10399451451088172,0.04722302785938177,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_alpha,1024,0.0032965047778862056,0.044675379049411656,-0.06276307019833555,0.05234820196071253,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,2048,-0.03056741771761167,0.04492771449984251,-0.08835537381827836,0.04781747964442223,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,2048,-0.02460275115387408,0.04947785551577565,-0.08886465042915005,0.047191112053105694,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,nu,2048,0.011494710100790095,0.04997349147516289,-0.06996886131277813,0.0882471430719452,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_base,2048,0.7749616012807337,0.015550877895826506,0.7484202077409717,0.8009825274141509,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_slope,2048,0.16267087439402625,0.03238007970611572,0.11739825291980381,0.20513371485345477,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_T_ref,2048,-0.023920512243713537,0.038506939438028374,-0.0731968807904685,0.047631902958467566,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_k_ref,2048,-0.02948324537644991,0.05442631330729059,-0.092009402713401,0.06477198178624474,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_alpha,2048,-0.011665585948393908,0.05333975070673069,-0.08250037818615234,0.07773699074573358,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,4096,0.02095206831069294,0.032859890111729705,-0.02522034646954312,0.07354607753003459,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,4096,0.014496804229693844,0.044417301792296165,-0.05075496045304295,0.06810938867188257,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,nu,4096,0.049084117982421994,0.03629216734896497,-0.012320922621097885,0.08848117041076577,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_base,4096,0.7801450298081736,0.012304203624832965,0.7605037005566871,0.797309163136081,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_slope,4096,0.1866218785141575,0.039892755561186044,0.1109482656223717,0.24361718656109524,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_T_ref,4096,0.021657015573811757,0.03918711215997627,-0.029288728810886587,0.08034264716403315,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_k_ref,4096,0.010489261208957013,0.04728289010693473,-0.07075242507661006,0.055258522137542954,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_alpha,4096,0.012447477110998246,0.05325068663688339,-0.06638622184071087,0.08470597979594983,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,8192,0.009070176574193272,0.04188186088241761,-0.04395055281923995,0.09021675855102858,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,8192,0.006203239377356407,0.05032280820434151,-0.07165291802088222,0.08849245364174953,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,nu,8192,0.0189952849300546,0.04010380251117026,-0.043600376065543754,0.06963464494568954,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_base,8192,0.7781454339700942,0.008812412440005045,0.7666256010024705,0.7884218836490637,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,alpha_slope,8192,0.19994624487048762,0.040042481320608524,0.14351889074639337,0.26152741205208513,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_T_ref,8192,0.009336243673104988,0.038056479820510206,-0.03647695584335074,0.07057155176424552,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_k_ref,8192,0.0047667985537009575,0.0526402296540662,-0.08701704267905587,0.08530069398104645,20
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,SS316_alpha,8192,0.00804824997743856,0.04299355196092234,-0.059318124232288126,0.07248355210223739,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_slope,256,0.05550074318913108,0.0597171854070852,-0.012644924463000582,0.17600240760959782,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_intercept,256,0.5474815899685316,0.04359262077417024,0.4969143748569554,0.6031955510467252,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,nu,256,0.06923650208130343,0.08224054674844959,-0.07445421726123999,0.17390172112276808,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_base,256,0.22339887328635283,0.060576659966312826,0.11302488973047356,0.29634682636550985,20
