sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,keff_mean,keff_std,sample_source
0.5,110.0,0.99815,161.19782476568437,19.3490918044595,130.19642090368782,160.87785624018665,193.83238210132433,161.35409545898438,12.515947059766921,1.1035800325238532,0.0006986512510915622,predictive
0.5,120.0,0.9877,161.19782476568437,19.3490918044595,130.19642090368782,160.87785624018665,193.83238210132433,161.35409545898438,12.515947059766921,1.1035800325238532,0.0006986512510915622,predictive
0.5,131.0,0.94515,161.19782476568437,19.3490918044595,130.19642090368782,160.87785624018665,193.83238210132433,161.35409545898438,12.515947059766921,1.1035800325238532,0.0006986512510915622,predictive
1.0,110.0,0.959,162.59964759570897,32.15081597981052,112.60648571028429,161.048549032057,218.5275941630878,162.58761596679688,9.753980441544009,1.1035685627847087,0.000846534256916449,predictive
1.0,120.0,0.91395,162.59964759570897,32.15081597981052,112.60648571028429,161.048549032057,218.5275941630878,162.58761596679688,9.753980441544009,1.1035685627847087,0.000846534256916449,predictive
1.0,131.0,0.83625,162.59964759570897,32.15081597981052,112.60648571028429,161.048549032057,218.5275941630878,162.58761596679688,9.753980441544009,1.1035685627847087,0.000846534256916449,predictive
2.0,110.0,0.8069,165.31590764347732,63.50955918165931,69.1925579427241,161.5790804198336,276.97454662097226,165.26976013183594,4.185351051874164,1.1034894570687703,0.0014054017415461504,predictive
2.0,120.0,0.75665,165.31590764347732,63.50955918165931,69.1925579427241,161.5790804198336,276.97454662097226,165.26976013183594,4.185351051874164,1.1034894570687703,0.0014054017415461504,predictive
2.0,131.0,0.69335,165.31590764347732,63.50955918165931,69.1925579427241,161.5790804198336,276.97454662097226,165.26976013183594,4.185351051874164,1.1034894570687703,0.0014054017415461504,predictive
3.0,110.0,0.7142,168.96754230586993,98.90704897326567,20.38583519444189,160.62214504905117,344.1972888280231,168.9680938720703,1.4753781765367058,1.1033078265843328,0.0021509774153641876,predictive
3.0,120.0,0.67495,168.96754230586993,98.90704897326567,20.38583519444189,160.62214504905117,344.1972888280231,168.9680938720703,1.4753781765367058,1.1033078265843328,0.0021509774153641876,predictive
3.0,131.0,0.6284,168.96754230586993,98.90704897326567,20.38583519444189,160.62214504905117,344.1972888280231,168.9680938720703,1.4753781765367058,1.1033078265843328,0.0021509774153641876,predictive
