output,input,level,S1_raw_mean,S1_raw_std,S1_ci_low,S1_ci_high,S1_plot,ST_mean,ST_std,ST_ci_low,ST_ci_high
iteration1_avg_fuel_temp,E_slope,0,-0.0011507260799407959,0.007171742734157341,-0.003138631744678015,0.0008371795847964228,0.0,0.007186633283272386,0.00017185285500030938,0.007138998102170687,0.007234268464374085
iteration1_avg_fuel_temp,E_intercept,0,-0.002339375019073486,0.007142566685257663,-0.004319193495656829,-0.0003595565424901431,0.0,0.0022324873181059956,5.43154632694162e-05,0.002217431839804767,0.002247542796407224
iteration1_avg_fuel_temp,nu,0,0.005458083152770996,0.007382360831538604,0.003411797129953409,0.007504369175588584,0.005458083152770996,0.02575127623975277,0.0006337560143714469,0.025575608035003885,0.025926944444501655
iteration1_avg_fuel_temp,alpha_base,0,0.16355398893356324,0.008210319307625651,0.16127820452997668,0.1658297733371498,0.16355398893356324,0.20314445734024048,0.0032082964430089522,0.2022551629372444,0.20403375174323654
iteration1_avg_fuel_temp,alpha_slope,0,0.03914736747741699,0.007305330139948498,0.03712243327295748,0.0411723016818765,0.03914736747741699,0.05201939187943935,0.0009700723337164849,0.0517505015470777,0.052288282211801006
iteration1_avg_fuel_temp,SS316_T_ref,0,0.16753003120422363,0.006541691889160695,0.16571676672368227,0.169343295684765,0.16753003120422363,0.18850304543972016,0.0022043490400149,0.18789203105923588,0.18911405982020443
iteration1_avg_fuel_temp,SS316_k_ref,0,0.49971006155014036,0.006121352363890259,0.49801330924165704,0.5014068138586237,0.49971006155014036,0.5678022134304047,0.005956078307989602,0.5661512727529485,0.5694531541078609
iteration1_avg_fuel_temp,SS316_alpha,0,0.025932700634002687,0.006564472179778143,0.024113121779055915,0.02775227948894946,0.025932700634002687,0.04457395531237125,0.0007533754854184234,0.04436513028187977,0.04478278034286273
iteration1_max_fuel_temp,E_slope,0,-0.0003736484050750732,0.006527225436587692,-0.0021829029895445097,0.0014356061793943632,0.0,0.008137572268024086,0.00018440760575570367,0.008086457087559451,0.008188687448488722
iteration1_max_fuel_temp,E_intercept,0,-0.000932847261428833,0.006835194266346266,-0.0028274664502814873,0.0009617719274238214,0.0,0.003282625395804644,6.568451851289036e-05,0.003264418576168544,0.0033008322154407434
iteration1_max_fuel_temp,nu,0,0.007161198854446411,0.007035159972268624,0.005211151999782074,0.009111245709110748,0.007161198854446411,0.021767885386943818,0.00041931856608176725,0.021651656210334713,0.021884114563552923
iteration1_max_fuel_temp,alpha_base,0,0.18502302169799806,0.006944436516576973,0.18309812210226076,0.18694792129373536,0.18502302169799806,0.20447629064321518,0.0021834500740052173,0.20387106916056033,0.20508151212587003
iteration1_max_fuel_temp,alpha_slope,0,0.03890061259269714,0.007013532686036489,0.03695656051592814,0.040844664669466145,0.03890061259269714,0.04369188562035561,0.0006633817437586431,0.043508005582380986,0.04387576565833023
iteration1_max_fuel_temp,SS316_T_ref,0,0.17709478378295898,0.007091527247018294,0.17512911271686735,0.17906045484905062,0.17709478378295898,0.1859699520468712,0.002180379233995295,0.18536558175763995,0.18657432233610244
iteration1_max_fuel_temp,SS316_k_ref,0,0.5126315593719483,0.006590194876197187,0.5108048505493187,0.5144582681945779,0.5126315593719483,0.5438342726230622,0.006154707269424091,0.5421282748064624,0.5455402704396619
iteration1_max_fuel_temp,SS316_alpha,0,0.02730173707008362,0.006781516773912227,0.025421996523038667,0.02918147761712857,0.02730173707008362,0.039074707254767416,0.0006374936383548224,0.038898003033506975,0.039251411476027856
iteration1_max_monolith_temp,E_slope,0,-0.0003541457653045654,0.006089581074495734,-0.0020420915216701543,0.0013337999910610233,0.0,0.00786561170592904,0.0001694136270824253,0.007818652644311168,0.007912570767546914
iteration1_max_monolith_temp,E_intercept,0,-0.00034033536911010743,0.005876094144509536,-0.0019691055675676245,0.0012884348293474097,0.0,0.003166475659236312,5.393632628863912e-05,0.003151525272344485,0.003181426046128139
iteration1_max_monolith_temp,nu,0,0.013300625085830688,0.00659682272487622,0.011472079117276855,0.015129171054384521,0.013300625085830688,0.028157291822135447,0.0005544370297240788,0.02800360971821959,0.028310973926051305
iteration1_max_monolith_temp,alpha_base,0,0.1908329927921295,0.007892723615296174,0.18864524142308992,0.1930207441611691,0.1908329927921295,0.21845199346542357,0.0025480228798637743,0.21774571755669128,0.21915826937415586
iteration1_max_monolith_temp,alpha_slope,0,0.038785659074783325,0.006691689951794537,0.0369308172525187,0.04064050089704795,0.038785659074783325,0.0473480411618948,0.0007380040227884098,0.0471434768834646,0.047552605440324996
iteration1_max_monolith_temp,SS316_T_ref,0,0.17094099521636963,0.007913977387858729,0.16874735260214177,0.1731346378305975,0.17094099521636963,0.1846972906589508,0.0028369833303480006,0.18391091899975792,0.18548366231814367
iteration1_max_monolith_temp,SS316_k_ref,0,0.4875172865390778,0.00606882590456221,0.48583509382230283,0.4891994792558527,0.4875172865390778,0.5396709120273591,0.007473709257375513,0.5375993055127284,0.5417425185419897
iteration1_max_monolith_temp,SS316_alpha,0,0.028193485736846925,0.006805949872389004,0.026306972680431587,0.03007999879326226,0.028193485736846925,0.04398862630128861,0.000730746931102579,0.04378607358604556,0.044191179016531655
iteration1_max_global_stress,E_slope,0,0.016761387586593627,0.006995929763315523,0.014822214791066306,0.018700560382120947,0.016761387586593627,0.024517195858061315,0.0005241083479716392,0.024371920435825842,0.024662471280296788
iteration1_max_global_stress,E_intercept,0,0.023148889541625976,0.0069480638581941685,0.02122298449808944,0.02507479458516251,0.023148889541625976,0.030170016214251517,0.0005120556490516688,0.030028081629710105,0.03031195079879293
iteration1_max_global_stress,nu,0,0.027186449766159058,0.00703643085457972,0.025236050640890618,0.029136848891427498,0.027186449766159058,0.05681308351457119,0.0008656862945158351,0.05657312751607209,0.057053039513070294
iteration1_max_global_stress,alpha_base,0,0.022933261394500734,0.007503340369839143,0.020853441554531633,0.025013081234469835,0.022933261394500734,0.09668793454766274,0.0014374626992856244,0.09628949021569465,0.09708637887963083
iteration1_max_global_stress,alpha_slope,0,0.0052390205860137935,0.00665441554602956,0.0033945107019009656,0.007083530470126621,0.0052390205860137935,0.023558011166751384,0.0004065395489535558,0.023445324152972236,0.023670698180530532
