level,ood_feature,output,MAE,RMSE,R2,PICP90,MPIW90,CRPS
0,alpha_slope,iteration1_keff,0.0020080837421119213,0.002604133216664195,-119301592.0,0.9907407407407407,0.020669626446309562,0.0018567851137767917
0,alpha_slope,iteration1_avg_fuel_temp,3.061232328414917,3.7189548015594482,0.7575307488441467,0.8634259259259259,11.706553951026045,2.133783991768813
0,alpha_slope,iteration1_max_fuel_temp,5.440797805786133,6.624971866607666,0.7485553026199341,0.8657407407407407,20.574811913827915,3.808865019613584
0,alpha_slope,iteration1_max_monolith_temp,6.199142932891846,7.566742420196533,0.7517012357711792,0.8634259259259259,23.87501365099409,4.329565162252986
0,alpha_slope,iteration1_max_global_stress,8.687274932861328,10.82409954071045,0.9269134998321533,0.9305555555555556,36.65919412310059,6.0484865071870395
0,alpha_slope,iteration1_monolith_new_temperature,1.0020533800125122,1.2221745252609253,0.7666059136390686,0.875,3.9571216172035006,0.6998040105644123
0,alpha_slope,iteration1_Hcore_after,0.021476075053215027,0.24465513229370117,0.4297974705696106,0.9953703703703703,0.22566035811919696,0.02954183378445466
0,alpha_slope,iteration1_wall2,0.0010215220972895622,0.001400443259626627,0.9971204996109009,1.0,0.008951601797743677,0.0008719096848561786
0,alpha_slope,iteration2_keff,0.00023965814034454525,0.0005634966073557734,0.6449511051177979,0.9351851851851852,0.0013666782076412456,0.00019363053329761776
0,alpha_slope,iteration2_avg_fuel_temp,1.9097816944122314,2.306373119354248,0.4685910940170288,0.8564814814814815,6.914464600985832,1.3356702136240501
0,alpha_slope,iteration2_max_fuel_temp,3.6172993183135986,4.363813400268555,0.46846163272857666,0.8680555555555556,13.162814609763684,2.529094037544368
0,alpha_slope,iteration2_max_monolith_temp,3.9877657890319824,4.816872596740723,0.48409271240234375,0.8634259259259259,14.53237849436915,2.7880006332256646
0,alpha_slope,iteration2_max_global_stress,6.318292140960693,8.106781959533691,0.930046021938324,0.8981481481481481,26.122764282412028,4.479947390503477
0,alpha_slope,iteration2_monolith_new_temperature,0.5088093876838684,0.609691858291626,0.4956662058830261,0.8680555555555556,1.8924868148690093,0.3534989783862109
0,alpha_slope,iteration2_Hcore_after,0.00936133787035942,0.014142725616693497,0.9957534074783325,1.0,0.5579008911585751,0.04036430608128967
0,alpha_slope,iteration2_wall2,0.00087030726717785,0.0013439763570204377,0.9973288178443909,0.9884259259259259,0.008233647175861157,0.0007950058207149396
