output,input,level,S1_raw_mean,S1_raw_std,S1_ci_low,S1_ci_high,S1_plot,ST_mean,ST_std,ST_ci_low,ST_ci_high
iteration2_max_global_stress,E_slope,0,0.03546714782714844,0.03472500032292322,0.02024824542395978,0.05068605023033709,0.03546714782714844,0.049115554057061674,0.002645886086885543,0.04795594335146627,0.05027516476265708
iteration2_max_global_stress,E_intercept,0,0.710869413614273,0.018423167915923033,0.7027951042733772,0.7189437229551688,0.710869413614273,0.7460913896560669,0.053496739427715836,0.7226454098528137,0.7695373694593202
iteration2_max_global_stress,nu,0,0.044482937455177306,0.043528373879353155,0.02540578647810237,0.06356008843225225,0.044482937455177306,0.05848634522408247,0.0034056100031554424,0.05699377083158834,0.0599789196165766
iteration2_max_global_stress,alpha_base,0,0.09033196568489074,0.047961641105859674,0.06931184967916126,0.11135208169062022,0.09033196568489074,0.12166467979550362,0.00619240486783252,0.1189507387026835,0.12437862088832374
iteration2_max_global_stress,alpha_slope,0,4.7820806503295896e-05,0.03895148805116887,-0.017023421514504845,0.017119063127511436,4.7820806503295896e-05,0.016281119314953685,0.0016285929076279935,0.01556735700292416,0.01699488162698321
iteration2_max_global_stress,SS316_T_ref,0,-0.008178138732910156,0.037956610984338585,-0.024813356954783428,0.008457079488963114,0.0,0.011370406486093998,0.0008400224054224502,0.01100225043466909,0.011738562537518905
iteration2_max_global_stress,SS316_k_ref,0,0.011169832944869996,0.04275903569451277,-0.007570140706323017,0.02990980659606301,0.011169832944869996,0.035171169135719535,0.0029267181498269347,0.033888478351856426,0.036453859919582644
iteration2_max_global_stress,SS316_alpha,0,-0.012612107396125793,0.03849271366033729,-0.02948228297518378,0.004258068182932194,0.0,0.002661371836438775,0.00027979463821521346,0.0025387464296040964,0.0027839972432734538
iteration2_keff,E_slope,0,0.002205124497413635,0.04047447016090402,-0.015533594162667736,0.019943843157495006,0.002205124497413635,0.0045285272179171445,0.0003785583125820614,0.004362616722322448,0.004694437713511841
iteration2_keff,E_intercept,0,0.019791755080223083,0.04318360822770218,0.0008657043120942724,0.0387178058483519,0.019791755080223083,0.02672042213380337,0.002491468794238156,0.025628487790607123,0.027812356476999613
iteration2_keff,nu,0,0.03756056129932404,0.036936765894012,0.02137230989535474,0.05374881270329333,0.03756056129932404,0.0461634011939168,0.004216483225513154,0.04431544594274274,0.04801135644509086
iteration2_keff,alpha_base,0,0.7396311223506927,0.014981637831365347,0.7330651300720705,0.7461971146293149,0.7396311223506927,0.7637634962797165,0.03239123716965116,0.7495674106751316,0.7779595818843015
iteration2_keff,alpha_slope,0,0.1594488501548767,0.035701344147618726,0.14380204620404752,0.17509565410570588,0.1594488501548767,0.16573828756809234,0.011685955785648967,0.1606166916304138,0.17085988350577086
iteration2_keff,SS316_T_ref,0,-0.0036181211471557617,0.045091326039163104,-0.023380266110114067,0.016144023815802544,0.0,0.005067119945306331,0.0006526039064187668,0.004781103672668013,0.005353136217944648
iteration2_keff,SS316_k_ref,0,-0.0015012383460998534,0.04730900863022559,-0.022235325558180342,0.019232848865980638,0.0,0.012281907629221678,0.0012272814996572088,0.011744027796512443,0.012819787461930913
iteration2_keff,SS316_alpha,0,-0.0027835339307785032,0.043831801709773674,-0.021993668017850212,0.016426600156293204,0.0,0.005410363641567528,0.0005082175465889827,0.005187627481187426,0.00563309980194763
iteration2_max_global_stress,E_slope,2,0.02363438904285431,0.04533477449728468,0.0037655480888260408,0.04350322999688258,0.02363438904285431,0.01859653936699033,0.0011184256067296508,0.018106367732843236,0.019086711001137423
iteration2_max_global_stress,E_intercept,2,0.20241625010967254,0.05063877066190892,0.18022283034425068,0.2246096698750944,0.20241625010967254,0.19695375189185144,0.013318145141585953,0.19111681742917566,0.2027906863545272
iteration2_max_global_stress,nu,2,0.06010130047798157,0.04490855385753375,0.04041925895543702,0.07978334200052611,0.06010130047798157,0.056447830982506275,0.005015680546526538,0.054249612062036774,0.058646049902975776
iteration2_max_global_stress,alpha_base,2,0.05191942751407623,0.05472591491532164,0.02793473780129658,0.07590411722685589,0.05191942751407623,0.0526670541614294,0.005469820470284026,0.050269799643759515,0.05506430867909929
iteration2_max_global_stress,alpha_slope,2,0.01110897958278656,0.0458893312972508,-0.009002906604855074,0.031220865770428194,0.01110897958278656,0.009046092629432678,0.0006468567782130832,0.008762595146785651,0.009329590112079705
iteration2_max_global_stress,SS316_T_ref,2,0.12814338207244874,0.044685930327334616,0.10855890961389977,0.1477278545309977,0.12814338207244874,0.13037120811641217,0.007094637680137738,0.12726184605922236,0.133480570173602
iteration2_max_global_stress,SS316_k_ref,2,0.5286417216062546,0.029737618919222178,0.5156086354773511,0.541674807735158,0.5286417216062546,0.5310309708118439,0.033124920375209345,0.5165133343650297,0.5455486072586582
iteration2_max_global_stress,SS316_alpha,2,0.017073538899421693,0.04252219083142567,-0.0015626329138303842,0.03570971071267377,0.017073538899421693,0.01784940897487104,0.0014448476256880148,0.017216176583270196,0.01848264136647188
iteration2_keff,E_slope,2,0.015551567077636719,0.054681673083729,-0.008413732797536443,0.039516866952809884,0.015551567077636719,0.032828790694475175,0.002061577090772205,0.03192526469737388,0.03373231669157647
iteration2_keff,E_intercept,2,-0.003968334197998047,0.05651878653343924,-0.02873878454213373,0.02080211614613764,0.0,0.0446330526843667,0.005355782802333888,0.042285777378293095,0.04698032799044031
iteration2_keff,nu,2,-0.009325945377349853,0.05748502472869309,-0.034519868281746226,0.015867977527046516,0.0,0.04055409524589777,0.004177879872361177,0.038723058660197936,0.04238513183159761
iteration2_keff,alpha_base,2,0.48052532970905304,0.0337962183498976,0.4657134839529449,0.4953371754651612,0.48052532970905304,0.5165692776441574,0.030292381324001857,0.503293056171358,0.5298454991169568
iteration2_keff,alpha_slope,2,0.06488029658794403,0.05194481972275823,0.04211447558404843,0.08764611759183963,0.06488029658794403,0.10261836461722851,0.006244864040302056,0.09988143227837407,0.10535529695608295
iteration2_keff,SS316_T_ref,2,-0.0009870171546936036,0.05319454584410769,-0.024300554780465736,0.022326520471078526,0.0,0.15740424618124962,0.012459403014030309,0.15194367204995587,0.16286482031254337
iteration2_keff,SS316_k_ref,2,0.15548425614833833,0.046288067165665525,0.1351976162613555,0.17577089603532114,0.15548425614833833,0.34362016022205355,0.028690103793721125,0.3310461678386537,0.3561941526054534
iteration2_keff,SS316_alpha,2,-0.00743061900138855,0.05575972109989267,-0.03186839425140326,0.017007156248626164,0.0,0.015765277110040186,0.0017039806685291074,0.01501847465503357,0.016512079565046803
