run_tag,n_cases,mean_accept_rate,mean_obs_fit_error,mean_obs_coverage90,mean_feasible_fraction_110,mean_feasible_fraction_120,mean_feasible_fraction_131
full,20,0.4494187500000001,1.050578085815306,1.0,0.04658333333333334,0.073375,0.1365
reduced_maintext,20,0.44738750000000005,2.380282897397419,0.9200000000000002,0.04233333333333333,0.07429166666666664,0.13129166666666664
delta_reduced_minus_full,0,-0.00203125000000004,1.3297048115821128,-0.07999999999999985,-0.004250000000000011,0.000916666666666649,-0.00520833333333337
