level,output,group,iter,MAE,RMSE,R2,PICP90,MPIW90,CRPS
2,iteration1_avg_fuel_temp,secondary,iter1,3.0794339179992676,4.0162672996521,0.8196067810058594,0.8942528735632184,13.218435731472505,2.2049564417733496
2,iteration1_max_fuel_temp,secondary,iter1,5.486880302429199,7.08951473236084,0.813153862953186,0.896551724137931,23.437652402624835,3.9098073997162652
2,iteration1_max_monolith_temp,secondary,iter1,6.214834690093994,8.044300079345703,0.8190131187438965,0.8850574712643678,27.15883944637602,4.451510514179038
2,iteration1_max_global_stress,secondary,iter1,8.841216087341309,11.250349998474121,0.9280442595481873,0.9195402298850575,42.63967185143519,6.315381764533816
2,iteration1_monolith_new_temperature,secondary,iter1,1.035280704498291,1.3551437854766846,0.8232613801956177,0.9011494252873563,4.5153030652535975,0.7355357782730622
2,iteration1_Hcore_after,secondary,iter1,0.016806697472929955,0.020654110237956047,0.9867500066757202,1.0,0.5235510527143726,0.038451891897467956
2,iteration1_wall2,secondary,iter1,0.0011890236055478454,0.001520488178357482,0.9961124658584595,0.9954022988505747,0.013241673102176941,0.0011920718868556027
2,iteration2_keff,primary,iter1,0.00019932807481382042,0.00025361895677633584,0.8739078044891357,0.9747126436781609,0.0015114880103035422,0.0001627524994227844
2,iteration2_avg_fuel_temp,secondary,iter2,1.8901219367980957,2.4267468452453613,0.5839277505874634,0.8873563218390804,7.6748110287176745,1.3504936247103279
2,iteration2_max_fuel_temp,primary,iter2,3.5198092460632324,4.524481773376465,0.5844186544418335,0.8919540229885058,14.26344186064065,2.520270377520585
2,iteration2_max_monolith_temp,primary,iter2,3.961854934692383,5.06718111038208,0.5892575979232788,0.8988505747126436,16.215496685688493,2.8166685081680796
2,iteration2_max_global_stress,primary,iter2,6.103424072265625,7.907318592071533,0.9293258190155029,0.9126436781609195,28.599105494236852,4.402390788601409
2,iteration2_monolith_new_temperature,secondary,iter2,0.5144115686416626,0.667673647403717,0.598342776298523,0.896551724137931,2.13190551256665,0.3676499863053701
2,iteration2_Hcore_after,secondary,iter2,0.06981082260608673,0.6069162487983704,0.05894958972930908,0.9908045977011494,1.2822921920128287,0.12310155950032774
2,iteration2_wall2,primary,iter2,0.0013130231527611613,0.001587814069353044,0.9956570863723755,0.9885057471264368,0.013050317517258157,0.0012269685515524803
