level,output,input,rank_by_ST,S1_raw_mean,S1_raw_std,S1_ci_low,S1_ci_high,S1_flag,ST_mean,ST_std,ST_ci_low,ST_ci_high,ST_flag,interpretable_ST,recommend_interpretation,note
0,iteration2_max_global_stress,E_intercept,1,0.710869413614273,0.018423167915923,0.7027951042733772,0.7189437229551688,stable_positive,0.7460913896560669,0.0534967394277158,0.7226454098528137,0.7695373694593202,stable_positive,True,yes,top stable contributor
0,iteration2_max_global_stress,alpha_base,2,0.0903319656848907,0.0479616411058596,0.0693118496791612,0.1113520816906202,stable_positive,0.1216646797955036,0.0061924048678325,0.1189507387026835,0.1243786208883237,stable_positive,True,yes,top stable contributor
0,iteration2_max_global_stress,nu,3,0.0444829374551773,0.0435283738793531,0.0254057864781023,0.0635600884322522,stable_positive,0.0584863452240824,0.0034056100031554,0.0569937708315883,0.0599789196165766,stable_positive,True,yes,top stable contributor
0,iteration2_max_global_stress,E_slope,4,0.0354671478271484,0.0347250003229232,0.0202482454239597,0.050686050230337,stable_positive,0.0491155540570616,0.0026458860868855,0.0479559433514662,0.050275164762657,stable_positive,True,no,
0,iteration2_max_global_stress,SS316_k_ref,5,0.0111698329448699,0.0427590356945127,-0.007570140706323,0.029909806596063,crosses_zero,0.0351711691357195,0.0029267181498269,0.0338884783518564,0.0364538599195826,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_max_global_stress,alpha_slope,6,4.7820806503295896e-05,0.0389514880511688,-0.0170234215145048,0.0171190631275114,crosses_zero,0.0162811193149536,0.0016285929076279,0.0155673570029241,0.0169948816269832,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_max_global_stress,SS316_T_ref,7,-0.0081781387329101,0.0379566109843385,-0.0248133569547834,0.0084570794889631,crosses_zero,0.0113704064860939,0.0008400224054224,0.011002250434669,0.0117385625375189,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_max_global_stress,SS316_alpha,8,-0.0126121073961257,0.0384927136603372,-0.0294822829751837,0.0042580681829321,crosses_zero,0.0026613718364387,0.0002797946382152,0.002538746429604,0.0027839972432734,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_keff,alpha_base,1,0.7396311223506927,0.0149816378313653,0.7330651300720705,0.7461971146293149,stable_positive,0.7637634962797165,0.0323912371696511,0.7495674106751316,0.7779595818843015,stable_positive,True,yes,top stable contributor
0,iteration2_keff,alpha_slope,2,0.1594488501548767,0.0357013441476187,0.1438020462040475,0.1750956541057058,stable_positive,0.1657382875680923,0.0116859557856489,0.1606166916304138,0.1708598835057708,stable_positive,True,yes,top stable contributor
0,iteration2_keff,nu,3,0.037560561299324,0.036936765894012,0.0213723098953547,0.0537488127032933,stable_positive,0.0461634011939168,0.0042164832255131,0.0443154459427427,0.0480113564450908,stable_positive,True,yes,top stable contributor
0,iteration2_keff,E_intercept,4,0.019791755080223,0.0431836082277021,0.0008657043120942,0.0387178058483519,stable_positive,0.0267204221338033,0.0024914687942381,0.0256284877906071,0.0278123564769996,stable_positive,True,no,
0,iteration2_keff,SS316_k_ref,5,-0.0015012383460998,0.0473090086302255,-0.0222353255581803,0.0192328488659806,crosses_zero,0.0122819076292216,0.0012272814996572,0.0117440277965124,0.0128197874619309,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_keff,SS316_alpha,6,-0.0027835339307785,0.0438318017097736,-0.0219936680178502,0.0164266001562932,crosses_zero,0.0054103636415675,0.0005082175465889,0.0051876274811874,0.0056330998019476,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_keff,SS316_T_ref,7,-0.0036181211471557,0.0450913260391631,-0.023380266110114,0.0161440238158025,crosses_zero,0.0050671199453063,0.0006526039064187,0.004781103672668,0.0053531362179446,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_keff,E_slope,8,0.0022051244974136,0.040474470160904,-0.0155335941626677,0.019943843157495,crosses_zero,0.0045285272179171,0.000378558312582,0.0043626167223224,0.0046944377135118,stable_positive,True,no,CI crosses zero; do not over-interpret
2,iteration2_max_global_stress,SS316_k_ref,1,0.5286417216062546,0.0297376189192221,0.5156086354773511,0.541674807735158,stable_positive,0.5310309708118439,0.0331249203752093,0.5165133343650297,0.5455486072586582,stable_positive,True,yes,top stable contributor
2,iteration2_max_global_stress,E_intercept,2,0.2024162501096725,0.0506387706619089,0.1802228303442506,0.2246096698750944,stable_positive,0.1969537518918514,0.0133181451415859,0.1911168174291756,0.2027906863545272,stable_positive,True,yes,top stable contributor
2,iteration2_max_global_stress,SS316_T_ref,3,0.1281433820724487,0.0446859303273346,0.1085589096138997,0.1477278545309977,stable_positive,0.1303712081164121,0.0070946376801377,0.1272618460592223,0.133480570173602,stable_positive,True,yes,top stable contributor
2,iteration2_max_global_stress,nu,4,0.0601013004779815,0.0449085538575337,0.040419258955437,0.0797833420005261,stable_positive,0.0564478309825062,0.0050156805465265,0.0542496120620367,0.0586460499029757,stable_positive,True,no,
2,iteration2_max_global_stress,alpha_base,5,0.0519194275140762,0.0547259149153216,0.0279347378012965,0.0759041172268558,stable_positive,0.0526670541614294,0.005469820470284,0.0502697996437595,0.0550643086790992,stable_positive,True,no,
2,iteration2_max_global_stress,E_slope,6,0.0236343890428543,0.0453347744972846,0.003765548088826,0.0435032299968825,stable_positive,0.0185965393669903,0.0011184256067296,0.0181063677328432,0.0190867110011374,stable_positive,True,no,
2,iteration2_max_global_stress,SS316_alpha,7,0.0170735388994216,0.0425221908314256,-0.0015626329138303,0.0357097107126737,crosses_zero,0.017849408974871,0.001444847625688,0.0172161765832701,0.0184826413664718,stable_positive,True,no,CI crosses zero; do not over-interpret
2,iteration2_max_global_stress,alpha_slope,8,0.0111089795827865,0.0458893312972508,-0.009002906604855,0.0312208657704281,crosses_zero,0.0090460926294326,0.000646856778213,0.0087625951467856,0.0093295901120797,stable_positive,True,no,CI crosses zero; do not over-interpret
2,iteration2_keff,alpha_base,1,0.480525329709053,0.0337962183498976,0.4657134839529449,0.4953371754651612,stable_positive,0.5165692776441574,0.0302923813240018,0.503293056171358,0.5298454991169568,stable_positive,True,yes,top stable contributor
2,iteration2_keff,SS316_k_ref,2,0.1554842561483383,0.0462880671656655,0.1351976162613555,0.1757708960353211,stable_positive,0.3436201602220535,0.0286901037937211,0.3310461678386537,0.3561941526054534,stable_positive,True,yes,top stable contributor
2,iteration2_keff,SS316_T_ref,3,-0.0009870171546936,0.0531945458441076,-0.0243005547804657,0.0223265204710785,crosses_zero,0.1574042461812496,0.0124594030140303,0.1519436720499558,0.1628648203125433,stable_positive,True,yes,top stable contributor
2,iteration2_keff,alpha_slope,4,0.064880296587944,0.0519448197227582,0.0421144755840484,0.0876461175918396,stable_positive,0.1026183646172285,0.006244864040302,0.099881432278374,0.1053552969560829,stable_positive,True,no,
2,iteration2_keff,E_intercept,5,-0.003968334197998,0.0565187865334392,-0.0287387845421337,0.0208021161461376,crosses_zero,0.0446330526843667,0.0053557828023338,0.042285777378293,0.0469803279904403,stable_positive,True,no,CI crosses zero; do not over-interpret
2,iteration2_keff,nu,6,-0.0093259453773498,0.057485024728693,-0.0345198682817462,0.0158679775270465,crosses_zero,0.0405540952458977,0.0041778798723611,0.0387230586601979,0.0423851318315976,stable_positive,True,no,CI crosses zero; do not over-interpret
