output,mean,std,q05,q25,q50,q75,q95,min,max
iteration1_keff,1.1536345481872559,0.09457474946975708,1.0490319728851318,1.0961291790008545,1.1331629753112793,1.1873656511306763,1.3183289766311646,0.989363968372345,1.9632792472839355
iteration1_avg_fuel_temp,1016.3756713867188,7.283401966094971,1007.3281860351562,1010.5985107421875,1014.701904296875,1020.9927368164062,1030.670166015625,1003.1736450195312,1044.000732421875
iteration1_max_fuel_temp,1101.7518310546875,15.269492149353027,1078.3834228515625,1091.0816650390625,1100.502197265625,1111.6571044921875,1129.0760498046875,1055.9801025390625,1157.21484375
iteration1_max_monolith_temp,1067.816650390625,19.4493465423584,1041.9879150390625,1052.53662109375,1064.3936767578125,1080.36279296875,1104.822509765625,1030.7083740234375,1143.1558837890625
iteration1_max_global_stress,204.74249267578125,13.241621971130371,184.17507934570312,195.67527770996094,204.0931854248047,212.92530822753906,227.9122772216797,160.9850311279297,257.7578125
iteration1_monolith_new_temperature,955.1071166992188,3.4450433254241943,949.8801879882812,952.5416259765625,954.8280029296875,957.5115966796875,961.2083129882812,945.63525390625,966.320068359375
iteration1_Hcore_after,152.31597900390625,0.21063993871212006,151.8960418701172,152.19076538085938,152.37269592285156,152.46986389160156,152.5794219970703,151.4726104736328,152.7482147216797
iteration1_wall2,29.920612335205078,0.021788181737065315,29.880849838256836,29.905961990356445,29.922794342041016,29.93716812133789,29.952585220336914,29.845928192138672,29.969505310058594
iteration2_keff,1.1034396886825562,0.0006966235814616084,1.102197527885437,1.1029993295669556,1.103487253189087,1.1039246320724487,1.1045314073562622,1.1009382009506226,1.1054649353027344
iteration2_avg_fuel_temp,1000.8677978515625,2.4835846424102783,997.2228393554688,998.950927734375,1000.6141357421875,1002.5824584960938,1005.3583984375,995.6696166992188,1009.6707763671875
iteration2_max_fuel_temp,1074.191650390625,6.8100786209106445,1063.896728515625,1069.3447265625,1073.56005859375,1078.588623046875,1086.484375,1055.29150390625,1099.5679931640625
iteration2_max_monolith_temp,1036.0093994140625,7.534751892089844,1024.37451171875,1030.3624267578125,1035.486328125,1041.3658447265625,1049.1768798828125,1015.9784545898438,1059.4029541015625
iteration2_max_global_stress,159.33155822753906,4.746913433074951,149.9895782470703,156.85093688964844,160.29043579101562,162.73037719726562,165.39283752441406,136.00518798828125,169.97190856933594
iteration2_monolith_new_temperature,950.513427734375,0.7529201507568359,949.1587524414062,949.9951782226562,950.5921630859375,951.1113891601562,951.5973510742188,947.8041381835938,951.996826171875
iteration2_Hcore_after,152.3148193359375,0.21613062918186188,151.91725158691406,152.17453002929688,152.34002685546875,152.47537231445312,152.6300506591797,151.49288940429688,152.81275939941406
iteration2_wall2,29.917749404907227,0.022981876507401466,29.876476287841797,29.901655197143555,29.919960021972656,29.93558692932129,29.951608657836914,29.839616775512695,29.965679168701172
