output,y_true_mean,y_true_std,y_true_min,y_true_max,y_pred_mean,y_pred_std,y_pred_min,y_pred_max,is_near_constant_target
iteration1_avg_fuel_temp,1015.7096557617188,9.456109046936035,1000.1400146484375,1071.3199462890625,1016.31689453125,8.100544929504395,1005.5494384765625,1057.8026123046875,False
iteration1_max_fuel_temp,1102.596923828125,16.401151657104492,1074.5,1196.469970703125,1103.1475830078125,13.24561595916748,1083.137451171875,1164.146728515625,False
iteration1_max_monolith_temp,1067.6378173828125,18.908836364746094,1035.6400146484375,1176.93994140625,1068.706298828125,15.470112800598145,1047.4178466796875,1141.9359130859375,False
iteration1_max_global_stress,204.12826538085938,41.940467834472656,115.72000885009766,372.6400146484375,205.35391235351562,39.445640563964844,116.7568130493164,351.19769287109375,False
iteration1_monolith_new_temperature,955.2710571289062,3.223440408706665,950.4237670898438,975.2263793945312,955.3534545898438,2.6334996223449707,951.7463989257812,968.727294921875,False
iteration1_Hcore_after,152.3421173095703,0.17943130433559418,151.92166137695312,152.77227783203125,152.3445281982422,0.1709466278553009,151.9010009765625,152.80833435058594,False
iteration1_wall2,29.92301368713379,0.024386348202824593,29.857797622680664,29.991912841796875,29.923616409301758,0.02448415756225586,29.858625411987305,29.990724563598633,False
iteration2_keff,1.1035140752792358,0.0007142289541661739,1.1014816761016846,1.1056294441223145,1.1035538911819458,0.0006960257305763662,1.101621389389038,1.1054754257202148,False
iteration2_avg_fuel_temp,1000.8180541992188,3.7621850967407227,992.5399780273438,1016.489990234375,1001.0308837890625,2.8055148124694824,996.6595458984375,1014.1990356445312,False
iteration2_max_fuel_temp,1074.1947021484375,7.018443584442139,1058.18994140625,1102.22998046875,1074.7691650390625,5.092264652252197,1065.4903564453125,1096.9176025390625,False
iteration2_max_monolith_temp,1036.6151123046875,7.906452178955078,1018.7899780273438,1068.6400146484375,1037.0765380859375,5.6129279136657715,1027.113037109375,1060.653564453125,False
iteration2_max_global_stress,162.2816619873047,29.74396514892578,97.21000671386719,278.3899841308594,162.88333129882812,28.175952911376953,97.27499389648438,259.8317565917969,False
iteration2_monolith_new_temperature,950.7525634765625,1.0535045862197876,948.6810302734375,955.597900390625,950.8126220703125,0.781506359577179,949.7045288085938,954.7496948242188,False
iteration2_Hcore_after,152.35675048828125,0.6256369352340698,151.90272521972656,164.8483123779297,152.33338928222656,0.1805761754512787,151.8297119140625,152.88275146484375,False
iteration2_wall2,29.919567108154297,0.02409408427774906,29.853731155395508,29.987220764160156,29.920276641845703,0.024004507809877396,29.855979919433594,29.986888885498047,False
