output,mean,std,q05,q25,q50,q75,q95,min,max
iteration1_keff,1.111481118010693,0.8062026343867328,-0.21782971560237652,0.6176331903025585,1.098669943596553,1.602583678983739,2.449698234537402,-2.4323475888142037,4.550005343300515
iteration1_avg_fuel_temp,1015.6419770337719,14.451297178217612,998.2171478510346,1005.0885939896057,1012.3111616093703,1023.4556251440299,1043.9940848628323,979.4076481520726,1111.8447501921935
iteration1_max_fuel_temp,1101.1771893693265,27.04013223344042,1067.30029706685,1082.579943218012,1096.1363163286956,1114.5482143504073,1151.6016139768976,974.1543777108063,1341.3717180499082
iteration1_max_monolith_temp,1067.3723648803557,31.10023002186883,1031.0957458744151,1045.4133771728366,1060.2573230037156,1081.8962207370896,1129.204267361959,941.4935915609507,1295.9926978880696
iteration1_max_global_stress,193.21307883683747,65.2404258482957,110.68987950142275,149.34541407873172,182.28891666756866,224.52302999570531,313.61497489696893,-204.577324363878,725.9589497522802
iteration1_monolith_new_temperature,954.6049548648579,5.068658646578563,948.4958706953588,951.147853145647,953.6416174142942,957.0192763674717,964.0988888482013,926.514952491965,1014.3019783787386
iteration1_Hcore_after,152.38167129630827,0.5461816424618288,151.51914914722312,152.04293847828654,152.37373744697507,152.70781122228294,153.28826844511445,148.8059306880322,155.35048139568045
iteration1_wall2,29.920394458740088,0.025824904311813234,29.87844193746314,29.902616778291264,29.920223467527574,29.93727468616181,29.96399355277888,29.81028688960009,30.072714290051547
iteration2_keff,1.1034789610202023,0.0012585307579196488,1.1013858592038637,1.10269731147722,1.1034998259078082,1.1043103347688223,1.105505491906508,1.0974202860648492,1.1090380515447487
iteration2_avg_fuel_temp,1001.01330730595,5.575084800628555,993.8974952820076,996.9236139983744,999.8561784819634,1004.2352209156015,1011.7394633053069,985.8268460705705,1029.2215036179307
iteration2_max_fuel_temp,1073.8201392232022,10.307649891466014,1059.0456431867344,1066.5223198550418,1072.5431614558483,1080.0828283815415,1092.639565460096,1044.9770594146196,1130.7937579154225
iteration2_max_monolith_temp,1035.3000403182284,10.813130186248676,1021.521514735456,1027.3149493425344,1033.243234099174,1041.3474761607208,1055.9957374410835,1004.001759602384,1103.3430508771942
iteration2_max_global_stress,153.43615421472168,37.10046626200487,96.63216484977329,127.82514981234355,151.19211977606847,176.4886735199418,217.937313445961,38.749980120936144,355.5632713922902
iteration2_monolith_new_temperature,950.6223697565072,1.5597002453846711,948.740454124625,949.5308941552584,950.2896848892269,951.3885334725296,953.6151094216406,945.103145341181,961.4646660061377
iteration2_Hcore_after,152.33969979440056,0.23814045257540536,151.9526791540103,152.18034437711344,152.34011724709487,152.4961185982692,152.7313216850371,151.41674598710225,153.34764429593625
iteration2_wall2,29.919779632446776,0.02394297793944645,29.879458880311432,29.903987140471102,29.92019074595662,29.936135339620257,29.958498191801105,29.826845615571525,30.009536511877513
