output,input,S1,ST,level
iteration1_avg_fuel_temp,E_slope,0.0,0.007186633283272386,0
iteration1_avg_fuel_temp,E_intercept,0.0,0.0022324873181059956,0
iteration1_avg_fuel_temp,nu,0.005458083152770996,0.02575127623975277,0
iteration1_avg_fuel_temp,alpha_base,0.16355398893356324,0.20314445734024048,0
iteration1_avg_fuel_temp,alpha_slope,0.03914736747741699,0.05201939187943935,0
iteration1_avg_fuel_temp,SS316_T_ref,0.16753003120422363,0.18850304543972016,0
iteration1_avg_fuel_temp,SS316_k_ref,0.49971006155014036,0.5678022134304047,0
iteration1_avg_fuel_temp,SS316_alpha,0.025932700634002687,0.04457395531237125,0
iteration1_max_fuel_temp,E_slope,0.0,0.008137572268024086,0
iteration1_max_fuel_temp,E_intercept,0.0,0.003282625395804644,0
iteration1_max_fuel_temp,nu,0.007161198854446411,0.021767885386943818,0
iteration1_max_fuel_temp,alpha_base,0.18502302169799806,0.20447629064321518,0
iteration1_max_fuel_temp,alpha_slope,0.03890061259269714,0.04369188562035561,0
iteration1_max_fuel_temp,SS316_T_ref,0.17709478378295898,0.1859699520468712,0
iteration1_max_fuel_temp,SS316_k_ref,0.5126315593719483,0.5438342726230622,0
iteration1_max_fuel_temp,SS316_alpha,0.02730173707008362,0.039074707254767416,0
iteration1_max_monolith_temp,E_slope,0.0,0.00786561170592904,0
iteration1_max_monolith_temp,E_intercept,0.0,0.003166475659236312,0
iteration1_max_monolith_temp,nu,0.013300625085830688,0.028157291822135447,0
iteration1_max_monolith_temp,alpha_base,0.1908329927921295,0.21845199346542357,0
iteration1_max_monolith_temp,alpha_slope,0.038785659074783325,0.0473480411618948,0
iteration1_max_monolith_temp,SS316_T_ref,0.17094099521636963,0.1846972906589508,0
iteration1_max_monolith_temp,SS316_k_ref,0.4875172865390778,0.5396709120273591,0
iteration1_max_monolith_temp,SS316_alpha,0.028193485736846925,0.04398862630128861,0
iteration1_max_global_stress,E_slope,0.016761387586593627,0.024517195858061315,0
iteration1_max_global_stress,E_intercept,0.023148889541625976,0.030170016214251517,0
iteration1_max_global_stress,nu,0.027186449766159058,0.05681308351457119,0
iteration1_max_global_stress,alpha_base,0.022933261394500734,0.09668793454766274,0
iteration1_max_global_stress,alpha_slope,0.0052390205860137935,0.023558011166751384,0
iteration1_max_global_stress,SS316_T_ref,0.19357423305511476,0.2399355375766754,0
iteration1_max_global_stress,SS316_k_ref,0.5495240402221679,0.6504402887821198,0
iteration1_max_global_stress,SS316_alpha,0.015128943920135498,0.041308514177799224,0
iteration1_wall2,E_slope,0.0,0.004865927351638675,0
iteration1_wall2,E_intercept,0.0013589441776275634,0.00525558803230524,0
iteration1_wall2,nu,0.04474658012390137,0.05765099920332432,0
iteration1_wall2,alpha_base,0.4625022554397583,0.4923598927259445,0
iteration1_wall2,alpha_slope,0.06949358701705932,0.07779190286993981,0
iteration1_wall2,SS316_T_ref,0.07215575456619262,0.08862507909536362,0
iteration1_wall2,SS316_k_ref,0.25832616686820986,0.3087823730707169,0
iteration1_wall2,SS316_alpha,0.022716302871704102,0.03412267774343491,0
iteration1_keff,E_slope,0.0013290274143218995,0.0356036727130413,0
iteration1_keff,E_intercept,0.0005302608013153076,0.032504812702536585,0
iteration1_keff,nu,0.005360432863235474,0.08471562936902047,0
iteration1_keff,alpha_base,0.12903475761413574,0.7579218327999115,0
iteration1_keff,alpha_slope,0.005915747880935669,0.0961264979839325,0
iteration1_keff,SS316_T_ref,0.010698739290237427,0.30619461059570313,0
iteration1_keff,SS316_k_ref,0.035088993310928344,0.5454284429550171,0
iteration1_keff,SS316_alpha,0.005575141906738281,0.058302661627531054,0
iteration2_keff,E_slope,0.0018594813346862792,0.007358357310295105,0
iteration2_keff,E_intercept,0.003758406639099121,0.005792325362563133,0
iteration2_keff,nu,0.03451890110969544,0.0449985933303833,0
iteration2_keff,alpha_base,0.40092910766601564,0.4214746069908142,0
iteration2_keff,alpha_slope,0.05984533429145813,0.061124574467539786,0
iteration2_keff,SS316_T_ref,0.11555357217788696,0.12076528385281562,0
iteration2_keff,SS316_k_ref,0.33519638657569883,0.34663148105144503,0
iteration2_keff,SS316_alpha,0.02338709115982056,0.030160843208432198,0
iteration2_avg_fuel_temp,E_slope,0.00115256667137146,0.007719019120559096,0
iteration2_avg_fuel_temp,E_intercept,0.0016153705120086669,0.0036279774829745294,0
iteration2_avg_fuel_temp,nu,0.01842254161834717,0.02895281311124563,0
iteration2_avg_fuel_temp,alpha_base,0.21956999659538268,0.23372572988271714,0
iteration2_avg_fuel_temp,alpha_slope,0.03626758694648743,0.03974700026214123,0
iteration2_avg_fuel_temp,SS316_T_ref,0.1583698546886444,0.16743021011352538,0
iteration2_avg_fuel_temp,SS316_k_ref,0.49887181639671324,0.529705195426941,0
