level,threshold_MPa,p_fail_predictive,p_fail_mean_only,p_fail_truth,stress_true_mean,stress_true_std,stress_pred_mean,stress_pred_std,stress_unc_mean,stress_output
0,110.0,0.9652822452419736,0.9847560975609756,0.9725609756097561,162.9587501665441,31.80679632845483,162.0812320941832,27.89671596702395,13.381607200267027,iteration2_max_global_stress
0,120.0,0.9189235705962878,0.9390243902439024,0.9237804878048781,162.9587501665441,31.80679632845483,162.0812320941832,27.89671596702395,13.381607200267027,iteration2_max_global_stress
0,131.0,0.8390178495885579,0.8658536585365854,0.8292682926829268,162.9587501665441,31.80679632845483,162.0812320941832,27.89671596702395,13.381607200267027,iteration2_max_global_stress
1,110.0,0.9526503925370788,0.9725609756097561,0.9725609756097561,162.9587501665441,31.80679632845483,162.24534258028356,29.769702735957306,14.828859813913928,iteration2_max_global_stress
1,120.0,0.9055422591957725,0.9237804878048781,0.9237804878048781,162.9587501665441,31.80679632845483,162.24534258028356,29.769702735957306,14.828859813913928,iteration2_max_global_stress
1,131.0,0.8236078532273371,0.8628048780487805,0.8292682926829268,162.9587501665441,31.80679632845483,162.24534258028356,29.769702735957306,14.828859813913928,iteration2_max_global_stress
2,110.0,0.955342673029057,0.9603658536585366,0.9725609756097561,162.9587501665441,31.80679632845483,162.60027962196165,31.14331191322457,8.675586659060082,iteration2_max_global_stress
2,120.0,0.9036057855820927,0.9054878048780488,0.9237804878048781,162.9587501665441,31.80679632845483,162.60027962196165,31.14331191322457,8.675586659060082,iteration2_max_global_stress
2,131.0,0.8273823110148318,0.8475609756097561,0.8292682926829268,162.9587501665441,31.80679632845483,162.60027962196165,31.14331191322457,8.675586659060082,iteration2_max_global_stress
4,110.0,0.974312830315534,0.9878048780487805,0.9725609756097561,162.9587501665441,31.80679632845483,166.52488022315794,26.404013983964216,13.413867884301204,iteration2_max_global_stress
4,120.0,0.9425329233084674,0.9664634146341463,0.9237804878048781,162.9587501665441,31.80679632845483,166.52488022315794,26.404013983964216,13.413867884301204,iteration2_max_global_stress
4,131.0,0.8835111392000864,0.9024390243902439,0.8292682926829268,162.9587501665441,31.80679632845483,166.52488022315794,26.404013983964216,13.413867884301204,iteration2_max_global_stress
