model_tag,output,MAE,RMSE,R2,PICP90,MPIW90,CRPS,y_true_std,y_pred_std
base,iteration2_keff,0.0004713266484562443,0.0005819190276230815,0.3718891847590772,1.0,0.004156150665992362,0.00039843950125130603,0.0007342507897035551,0.00038828281685709953
level2,iteration2_keff,0.0004893225199621677,0.0006137011819148398,0.30140564050242424,1.0,0.004071567583065396,0.00040600661374919615,0.0007342507897035551,0.0001760126615408808
base,iteration2_max_fuel_temp,4.117443235759493,5.2397959039547946,0.4430634720766208,0.9822784810126582,23.48490010797314,3.0045993433801845,7.021202835518344,3.92704176902771
level2,iteration2_max_fuel_temp,3.7162487391218333,4.756851345808557,0.5409963698423363,0.9772151898734177,23.258010540258784,2.783936871687328,7.021202835518344,4.259461879730225
base,iteration2_max_global_stress,22.621024758640715,27.66261337330398,0.08862515616327993,0.9468354430379747,100.47706430281177,15.77055543196099,28.976417366863746,2.897993326187134
level2,iteration2_max_global_stress,19.546086261990688,23.81540673925176,0.32449801524338895,0.9746835443037974,97.42065415111996,13.70503521681885,28.976417366863746,10.577047348022461
base,iteration2_max_monolith_temp,4.608759332970728,5.932221590929485,0.438707 8084812551,0.979746835443038,26.151936989377425,3.3788141427813665,7.918134324869007,4.557652473449707
level2,iteration2_max_monolith_temp,4.297820040545888,5.601900579512531,0.49947581882046044,0.9645569620253165,24.566042087584336,3.1834442863918735,7.918134324869007,4.31040620803833
base,iteration2_wall2,0.013767344922084774,0.01720713125378569,0.5026649820353869,0.9746835443037974,0.07290638672380241,0.00992984287175246,0.024399669947200074,0.014286440797150135
level2,iteration2_wall2,0.016153449987667788,0.02026944699241599,0.309893851533942,0.9468354430379747,0.0752511155765448,0.011471748070143582,0.024399669947200074,0.004567564930766821
