model_tag,scope,test_nll_standardized,n_outputs,MAE_mean,RMSE_mean,R2_mean,PICP90_mean,MPIW90_mean,CRPS_mean
base,all_comparable_outputs,1.1118468046188354,15,5.988818108180061,7.881311917607797,0.3942702172524778,0.9797468354430379,32.13548387911758,4.340410320648798
base,primary_outputs_only,1.1118468046188354,5,6.272293199788296,7.770483983693933,0.368990120703124,0.9767088607594937,30.03819278751043,4.432859440099109
level2,all_comparable_outputs,1.06260347366333,15,4.895779289648407,6.606215581947145,0.43666225091728267,0.9782278481012657,30.637268477759914,3.6947933387611984
level2,primary_outputs_only,1.06260347366333,5,5.515359562833209,6.839008362549436,0.39525393918851043,0.9726582278481011,29.064805892424538,3.9368588259163886
