case_id,true_stress_MPa,stress_bin,accept_rate,n_post_samples,pred_stress_post_mean,pred_stress_post_std,prob_exceed_prior,prob_exceed_post,prob_exceed_delta,contraction_mean,pct_params_in_90ci
2026_01_20_13_02_03_20,278.39,250-300,0.728625,1200,274.9927978515625,5.173981189727783,0.9431768293578506,1.0,0.05682317064214937,0.35340126269598116,0.75
2026_01_26_10_03_56_43,261.43,250-300,0.710625,1200,258.9010925292969,5.113992691040039,0.9387503134525604,1.0,0.061249686547439564,0.33396458199743995,0.75
2026_02_02_13_36_04_2,252.96,250-300,0.700875,1200,251.03768920898438,4.922341823577881,0.9260034117981384,1.0,0.07399658820186161,0.14476742886069746,1.0
2025_12_28_15_05_09_24,241.28,220-250,0.687375,1200,239.8506317138672,4.75621223449707,0.9574495905140422,1.0,0.042550409485957785,0.20085667781452834,1.0
2026_03_25_16_02_42_11,240.06,220-250,0.6825,1200,238.83958435058594,4.659901142120361,0.9506577820036466,1.0,0.04934221799635341,0.23694182631938338,0.5
2026_01_26_10_03_52_49,237.87,220-250,0.683,1200,236.0371551513672,4.613711833953857,0.8850615676079542,1.0,0.11493843239204582,0.2584927909452315,1.0
2026_03_07_18_22_15_38,236.04,220-250,0.672375,1200,234.97483825683594,4.677986145019531,0.9337756645229105,1.0,0.0662243354770895,0.27394292639000384,1.0
2026_01_04_10_51_49_18,232.96,220-250,0.6685,1200,231.30838012695312,4.779220104217529,0.8413242734303222,0.9999999999999662,0.15867572656964402,0.22847081224025226,0.75
2025_12_28_15_05_17_40,225.69,220-250,0.665875,1200,223.84823608398438,4.355411052703857,0.8181778777523466,0.9999999999999998,0.18182212224765315,0.27899935355191763,0.75
2026_01_26_10_04_00_5,220.5,220-250,0.6575,1200,219.68408203125,4.4013590812683105,0.9112411753105419,0.9999999999919809,0.08875882468143892,0.2550455862243751,0.75
