level,ood_feature,output,MAE,RMSE,R2,PICP90,MPIW90,CRPS
0,E_intercept,iteration1_avg_fuel_temp,4.173654704763323,6.6698266436587215,0.5789367963551153,0.6464471403812825,8.152937302691026,3.3417823797277735
0,E_intercept,iteration1_max_fuel_temp,7.249738697600729,11.379853352242815,0.589405616017922,0.6551126516464472,14.341644588638296,5.767925182548683
0,E_intercept,iteration1_max_monolith_temp,8.190119015381285,13.06728146533915,0.5938255247637594,0.6429809358752167,16.348680866240112,6.5141540260053645
0,E_intercept,iteration1_max_global_stress,12.058154970694657,19.613593699124433,0.9074394459836144,0.6741767764298093,26.201509703726884,9.461950911144719
0,E_intercept,iteration1_monolith_new_temperature,1.4264065445030476,2.3812171165218365,0.5453356713158961,0.6447140381282496,2.6981927663702785,1.145946131771462
0,E_intercept,iteration1_Hcore_after,0.01093566610082091,0.0469845561175692,0.9281801651497421,0.9653379549393414,0.08378123874171826,0.01072904296416869
0,E_intercept,iteration1_wall2,0.0013546471650410226,0.0020368917452307936,0.9922280288943373,0.8630849220103987,0.0057386717086438475,0.0010450489931401595
0,E_intercept,iteration2_keff,0.00023220336752530094,0.0003048518114810216,0.8135399155413163,0.8821490467937608,0.0010222793020929102,0.00017249203148656254
0,E_intercept,iteration2_avg_fuel_temp,2.2485390235729006,3.2492178388455266,0.374878060178368,0.6481802426343154,4.678533269768693,1.766870294341968
0,E_intercept,iteration2_max_fuel_temp,4.189618556718481,5.960478551074803,0.37701860270642273,0.6325823223570191,8.736930163985773,3.2878185220859293
0,E_intercept,iteration2_max_monolith_temp,4.681657207098954,6.6623348968944125,0.39214290330977297,0.6481802426343154,10.150381920761447,3.648088313882103
0,E_intercept,iteration2_max_global_stress,7.772648552377251,11.735008940809678,0.9395136332774799,0.6672443674176777,17.92802454340219,6.04604568628968
0,E_intercept,iteration2_monolith_new_temperature,0.6344628607696493,0.9782551326608819,0.3305592115120869,0.6239168110918544,1.2613731558239742,0.5058681485631921
0,E_intercept,iteration2_Hcore_after,0.05438273317867493,1.1192291726332766,0.017963464050504196,0.9532062391681109,0.1045404561921341,0.056556896020731426
0,E_intercept,iteration2_wall2,0.0010402536072643292,0.0014622272047799428,0.9958987956073002,0.9237435008665511,0.005594341568800469,0.0007964910289617178
2,E_intercept,iteration1_avg_fuel_temp,3.9177571896663808,6.132592111785437,0.644035770746693,0.7192374350086655,9.80082905739105,3.0139379536056317
2,E_intercept,iteration1_max_fuel_temp,6.866414602401966,10.401430059231489,0.6569749943275377,0.6984402079722704,16.98896034022091,5.256736310712652
2,E_intercept,iteration1_max_monolith_temp,7.763212814463297,11.885318601805803,0.6639810327972118,0.6984402079722704,19.20111595240986,5.950342139776155
2,E_intercept,iteration1_max_global_stress,11.503962873065486,17.95928955867593,0.922394964544783,0.7521663778162911,28.882282456231557,8.741805004944002
2,E_intercept,iteration1_monolith_new_temperature,1.3129226793664337,2.1425888097810954,0.6318959838493279,0.7036395147313691,3.2503137279591203,1.0121282972812389
2,E_intercept,iteration1_Hcore_after,0.014960014487377717,0.04807317000434154,0.9248135347785347,0.7487001733102253,0.07246718997537954,0.013340406293509906
2,E_intercept,iteration1_wall2,0.0011839338813941726,0.0018509522422495079,0.9935822069627197,0.9098786828422877,0.005533151998646805,0.0009000518971898242
2,E_intercept,iteration2_keff,0.0002246480391723391,0.0002941488582080733,0.8264028262206795,0.8717504332755632,0.0009501239987969437,0.00016712822064571785
2,E_intercept,iteration2_avg_fuel_temp,2.1537373106111906,3.029559092528185,0.45654205827323446,0.7209705372616985,6.010231160156988,1.5993035009630436
2,E_intercept,iteration2_max_fuel_temp,4.056982675747402,5.590718060379479,0.4519148917693977,0.7417677642980935,11.569195188434394,2.991161075206625
2,E_intercept,iteration2_max_monolith_temp,4.5089973774981065,6.218599841688423,0.47041729324251835,0.7469670710571924,12.7770987657095,3.3173433740608056
2,E_intercept,iteration2_max_global_stress,7.469988564635061,10.752181526659754,0.9492210373769232,0.7764298093587522,20.887857863793077,5.509617123140039
2,E_intercept,iteration2_monolith_new_temperature,0.6045380469862898,0.9076891343586148,0.4236554735977873,0.7400346620450606,1.6339864228367613,0.45371693694722026
2,E_intercept,iteration2_Hcore_after,0.05698730052857942,1.1191393927058382,0.018121007536490596,0.8266897746967071,0.32095240609360354,0.0728251288131197
2,E_intercept,iteration2_wall2,0.0008796043874610219,0.0012215947190139563,0.9971375626661331,0.9393414211438474,0.00512512553678733,0.0006842604606595229
0,alpha_base,iteration1_avg_fuel_temp,3.6714650457974067,4.635706449693493,0.6270605560643945,0.7948275862068965,12.786594260675129,2.6698141826989357
0,alpha_base,iteration1_max_fuel_temp,6.448155231344305,8.254456866949173,0.6136801467024712,0.85,28.53982691565343,4.720363747614742
0,alpha_base,iteration1_max_monolith_temp,7.012747777478448,8.849710352347572,0.6638613579117509,0.7620689655172413,24.70585615250886,5.235244430361962
0,alpha_base,iteration1_max_global_stress,15.535795746375788,19.69541654939613,0.8450649590906004,0.8896551724137931,69.57038337664224,11.246163804572372
0,alpha_base,iteration1_monolith_new_temperature,1.2755655375387884,1.740546766931203,0.5314559855249747,0.8189655172413793,4.450674654276388,0.9619284273858715
0,alpha_base,iteration1_Hcore_after,0.10318107857953975,0.926239471340226,0.08695518834575688,0.9827586206896551,0.579349779076208,0.09401762617091951
