parameter,full_mean_abs_error,full_mean_width90,full_coverage90,full_coverage50,reduced_mean_abs_error,reduced_mean_width90,reduced_coverage90,reduced_coverage50,delta_mean_abs_error,delta_mean_width90,delta_coverage90,delta_coverage50
E_intercept,6461011641.584569,27050636066.044823,0.85,0.5,7338373334.51518,18284515041.929714,0.65,0.3,877361692.9306107,-8766121024.115108,-0.19999999999999996,-0.2
E_slope,6647336.970220415,18816563.772382744,0.8,0.25,,,,,,,,
SS316_T_ref,65.74596150024047,256.13833168498337,0.85,0.45,,,,,,,,
SS316_alpha,0.0013316286761815,0.0041741470998592,0.8,0.45,,,,,,,,
SS316_k_ref,1.8426530634502616,4.690675940047251,0.75,0.25,,,,,,,,
alpha_base,2.9516280019672245e-07,1.5852929179189462e-06,0.95,0.7,2.693105280706772e-07,1.486725405694058e-06,0.85,0.65,-2.5852272126045245e-08,-9.856751222488819e-08,-0.09999999999999998,-0.04999999999999993
alpha_slope,4.181183821460549e-10,1.3934517534109187e-09,0.8,0.35,4.09642802128564e-10,1.339466446593663e-09,0.9,0.4,-8.475580017490851e-12,-5.398530681725564e-11,0.09999999999999998,0.050000000000000044
nu,0.0237914051659382,0.0828866926050208,0.8,0.5,0.0288029256450251,0.0799660087552962,0.75,0.4,0.005011520479086901,-0.0029206838497245896,-0.050000000000000044,-0.09999999999999998
