case_id,true_stress_MPa,exceeds_threshold,prob_exceed_prior,prob_exceed_post,risk_updated
2026_01_20_13_02_03_20,278.39,True,0.9431768293578506,1.0,True
2026_01_26_10_03_56_43,261.43,True,0.9387503134525604,1.0,True
2026_02_02_13_36_04_2,252.96,True,0.9260034117981384,1.0,True
2025_12_28_15_05_09_24,241.28,True,0.9574495905140422,1.0,True
2026_03_25_16_02_42_11,240.06,True,0.9506577820036466,1.0,True
2026_01_26_10_03_52_49,237.87,True,0.8850615676079542,1.0,True
2026_03_07_18_22_15_38,236.04,True,0.9337756645229105,1.0,True
2026_01_04_10_51_49_18,232.96,True,0.8413242734303222,0.9999999999999662,True
2025_12_28_15_05_17_40,225.69,True,0.8181778777523466,0.9999999999999998,True
2026_01_26_10_04_00_5,220.5,True,0.9112411753105419,0.9999999999919809,True
