observable,full_mean_abs_error,full_mean_width90,full_coverage90,full_coverage95,reduced_mean_abs_error,reduced_mean_width90,reduced_coverage90,reduced_coverage95,delta_mean_abs_error,delta_mean_width90,delta_coverage90,delta_coverage95
iteration2_keff,0.0005028287636358,0.002034171097761,1.0,1.0,0.0004950288955328,0.0015276557905378,0.95,1.0,-7.799868102999923e-06,-0.0005065153072231997,-0.050000000000000044,0.0
iteration2_max_fuel_temp,1.2720169565419837,15.36331486285684,1.0,1.0,4.013239887521456,12.543625343977306,0.85,0.9,2.7412229309794722,-2.8196895188795335,-0.15000000000000002,-0.09999999999999998
iteration2_max_global_stress,2.7176532262633257,34.16048469825946,1.0,1.0,3.484955639348571,31.52599106547456,0.95,1.0,0.7673024130852455,-2.634493632784899,-0.050000000000000044,0.0
iteration2_max_monolith_temp,1.2622898658438544,17.704147196928897,1.0,1.0,4.402041947039345,14.058045971912316,0.85,0.9,3.139752081195491,-3.646101225016581,-0.15000000000000002,-0.09999999999999998
iteration2_wall2,0.0004275516637296,0.0102580341244298,1.0,1.0,0.0006819841821892,0.0088919179436217,1.0,1.0,0.0002544325184596,-0.0013661161808081,0.0,0.0
