case_i,label,output,y_true,y_hf
1,post_mean,iteration2_keff,1.103766539430288,1.104118349498146
1,post_mean,iteration2_avg_fuel_temp,1002.08,999.71
1,post_mean,iteration2_max_fuel_temp,1076.72,1072.32
1,post_mean,iteration2_max_monolith_temp,1039.47,1034.46
1,post_mean,iteration2_max_global_stress,118.66,121.02
1,post_mean,iteration2_monolith_new_temperature,951.061754933202,950.406936971111
1,post_mean,iteration2_Hcore_after,152.32185595232303,152.25288020222368
1,post_mean,iteration2_wall2,29.910322313224214,29.90275265995986
2,post_hi_95,iteration1_avg_fuel_temp,1006.8,1003.51
2,post_hi_95,iteration1_max_fuel_temp,1086.91,1080.85
2,post_hi_95,iteration1_max_monolith_temp,1049.65,1042.79
2,post_hi_95,iteration1_max_global_stress,130.94,183.96
2,post_hi_95,iteration1_monolith_new_temperature,952.3257407871644,951.3553087921895
2,post_hi_95,iteration1_Hcore_after,152.6558107920937,152.5992910912996
2,post_hi_95,iteration1_wall2,29.96941434810009,29.960921406087667
2,post_hi_95,iteration2_keff,1.102247085086023,1.1024836046345687
2,post_hi_95,iteration2_avg_fuel_temp,997.56,996.38
2,post_hi_95,iteration2_max_fuel_temp,1068.23,1065.6
2,post_hi_95,iteration2_max_monolith_temp,1029.93,1027.1
2,post_hi_95,iteration2_max_global_stress,110.65,160.01
2,post_hi_95,iteration2_monolith_new_temperature,949.8828239370044,949.5894458305282
2,post_hi_95,iteration2_Hcore_after,152.64701511700918,152.59303125200492
2,post_hi_95,iteration2_wall2,29.96706322851205,29.95918587050971
2,post_lo_5,iteration1_avg_fuel_temp,1006.8,1015.79
2,post_lo_5,iteration1_max_fuel_temp,1086.91,1102.93
2,post_lo_5,iteration1_max_monolith_temp,1049.65,1067.94
2,post_lo_5,iteration1_max_global_stress,130.94,100.46
2,post_lo_5,iteration1_monolith_new_temperature,952.3257407871644,955.2357729235425
2,post_lo_5,iteration1_Hcore_after,152.6558107920937,151.79954685412196
2,post_lo_5,iteration1_wall2,29.96941434810009,29.858480945613493
2,post_lo_5,iteration2_keff,1.102247085086023,1.105343894673488
2,post_lo_5,iteration2_avg_fuel_temp,997.56,1002.53
2,post_lo_5,iteration2_max_fuel_temp,1068.23,1077.68
2,post_lo_5,iteration2_max_monolith_temp,1029.93,1040.29
2,post_lo_5,iteration2_max_global_stress,110.65,82.37
2,post_lo_5,iteration2_monolith_new_temperature,949.8828239370044,951.1597796104604
2,post_lo_5,iteration2_Hcore_after,152.64701511700918,151.78956931746225
2,post_lo_5,iteration2_wall2,29.96706322851205,29.856046862800767
2,post_mean,iteration1_avg_fuel_temp,1006.8,1008.38
2,post_mean,iteration1_max_fuel_temp,1086.91,1089.78
2,post_mean,iteration1_max_monolith_temp,1049.65,1052.92
2,post_mean,iteration1_max_global_stress,130.94,135.98
2,post_mean,iteration1_monolith_new_temperature,952.3257407871644,952.8097897548496
2,post_mean,iteration1_Hcore_after,152.6558107920937,152.1855462878043
2,post_mean,iteration1_wall2,29.96941434810009,29.907575472558925
2,post_mean,iteration2_keff,1.102247085086023,1.1039830024212463
2,post_mean,iteration2_avg_fuel_temp,997.56,999.04
2,post_mean,iteration2_max_fuel_temp,1068.23,1070.94
2,post_mean,iteration2_max_monolith_temp,1029.93,1032.85
2,post_mean,iteration2_max_global_stress,110.65,115.54
