case_i,label,category,row_idx,stress_true_MPa,archived_dir,y_true__iteration2_keff,y_hf__iteration2_keff,abs_err__iteration2_keff,rel_err__iteration2_keff,y_true__iteration2_max_fuel_temp,y_hf__iteration2_max_fuel_temp,abs_err__iteration2_max_fuel_temp,rel_err__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_hf__iteration2_max_monolith_temp,abs_err__iteration2_max_monolith_temp,rel_err__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_hf__iteration2_max_global_stress,abs_err__iteration2_max_global_stress,rel_err__iteration2_max_global_stress,y_true__iteration2_wall2,y_hf__iteration2_wall2,abs_err__iteration2_wall2,rel_err__iteration2_wall2
0,post_hi_95,low,116,110.57,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case000_post_hi_95,1.1045691846107266,1.1024542576728318,0.0021149269378948343,0.0019147075324577147,1067.25,1065.47,1.7799999999999727,0.0016678379011477841,1028.78,1026.9,1.8799999999998818,0.001827407220202455,110.57,162.61,52.04000000000002,0.4706520756082122,29.892462344599025,29.94834121230722,0.055878867708194946,0.0018693297013817648
0,post_lo_5,low,116,110.57,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case000_post_lo_5,1.1045691846107266,1.104823388477653,0.00025420386692642793,0.0002301384743193019,1067.25,1076.75,9.5,0.00890138205668775,1028.78,1039.26,10.480000000000018,0.010186823227512217,110.57,85.43,25.139999999999986,0.22736727864701084,29.892462344599025,29.855922749428895,0.0365395951701295,0.0012223681926534728
0,post_mean,low,116,110.57,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case000_post_mean,1.1045691846107266,1.1042211112105003,0.00034807340022635636,0.000315121411203432,1067.25,1070.87,3.619999999999891,0.0033918950573903874,1028.78,1032.74,3.9600000000000364,0.0038492194638309806,110.57,119.95,9.38000000000001,0.084833137379036,29.892462344599025,29.90041578959741,0.00795344499838535,0.00026606857965390663
1,post_hi_95,low,176,118.66,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case001_post_hi_95,1.103766539430288,1.1027381909402563,0.0010283484900317497,0.0009316721002998827,1076.72,1067.0,9.720000000000027,0.00902741659855861,1039.47,1028.62,10.850000000000136,0.010438011679028867,118.66,158.27,39.610000000000014,0.3338108882521491,29.910322313224214,29.94898360576939,0.03866129254517503,0.0012925735851426034
1,post_lo_5,low,176,118.66,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case001_post_lo_5,1.103766539430288,1.1051260923194517,0.0013595528891636732,0.0012317395396542914,1076.72,1079.18,2.4600000000000364,0.0022847165465488114,1039.47,1041.92,2.4500000000000455,0.002356970379135565,118.66,90.16,28.5,0.24018203269846622,29.910322313224214,29.86141087455396,0.048911438670252494,0.0016352695286278255
1,post_mean,low,176,118.66,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case001_post_mean,1.103766539430288,1.104118349498146,0.0003518100678578939,0.000318735942149036,1076.72,1072.32,4.400000000000091,0.004086484880006029,1039.47,1034.46,5.009999999999991,0.004819763918150587,118.66,121.02,2.3599999999999994,0.01988875779538176,29.910322313224214,29.90275265995986,0.00756965326435477,0.00025307829133649985
2,post_hi_95,low,426,110.65,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case002_post_hi_95,1.102247085086023,1.1024836046345687,0.00023651954854564394,0.00021457942755837285,1068.23,1065.6,2.630000000000109,0.002462016606910599,1029.93,1027.1,2.8300000000001546,0.0027477595564748616,110.65,160.01,49.359999999999985,0.4460912788070491,29.96706322851205,29.95918587050971,0.007877358002339463,0.00026286719997455673
2,post_lo_5,low,426,110.65,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case002_post_lo_5,1.102247085086023,1.105343894673488,0.0030968095874648327,0.002809542097562587,1068.23,1077.68,9.450000000000045,0.008846409481104298,1029.93,1040.29,10.3599999999999,0.010058936044197081,110.65,82.37,28.28,0.25558065973791233,29.96706322851205,29.856046862800767,0.11101636571128282,0.0037046127898731403
2,post_mean,low,426,110.65,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case002_post_mean,1.102247085086023,1.1039830024212463,0.0017359173352231583,0.0015748894768795704,1068.23,1070.94,2.7100000000000364,0.002536906845904006,1029.93,1032.85,2.9199999999998454,0.0028351441360090933,110.65,115.54,4.890000000000001,0.04419340262087664,29.96706322851205,29.905586641086085,0.061476587425964624,0.0020514718762121792
3,post_hi_95,low,433,103.67,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case003_post_hi_95,1.104479856105843,1.1029379404628286,0.0015419156430145353,0.0013960559212469444,1066.82,1067.21,0.39000000000010004,0.00036557244896055573,1028.11,1028.99,0.8800000000001091,0.0008559395395435403,103.67,151.6,47.92999999999999,0.4623324008874312,29.869895785926577,29.941676907187684,0.07178112126110747,0.0024031259357432267
