model_id,output,output_label,n_seeds,is_primary,MAE_mean,MAE_std,MAE_ci_lo,MAE_ci_hi,RMSE_mean,RMSE_std,RMSE_ci_lo,RMSE_ci_hi,R2_mean,R2_std,R2_ci_lo,R2_ci_hi,PICP_mean,PICP_std,PICP_ci_lo,PICP_ci_hi,MPIW_mean,MPIW_std,MPIW_ci_lo,MPIW_ci_hi,CRPS_mean,CRPS_std,CRPS_ci_lo,CRPS_ci_hi
bnn-baseline,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,5,False,3.0720712153860554,0.1341747855158811,2.944150200378306,3.199992230393805,4.001047728332807,0.16958831513137912,3.8393637776437832,4.162731679021832,0.8212858118115447,0.029592701228388727,0.7930724007492367,0.8494992228738527,0.9677559912854031,0.012647429432418342,0.9556980475814995,0.9798139349893068,17.15072656460135,0.29950863697679764,16.86517776570929,17.436275363493408,2.2192628227331723,0.0795343986988523,2.143435453451602,2.295090192014743
bnn-baseline,iteration1_max_fuel_temp,iteration1_max_fuel_temp,5,False,5.369068353622777,0.2660282179324707,5.115439480449758,5.622697226795796,6.901663554321402,0.2954637243763212,6.6199711381578945,7.18335597048491,0.8227726933892526,0.031346772928413744,0.7928869663891859,0.8526584203893194,0.9655773420479303,0.011257525649467397,0.9548445199158228,0.9763101641800379,30.11717189411803,0.465955388810003,29.672934282291543,30.561409505944518,3.874831802814061,0.14093442428985367,3.740466209939258,4.009197395688864
bnn-baseline,iteration1_max_monolith_temp,iteration1_max_monolith_temp,5,False,6.2110370651321345,0.23520271893797534,5.986796941151709,6.43527718911256,8.010030729304535,0.3019323561249712,7.722171178713966,8.297890279895105,0.820792618406557,0.028655115404648875,0.7934730931050389,0.8481121437080752,0.9703703703703704,0.01051635589206733,0.9603441727153963,0.9803965680253446,34.420335576658445,0.4740370448182777,33.96839298780854,34.87227816550835,4.472213661870599,0.12760965111512024,4.350551786037014,4.593875537704184
bnn-baseline,iteration1_max_global_stress,iteration1_max_global_stress,5,False,8.100112245513785,0.44612111080266437,7.674784453180502,8.525440037847067,10.675901952344296,0.5489838463159785,10.152505767482975,11.199298137205616,0.9348075668691328,0.006883080496591706,0.9282453007912054,0.9413698329470602,0.9912854030501089,0.004357298474945509,0.9871311944820559,0.995439611618162,61.76800284902945,1.7319712363332962,60.116757291496896,63.419248406562005,6.514382388723675,0.2227363207812381,6.302027614882391,6.726737162564959
bnn-baseline,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,5,False,1.026337178743931,0.05549857944185217,0.9734253400076608,1.0792490174802012,1.3776577547329008,0.07684984446972899,1.3043898149336466,1.450925694532155,0.8184231025499085,0.029646689081678772,0.7901582199613789,0.846687985138438,0.970806100217865,0.010958410753777195,0.9603584514953031,0.9812537489404268,5.896002936493296,0.1285678565351656,5.773427516364136,6.018578356622457,0.7474782704537655,0.030483977521770077,0.7184151247139372,0.7765414161935937
bnn-baseline,iteration1_Hcore_after,iteration1_Hcore_after,5,False,0.02895776215678606,0.012752789465569384,0.01679936915959598,0.04111615515397614,0.2210762717739251,0.25987755654969014,-0.02668861701462738,0.4688411605624776,0.5662352979282105,0.4058719511003904,0.17928068683406923,0.9531899090223517,0.9978213507625272,0.002178649237472796,0.9957442464785007,0.9998984550465537,0.5526387733462335,0.008698441718244984,0.5443457584604229,0.560931788232044,0.050948766768148204,0.011837971538882133,0.03966255282665161,0.0622349807096448
bnn-baseline,iteration1_wall2,iteration1_wall2,5,False,0.0014947284037631799,0.00029826152380188535,0.0012103685911814095,0.0017790882163449503,0.00205708476304022,0.00037352833735688465,0.001700966257874477,0.0024132032682059627,0.9919399646664357,0.0028567694753290898,0.9892163467413376,0.9946635825915339,1.0,0.0,1.0,1.0,0.02590659877657308,0.00036392404881446355,0.025559636912381646,0.026253560640764513,0.00202701696759608,5.360584541863464e-05,0.0019759096441900096,0.0020781242910021505
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,5,True,0.00023885663247078,2.0394344132923992e-05,0.00021941285104888096,0.000258300413892679,0.00057474683720602,0.0004320751903772639,0.00016281029711604785,0.0009866833772959921,0.6324908873437144,0.2604060719133265,0.3842221168347357,0.8807596578526931,0.9925925925925926,0.004246969213424368,0.988543570934767,0.9966416142504182,0.0016191594424637998,2.6059023029729042e-05,0.0015943150079207782,0.0016440038770068213,0.00019333378286928,2.2126956224978774e-05,0.00017223814490385688,0.0002144294208347031
bnn-baseline,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,5,False,1.8350819696959237,0.10570969490127632,1.7342993120904808,1.9358646273013667,2.305460129577598,0.10748385667491538,2.2029860023417083,2.407934256813488,0.615766936414536,0.04429040130734998,0.5735408723403276,0.6579930004887443,0.9477124183006536,0.01110897497514772,0.9371212230246352,0.9583036135766719,8.983727214081785,0.13051918573569637,8.859291414515562,9.108163013648008,1.2998565979578092,0.05941995139813011,1.2432061590147914,1.356507036900827
bnn-baseline,iteration2_max_fuel_temp,Max. fuel temp.,5,True,3.4108031892827717,0.16582447437432465,3.2527076499939875,3.568898728571556,4.2880365341995015,0.18394445130324455,4.112665574407883,4.46340749399112,0.6171127729765258,0.041076039787704,0.5779512518163532,0.6562742941366984,0.9481481481481481,0.01049376433881683,0.9381434890737,0.9581528072225961,16.822007131146353,0.20197789551245282,16.629443250356516,17.01457101193619,2.422472602005902,0.0949012040714784,2.3319946608368127,2.5129505431749912
