model_id,output,output_label,CRPS,NLL,IS_90,IS_95,ECE,sharpness_mean_sigma,is_primary
bnn-baseline,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,2.3232276696977596,2.8436774021582027,18.515252112504744,21.34033074535413,0.06946360153256703,5.22429574180195,False
bnn-baseline,iteration1_max_fuel_temp,iteration1_max_fuel_temp,4.036849794283972,3.4058130193066734,32.30204190840115,37.21647271129032,0.07176245210727968,9.166814898084453,False
bnn-baseline,iteration1_max_monolith_temp,iteration1_max_monolith_temp,4.676876445522185,3.5472684519509756,37.024180576967645,42.68205927742996,0.06524904214559386,10.438491978656508,False
bnn-baseline,iteration1_max_global_stress,iteration1_max_global_stress,6.717527528161633,3.995682925894846,62.13592207587158,73.25257691708771,0.12885057471264366,18.65847970568204,False
bnn-baseline,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.777194194048006,1.7454849809299844,6.32132750865062,7.326633411303008,0.07252873563218389,1.808422547997142,False
bnn-baseline,iteration1_Hcore_after,iteration1_Hcore_after,0.04121815557049254,-0.8717733364740615,0.5640473036515289,0.6721038167893693,0.19666666666666668,0.17145820588817967,False
bnn-baseline,iteration1_wall2,iteration1_wall2,0.0020312814040830073,-3.9139270328670794,0.026121026763704112,0.031125123146034998,0.19551724137931034,0.007940228338772051,False
bnn-baseline,iteration2_keff,$k_{\mathrm{eff}}$,0.00016516458735595308,-6.56732182834331,0.0016333930454811147,0.0019416194924510998,0.14724137931034484,0.0004953201966378822,True
bnn-baseline,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,1.3710412867740203,2.316776306578868,10.570387964315382,12.107905580845317,0.03842911877394636,2.7466758276951575,False
bnn-baseline,iteration2_max_fuel_temp,Max. fuel temp.,2.5579984777436864,2.94183048397117,19.672950268366854,22.43575026596986,0.03957854406130266,5.124069005099788,True
bnn-baseline,iteration2_max_monolith_temp,Max. monolith temp.,2.8812709559135534,3.064244133737549,22.359626879225214,25.679739535604167,0.041494252873563196,5.852647966901839,True
bnn-baseline,iteration2_max_global_stress,Max. global stress,5.078442450863871,3.722160033747584,46.49592252588936,55.04007200369811,0.13038314176245208,14.041092703194339,True
bnn-baseline,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.37891904400101595,1.0274145541952184,2.953418554109727,3.4234096233803677,0.04379310344827584,0.7728186917720222,False
bnn-baseline,iteration2_Hcore_after,iteration2_Hcore_after,0.09584557797641696,1.6344347763667826,1.490027451124482,2.214464677006154,0.19436781609195397,0.2845831375691756,False
bnn-baseline,iteration2_wall2,Wall expansion,0.0020244899625139847,-3.9221330302755915,0.0258114884824089,0.030756285534447893,0.19551724137931034,0.007846135382346216,True
bnn-data-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,2.3230632236022895,2.8554381955892914,18.856791199381338,21.969435161501018,0.07559386973180075,5.358180967462471,False
bnn-data-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,4.067255476869351,3.421196036195925,33.09436892544447,38.5117709088106,0.07406130268199233,9.389416207579105,False
bnn-data-mono,iteration1_max_monolith_temp,iteration1_max_monolith_temp,4.679662963406752,3.563351046189611,38.59199208091465,44.90348762027976,0.07712643678160919,10.967346660918238,False
bnn-data-mono,iteration1_max_global_stress,iteration1_max_global_stress,7.176451917300263,4.093888442100529,70.38851825925914,83.43452148628779,0.1460919540229885,21.284707817186604,False
bnn-data-mono,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.7834985311472767,1.7673983557824426,6.606019975178413,7.731740721044056,0.08517241379310343,1.8894549686227147,False
bnn-data-mono,iteration1_Hcore_after,iteration1_Hcore_after,0.04091047872219418,-0.9066113068258733,0.5520773185370728,0.6578406997950046,0.19666666666666668,0.16781958877407177,False
bnn-data-mono,iteration1_wall2,iteration1_wall2,0.002152919376628584,-3.8518045173743136,0.02819024454615219,0.033590748210366284,0.19666666666666668,0.00856922588254836,False
bnn-data-mono,iteration2_keff,$k_{\mathrm{eff}}$,0.00016683591532966785,-6.551026902575526,0.0016783589075716023,0.001999887988859563,0.15260536398467434,0.0005101848821290649,True
bnn-data-mono,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,1.3678401115224172,2.32320444951749,10.827601225559208,12.54559022152905,0.036130268199233685,2.743668656463328,False
bnn-data-mono,iteration2_max_fuel_temp,Max. fuel temp.,2.550052011615171,2.9481097656817368,20.082080175908825,23.22528977378873,0.043524904214559366,5.144656852914079,True
bnn-data-mono,iteration2_max_monolith_temp,Max. monolith temp.,2.865521029524272,3.064337334311462,22.48351174598131,26.03449641730694,0.04379310344827584,5.841759191789213,True
bnn-data-mono,iteration2_max_global_stress,Max. global stress,5.238021016804054,3.7835952193696283,50.97963077804114,60.33544391086186,0.14226053639846742,15.391977706422194,True
bnn-data-mono,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.3752292055875998,1.0287196625198156,3.0148822675449933,3.5201359931411673,0.04659003831417622,0.7746193758330753,False
