model_id,output,output_label,nominal_alpha,empirical_coverage,coverage_error,interval_score,MPIW_alpha,is_primary
bnn-baseline,iteration2_max_global_stress,Max. global stress,0.5,0.7494252873563219,0.24942528735632186,23.158363411535355,18.94114621971515,True
bnn-baseline,iteration2_max_global_stress,Max. global stress,0.68,0.8988505747126436,0.21885057471264358,30.166253687516893,27.926550655141114,True
bnn-baseline,iteration2_max_global_stress,Max. global stress,0.8,0.9632183908045977,0.16321839080459766,37.03633534466412,35.98876867147114,True
bnn-baseline,iteration2_max_global_stress,Max. global stress,0.9,0.9908045977011494,0.09080459770114935,46.49592252588936,46.1910845184221,True
bnn-baseline,iteration2_max_global_stress,Max. global stress,0.95,1.0,0.050000000000000044,55.04007200369811,55.04007200369811,True
bnn-baseline,iteration2_max_global_stress,Max. global stress,0.99,1.0,0.010000000000000009,72.33491607746923,72.33491607746923,True
bnn-baseline,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.5,0.5816091954022988,0.08160919540229883,1.705092565409115,1.042516572720348,False
bnn-baseline,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.68,0.7471264367816092,0.06712643678160912,2.076069460331378,1.5370712806490725,False
bnn-baseline,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.8,0.8574712643678161,0.05747126436781602,2.4301086365229643,1.98081400864513,False
bnn-baseline,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.9,0.9402298850574713,0.04022988505747127,2.953418554109727,2.5423472562742053,False
bnn-baseline,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.95,0.9632183908045977,0.013218390804597746,3.4234096233803677,3.029393604905049,False
bnn-baseline,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.99,0.993103448275862,0.003103448275862064,4.423625143459373,3.981298065193401,False
bnn-baseline,iteration2_Hcore_after,iteration2_Hcore_after,0.5,0.9977011494252873,0.4977011494252873,0.4973563001776562,0.3838968187381008,False
bnn-baseline,iteration2_Hcore_after,iteration2_Hcore_after,0.68,0.9977011494252873,0.31770114942528727,0.7419048259948121,0.5660118891684648,False
bnn-baseline,iteration2_Hcore_after,iteration2_Hcore_after,0.8,0.9977011494252873,0.19770114942528727,1.008852714900367,0.7294159309587428,False
bnn-baseline,iteration2_Hcore_after,iteration2_Hcore_after,0.9,0.9977011494252873,0.09770114942528729,1.490027451124482,0.9361952119997764,False
bnn-baseline,iteration2_Hcore_after,iteration2_Hcore_after,0.95,0.9977011494252873,0.04770114942528736,2.214464677006154,1.1155454004859835,False
bnn-baseline,iteration2_Hcore_after,iteration2_Hcore_after,0.99,0.9977011494252873,0.007701149425287324,6.8752115491893395,1.466075170093141,False
bnn-baseline,iteration2_wall2,Wall expansion,0.5,0.993103448275862,0.49310344827586206,0.010621199652093804,0.010584275788086675,True
bnn-baseline,iteration2_wall2,Wall expansion,0.68,1.0,0.31999999999999995,0.015605302367410331,0.015605302367410335,True
bnn-baseline,iteration2_wall2,Wall expansion,0.8,1.0,0.19999999999999996,0.020110454165441247,0.020110454165441348,True
bnn-baseline,iteration2_wall2,Wall expansion,0.9,1.0,0.09999999999999998,0.0258114884824089,0.025811488482408895,True
bnn-baseline,iteration2_wall2,Wall expansion,0.95,1.0,0.050000000000000044,0.030756285534447893,0.030756285534447977,True
bnn-baseline,iteration2_wall2,Wall expansion,0.99,1.0,0.010000000000000009,0.040420610874918474,0.04042061087491848,True
bnn-data-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.5,0.632183908045977,0.13218390804597702,10.580317834526928,7.228076284498324,False
bnn-data-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.68,0.8,0.12,13.055547742444912,10.656970605515037,False
bnn-data-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.8,0.8988505747126436,0.09885057471264358,15.444977434060506,13.733570414645623,False
bnn-data-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.9,0.9586206896551724,0.05862068965517242,18.856791199381338,17.626846796385983,False
bnn-data-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.95,0.9862068965517241,0.036206896551724155,21.969435161501018,21.003683437748855,False
bnn-data-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.99,0.9977011494252873,0.007701149425287324,27.95383303563445,27.603519099415657,False
bnn-data-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.5,0.6436781609195402,0.14367816091954022,18.586947556613904,12.666129984674141,False
bnn-data-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.68,0.7931034482758621,0.11310344827586205,23.089832416441283,18.67475793272893,False
bnn-data-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.8,0.8850574712643678,0.0850574712643678,27.272375008373388,24.066042080745692,False
bnn-data-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.9,0.9586206896551724,0.05862068965517242,33.09436892544447,30.888430607986844,False
bnn-data-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.95,0.9862068965517241,0.036206896551724155,38.5117709088106,36.805835205423406,False
bnn-data-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.99,0.9977011494252873,0.007701149425287324,49.15601675664871,48.37106682139848,False
bnn-data-mono,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.5,0.639080459770115,0.13908045977011496,21.355260810715656,14.794725819273149,False
bnn-data-mono,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.68,0.8022988505747126,0.12229885057471257,26.682595976917533,21.81312868968862,False
bnn-data-mono,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.8,0.896551724137931,0.096551724137931,31.70761488808204,28.110440566340227,False
bnn-data-mono,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.9,0.9586206896551724,0.05862068965517242,38.59199208091465,36.07935986649096,False
bnn-data-mono,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.95,0.9885057471264368,0.03850574712643684,44.90348762027976,42.99120892273074,False
bnn-data-mono,iteration1_max_monolith_temp,iteration1_max_monolith_temp,0.99,0.9977011494252873,0.007701149425287324,57.70803324525359,56.500025822744774,False
bnn-data-mono,iteration1_max_global_stress,iteration1_max_global_stress,0.5,0.7954022988505747,0.2954022988505747,33.56114824879241,28.71263451722156,False
bnn-data-mono,iteration1_max_global_stress,iteration1_max_global_stress,0.68,0.9287356321839081,0.24873563218390804,44.62450188612358,42.33349096123497,False
bnn-data-mono,iteration1_max_global_stress,iteration1_max_global_stress,0.8,0.9793103448275862,0.17931034482758612,55.80183000491694,54.55490125054977,False
bnn-data-mono,iteration1_max_global_stress,iteration1_max_global_stress,0.9,0.993103448275862,0.09310344827586203,70.38851825925914,70.02045770340347,False
bnn-data-mono,iteration1_max_global_stress,iteration1_max_global_stress,0.95,1.0,0.050000000000000044,83.43452148628779,83.43452148628779,False
bnn-data-mono,iteration1_max_global_stress,iteration1_max_global_stress,0.99,1.0,0.010000000000000009,109.65154822597123,109.65154822597123,False
bnn-data-mono,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.5,0.6551724137931034,0.15517241379310343,3.5762617915237205,2.548836019586161,False
bnn-data-mono,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.68,0.8183908045977012,0.13839080459770114,4.492364251949955,3.7579667770333924,False
bnn-data-mono,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.8,0.9103448275862069,0.1103448275862069,5.386929268198997,4.842867946128927,False
bnn-data-mono,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.9,0.960919540229885,0.060919540229884994,6.606019975178413,6.215753716201105,False
bnn-data-mono,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.95,0.9885057471264368,0.03850574712643684,7.731740721044056,7.406527377821558,False
bnn-data-mono,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.99,0.9977011494252873,0.007701149425287324,9.963667794058281,9.733826951828915,False
bnn-data-mono,iteration1_Hcore_after,iteration1_Hcore_after,0.5,1.0,0.5,0.2263851850204654,0.22638518502046567,False
bnn-data-mono,iteration1_Hcore_after,iteration1_Hcore_after,0.68,1.0,0.31999999999999995,0.3337790260267896,0.33377902602678955,False
bnn-data-mono,iteration1_Hcore_after,iteration1_Hcore_after,0.8,1.0,0.19999999999999996,0.4301389134449258,0.4301389134449255,False
bnn-data-mono,iteration1_Hcore_after,iteration1_Hcore_after,0.9,1.0,0.09999999999999998,0.5520773185370728,0.5520773185370731,False
bnn-data-mono,iteration1_Hcore_after,iteration1_Hcore_after,0.95,1.0,0.050000000000000044,0.6578406997950046,0.6578406997950061,False
bnn-data-mono,iteration1_Hcore_after,iteration1_Hcore_after,0.99,1.0,0.010000000000000009,0.8645492289475603,0.8645492289475604,False
bnn-data-mono,iteration1_wall2,iteration1_wall2,0.5,1.0,0.5,0.011559710049787545,0.01155971004978768,False
bnn-data-mono,iteration1_wall2,iteration1_wall2,0.68,1.0,0.31999999999999995,0.01704346846381041,0.017043468463810548,False
bnn-data-mono,iteration1_wall2,iteration1_wall2,0.8,1.0,0.19999999999999996,0.021963809690570334,0.021963809690570317,False
bnn-data-mono,iteration1_wall2,iteration1_wall2,0.9,1.0,0.09999999999999998,0.02819024454615219,0.028190244546152193,False
bnn-data-mono,iteration1_wall2,iteration1_wall2,0.95,1.0,0.050000000000000044,0.033590748210366284,0.033590748210366485,False
bnn-data-mono,iteration1_wall2,iteration1_wall2,0.99,1.0,0.010000000000000009,0.044145726273995524,0.0441457262739955,False
bnn-data-mono,iteration2_keff,$k_{\mathrm{eff}}$,0.5,0.8114942528735632,0.31149425287356325,0.0007781404368909924,0.0006882289474021007,True
bnn-data-mono,iteration2_keff,$k_{\mathrm{eff}}$,0.68,0.9471264367816092,0.2671264367816092,0.0010548356202889305,0.001014714755855375,True
bnn-data-mono,iteration2_keff,$k_{\mathrm{eff}}$,0.8,0.9770114942528736,0.17701149425287355,0.0013270774643517709,0.0013076564688193812,True
bnn-data-mono,iteration2_keff,$k_{\mathrm{eff}}$,0.9,1.0,0.09999999999999998,0.0016783589075716023,0.0016783589075716032,True
