level,output,MAE,RMSE,R2,PICP90,MPIW90,CRPS
0,iteration1_avg_fuel_temp,3.239386796951294,4.1217122077941895,0.8100100159645081,0.8988505747126436,13.417600192904857,2.297873644579183
0,iteration1_max_fuel_temp,5.687484264373779,7.280455589294434,0.8029536008834839,0.8896551724137931,22.79240257852777,4.016961842639606
0,iteration1_max_monolith_temp,6.525341033935547,8.352364540100098,0.8048856258392334,0.8896551724137931,26.286938093393978,4.623461372861734
0,iteration1_max_global_stress,8.836626052856445,11.241317749023438,0.9281597137451172,0.9356321839080459,40.46105730692436,6.254446342166383
0,iteration1_monolith_new_temperature,1.0760654211044312,1.4031903743743896,0.8105065822601318,0.8873563218390804,4.398692557264139,0.763932960857715
0,iteration1_Hcore_after,0.027010196819901466,0.03447609767317772,0.9630818963050842,0.9977011494252873,0.3387439004844154,0.02866183567488687
0,iteration1_wall2,0.0014752574497833848,0.001818863209336996,0.994437038898468,0.9977011494252873,0.012017022372073836,0.0011966175021257163
0,iteration2_keff,0.00020661327289417386,0.00026244192849844694,0.8649820685386658,0.9563218390804598,0.0011477204577804584,0.00015276707361809876
0,iteration2_avg_fuel_temp,1.9305826425552368,2.427473783493042,0.5836783647537231,0.8919540229885058,7.571959232750963,1.3660427207256751
0,iteration2_max_fuel_temp,3.6410741806030273,4.547885417938232,0.5801082253456116,0.8850574712643678,14.289874509261795,2.5667636345944973
0,iteration2_max_monolith_temp,4.0943193435668945,5.130188941955566,0.5789793133735657,0.8942528735632184,16.35846143678409,2.8837827271788115
0,iteration2_max_global_stress,6.250023365020752,7.931155681610107,0.9288990497589111,0.9310344827586207,30.359931791742166,4.473391827878479
0,iteration2_monolith_new_temperature,0.5386788845062256,0.6775659322738647,0.5863528847694397,0.8896551724137931,2.172963227152136,0.37787792568921075
0,iteration2_Hcore_after,0.070711649954319,0.6048828959465027,0.06524479389190674,0.9977011494252873,0.8144104200395735,0.09075040882528453
0,iteration2_wall2,0.0011741506168618798,0.0014516590163111687,0.9963699579238892,1.0,0.011801346202113545,0.0010749072596660336
