output,y_true_mean,y_true_std,y_true_min,y_true_max,y_pred_mean,y_pred_std,y_pred_min,y_pred_max,is_near_constant_target
iteration1_keff,1.1133586168289185,2.384185791015625e-07,1.1133588552474976,1.1133588552474976,1.1157383918762207,0.03818099573254585,1.0389171838760376,1.2475050687789917,False
iteration1_avg_fuel_temp,1016.4944458007812,10.665511131286621,1000.5399780273438,1095.18994140625,1015.85888671875,4.471616268157959,1007.870361328125,1034.2745361328125,False
iteration1_max_fuel_temp,1103.9498291015625,18.35867691040039,1075.260009765625,1235.780029296875,1102.2418212890625,8.650877952575684,1080.374267578125,1136.4627685546875,False
iteration1_max_monolith_temp,1069.199951171875,21.223966598510742,1036.489990234375,1223.1400146484375,1066.94482421875,11.939885139465332,1042.6019287109375,1115.3966064453125,False
iteration1_max_global_stress,205.99012756347656,40.283599853515625,114.62000274658203,361.19000244140625,203.5694580078125,6.886501312255859,187.2373046875,237.44671630859375,False
iteration1_monolith_new_temperature,955.543212890625,3.692444086074829,950.5297241210938,984.2059936523438,955.1589965820312,2.083334445953369,950.154541015625,962.4553833007812,False
iteration1_Hcore_after,152.32640075683594,0.1787981390953064,151.7963409423828,152.75216674804688,152.3375244140625,0.13180311024188995,151.78636169433594,152.5767364501953,False
iteration1_wall2,29.92117691040039,0.024604765698313713,29.8565673828125,29.991519927978516,29.921600341796875,0.013440289534628391,29.87541961669922,29.952259063720703,False
iteration2_keff,1.1035970449447632,0.000734254892449826,1.1015880107879639,1.105554461479187,1.1034988164901733,0.00038828281685709953,1.102389931678772,1.1046907901763916,False
iteration2_avg_fuel_temp,1000.96484375,3.7757062911987305,992.72998046875,1016.9099731445312,1000.775390625,1.522662878036499,997.3065185546875,1006.399169921875,False
iteration2_max_fuel_temp,1074.49072265625,7.021205425262451,1058.68994140625,1103.1400146484375,1074.1805419921875,3.92704176902771,1064.5213623046875,1089.5933837890625,False
iteration2_max_monolith_temp,1036.9324951171875,7.918133735656738,1019.4400024414062,1069.4599609375,1036.2515869140625,4.557652473449707,1024.97802734375,1051.8145751953125,False
iteration2_max_global_stress,162.96035766601562,28.976417541503906,93.93000030517578,262.5799865722656,161.01052856445312,2.897993326187134,150.2630157470703,166.15126037597656,False
iteration2_monolith_new_temperature,950.791748046875,1.062422513961792,948.7127685546875,955.7238159179688,950.639404296875,0.4470355808734894,949.2604370117188,951.8119506835938,False
iteration2_Hcore_after,152.31150817871094,0.17827968299388885,151.78211975097656,152.73471069335938,152.3196258544922,0.12742505967617035,151.83641052246094,152.59475708007812,False
iteration2_wall2,29.917600631713867,0.024399694055318832,29.85307502746582,29.987077713012695,29.918428421020508,0.014286440797150135,29.871322631835938,29.95009422302246,False
