sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,stress_pred_epistemic_mean,stress_pred_aleatoric_mean,keff_mean,keff_std,sample_source
0.5,110.0,0.99775,162.84494156658474,19.527092883301396,131.37418058302697,162.69272927734266,195.3717227522695,163.00358678860312,12.180063955421225,6.418364398176053,10.338737064700295,1.103578721038189,0.0005223329437237311,predictive
0.5,120.0,0.98745,162.84494156658474,19.527092883301396,131.37418058302697,162.69272927734266,195.3717227522695,163.00358678860312,12.180063955421225,6.418364398176053,10.338737064700295,1.103578721038189,0.0005223329437237311,predictive
0.5,131.0,0.95195,162.84494156658474,19.527092883301396,131.37418058302697,162.69272927734266,195.3717227522695,163.00358678860312,12.180063955421225,6.418364398176053,10.338737064700295,1.103578721038189,0.0005223329437237311,predictive
1.0,110.0,0.9582,163.7346063660782,33.44564236397014,112.8414381915915,161.63945175536512,221.67000715011935,163.74140767420087,15.283173401337761,8.88873547639529,12.380386706723055,1.1035529833480882,0.0008485901502656105,predictive
1.0,120.0,0.91795,163.7346063660782,33.44564236397014,112.8414381915915,161.63945175536512,221.67000715011935,163.74140767420087,15.283173401337761,8.88873547639529,12.380386706723055,1.1035529833480882,0.0008485901502656105,predictive
1.0,131.0,0.8451,163.7346063660782,33.44564236397014,112.8414381915915,161.63945175536512,221.67000715011935,163.74140767420087,15.283173401337761,8.88873547639529,12.380386706723055,1.1035529833480882,0.0008485901502656105,predictive
1.5,110.0,0.8949,164.99189285609594,48.73868707509317,94.69239449645568,161.54501435831475,246.16611701535172,164.77153508224282,21.445920477922105,12.627261864292265,17.070396092614274,1.103557758947966,0.001390666770462908,predictive
1.5,120.0,0.84015,164.99189285609594,48.73868707509317,94.69239449645568,161.54501435831475,246.16611701535172,164.77153508224282,21.445920477922105,12.627261864292265,17.070396092614274,1.103557758947966,0.001390666770462908,predictive
1.5,131.0,0.76695,164.99189285609594,48.73868707509317,94.69239449645568,161.54501435831475,246.16611701535172,164.77153508224282,21.445920477922105,12.627261864292265,17.070396092614274,1.103557758947966,0.001390666770462908,predictive
2.0,110.0,0.81295,165.78682758629577,77.12293251575751,71.46003775557908,157.52752232734736,280.6671621428335,165.5245375929082,35.369848285760376,17.83035979432041,29.383372489681612,1.1034658157450943,0.0024362528261491845,predictive
2.0,120.0,0.755,165.78682758629577,77.12293251575751,71.46003775557908,157.52752232734736,280.6671621428335,165.5245375929082,35.369848285760376,17.83035979432041,29.383372489681612,1.1034658157450943,0.0024362528261491845,predictive
2.0,131.0,0.68485,165.78682758629577,77.12293251575751,71.46003775557908,157.52752232734736,280.6671621428335,165.5245375929082,35.369848285760376,17.83035979432041,29.383372489681612,1.1034658157450943,0.0024362528261491845,predictive
