E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha
-73936815.95844476,197020837268.5689,0.2755892984344346,9.297344674617504e-06,4.579052388167499e-09,887.2525539285609,22.44365724026938,0.01297876653284837
-74391043.19816281,199906008250.07474,0.30570322545495354,9.133703644708e-06,4.58578935849591e-09,833.0384878128201,22.783390088158818,0.012988359341850135
-72083823.2783544,203374516313.56094,0.29841510876825367,9.104415527165686e-06,4.5099537879931555e-09,822.9081453352496,22.276856708924093,0.013351856542252846
-72104407.15598671,199955632029.27167,0.2995932663398991,8.952021495064196e-06,4.560777971305826e-09,832.0849651190085,22.305924872437036,0.01351058824072117
-72683896.02778342,202524294097.59747,0.3103214495282689,8.795286261874105e-06,4.603517339323847e-09,829.6145391069363,22.741397733745757,0.013460152607264228
-73791529.34071757,198899377278.07666,0.30859709034678523,8.34391194927481e-06,5.004465075418695e-09,867.8507498318298,22.365975136838625,0.013971422523882811
-69465134.58163132,195141111646.34296,0.31548729379377105,8.170343186606308e-06,5.072935669031069e-09,868.1272609235759,21.98699274685215,0.013906380327069633
-73010499.23232776,191965498536.79465,0.319906458410646,8.265036607601292e-06,5.125487922970667e-09,889.1213165888902,22.19310557746979,0.013861479974428865
-70340400.42965017,189440591069.3484,0.32999686158622143,8.112942200240201e-06,5.175104384516986e-09,870.6280746737456,21.326272635116414,0.013435119634679658
-71937152.61364062,187930941559.7018,0.32404402015554024,8.65946805746601e-06,4.915752678319174e-09,895.0408379100875,21.299266107941424,0.012947169038721248
-71592631.85427159,189333624010.99603,0.3271689581650092,8.612809311510882e-06,4.644930565114109e-09,917.159664685723,21.635182138936194,0.012333983533970876
-71860632.64963847,192129136796.11288,0.31829102102120127,8.639072341944045e-06,4.664974506813826e-09,923.8099251761658,22.019928506644195,0.01159430445586724
-66606217.56880059,190537507887.59827,0.29487669945634226,8.523189403286908e-06,4.497212229932855e-09,952.9628865178133,22.591856898877943,0.011872061891889154
-70767986.1876679,197792815971.2981,0.2960780007055779,8.464666730644084e-06,4.918164904864061e-09,913.5797463020497,22.165135060193673,0.011530410194958552
-69013986.1732415,194842148776.3596,0.29621847619450525,8.75134264224877e-06,4.951239952404623e-09,941.6631753874408,21.663937106526973,0.011267581909226167
-70935043.86224228,191851755723.24023,0.29628214208447584,8.850850030256327e-06,4.88380061074689e-09,958.6097636993629,22.497607833228084,0.011321057880327588
-70343605.88360903,185085783600.38614,0.30823488540322097,8.762206549766433e-06,4.8370274852777686e-09,950.6350318431703,23.426150547087456,0.011755089738876087
-67812772.55411816,184366442477.10022,0.30602994230833086,8.633901124031148e-06,4.973459004953712e-09,919.4659356219287,23.792838514259778,0.011575143386612726
-66782665.601501465,196635294664.0228,0.31631215463203505,8.4567505907084e-06,4.963820426384844e-09,1010.9033575321358,24.677938433476015,0.01196913087405297
-67012448.31783517,192975692760.11865,0.2892667457295082,8.917511604289079e-06,4.862503158180676e-09,983.4002879352129,24.467063382540086,0.011263410158323533
-70468438.88987859,193582118114.62695,0.2924576426288553,8.914796249721393e-06,4.798727864381186e-09,1037.0435672597816,22.727065829981385,0.01214431787793688
-70570705.10242626,192469457604.02066,0.28522494665731146,8.926276322317045e-06,4.753979231809447e-09,1057.880042131233,22.91875974549625,0.011744535154607643
-70791968.2426256,197277953368.4087,0.3014845795892985,8.657112724933092e-06,5.013404921451587e-09,979.2718427853644,22.13709123261372,0.011236881983801189
-69835252.37846598,193943664684.539,0.2838809452301625,8.693650075025282e-06,5.138831376429729e-09,992.4663259421943,24.51132213591919,0.011758425793268391
-70121658.92642173,199513664780.0656,0.2827777423968093,9.094335642827166e-06,4.754232662597395e-09,979.829619358029,23.833178403404844,0.012240776320863775
-69933461.04618038,205627536462.05203,0.2670522747320694,9.307439625585341e-06,4.567350647781214e-09,1009.6087256429654,23.6202555371864,0.011908018759676094
-72877705.84971394,198363555738.5697,0.26494435651794535,9.63490855391539e-06,4.6508261821507135e-09,994.7601025105072,24.36750915344984,0.011581201316836032
-73521920.90310875,205856213749.811,0.2540727153136659,9.121010019889215e-06,4.762194537153031e-09,923.9420833762953,23.268715904688037,0.011280170081456946
-68909264.34817275,204145760900.5044,0.24164464796977672,8.867446757016772e-06,5.201203991377127e-09,936.2059603608255,23.36316114760738,0.011840657922333681
-70274931.24569665,206543415675.34634,0.26971018120903,8.72032696801504e-06,5.202765481730272e-09,953.8699490655101,22.36831069654877,0.012352595631655186
-68462536.7981736,196295885861.77057,0.27782511292016643,8.825723888995533e-06,4.9061421751145956e-09,897.1724110967095,22.196307025827632,0.013077961800818664
-67951748.1134752,198885191973.65497,0.26527957749174713,9.319084580902336e-06,4.700422683612321e-09,836.6444515249577,22.774622531607974,0.013656897895615075
-71167331.93508792,206791238583.45123,0.2650458134934466,9.142912623759943e-06,4.7001323265760656e-09,895.383776690675,23.987601783729076,0.013434012291521177
-73273922.6330788,206947981147.78952,0.2532019001273212,9.611779104393811e-06,4.708125369773764e-09,938.8093635695112,23.10774992888914,0.013921078577694009
-71062339.56621875,210049372446.76456,0.2534772945127841,9.645426458077902e-06,4.433970227707133e-09,969.8458314124499,23.71475213415466,0.014483441065494504
-73395885.33607425,210931089775.92844,0.2634708434627947,9.670196536864742e-06,4.434445506117196e-09,1026.8066822194946,25.46014526711015,0.014686004160247061
-77309738.5358371,216634842688.21643,0.2700416208444279,9.263079196240256e-06,4.3297848042402475e-09,1067.6491910263637,25.946274388306307,0.015325589296800396
-76761442.28754497,214001395999.5473,0.2845945913109086,9.386132210118034e-06,4.517142383650971e-09,1058.0591856105343,25.57978963270674,0.015343514700052484
-73252385.85638,226949865714.0272,0.29307328069764854,9.042331407963747e-06,4.6535010511464455e-09,1054.2850216615416,25.367545786301896,0.014900105362400275
-74480241.15610972,217164161976.17044,0.3006245757630444,9.229556553743156e-06,4.539722339901487e-09,1060.2697905434857,26.38228568503652,0.014932048205594236
-73543702.12030083,207849503207.4451,0.2857401951586792,9.234972137259848e-06,4.588410949697845e-09,1059.620393502428,26.49805188963698,0.014552847821843965
-70326323.70778315,203147442414.04944,0.3219205084418755,8.651268218222513e-06,4.590139003769532e-09,938.529509363905,25.263068545328423,0.013906589906744036
-69755388.72068758,200783174949.37476,0.3194255285069253,8.498352828110638e-06,4.586039112616627e-09,907.9853447753605,25.353070132372302,0.013569564578268507
-68550975.30964594,200325512509.27722,0.3423501327704243,8.60920651383679e-06,4.637441023637327e-09,949.9174562372988,25.325369871666325,0.013489408741637666
-67277131.01232657,195077292932.81842,0.33582007053452,8.809432829276328e-06,4.600145326732913e-09,952.3995659000045,25.348524752279484,0.013842579736445019
-69721909.81399958,199563697701.7884,0.35012864296103374,8.639843550850573e-06,4.4677048812233336e-09,992.2406919953924,24.15080798636742,0.014442382987282886
-73070788.20838836,204955615671.08612,0.355911680334871,8.868528480169374e-06,4.230530506098216e-09,935.04976236901,23.59904422040819,0.014173704818263078
-72392570.22550255,198429206798.12106,0.35519551692591195,8.332759050763859e-06,4.379056456275749e-09,952.6688846154119,23.70538573936077,0.014217279908071147
-70875070.13336481,192389363646.69824,0.3368784990043776,9.135786730066286e-06,4.261297937660281e-09,1040.8950985043102,23.968751296502234,0.013671563117528564
-71855913.46048272,198031582876.03412,0.3388111024735548,8.839007120196645e-06,4.549142983294027e-09,1051.5482184475047,25.823714795187207,0.013893329794504977
-71705164.53145166,202311582993.30286,0.3264713934876097,8.571399807611027e-06,4.648677510524399e-09,987.8426822842282,25.465920841679416,0.014676269774758478
-74171572.90072516,206413063192.10693,0.33518216969593323,8.671729526946911e-06,4.5795004906969535e-09,969.3406867176384,25.31787177868305,0.013428086149097374
-78914832.50720352,206541615582.37448,0.3411489214300017,8.633708683353463e-06,4.602290425817455e-09,922.323380653346,23.341631549793885,0.014388424230655722
-75693483.01877964,193646829647.18692,0.32581381571307494,8.411928439897455e-06,4.8913573600200874e-09,948.8332763352653,23.553425734846588,0.0149730400019551
-73196396.07599846,197179334726.47617,0.3202076005263529,8.382755614866731e-06,4.919411918434307e-09,926.0315782318772,23.943519980617026,0.014964516036067214
-71693309.19871172,204852941224.58084,0.3231374191916937,8.061147339314282e-06,5.2184506465797725e-09,936.6138526557584,24.050598748039913,0.014302682065464496
-70334157.36485553,197796136778.09378,0.3282846745556847,8.208036504908144e-06,5.053120652690005e-09,940.3286084010441,23.630664625822945,0.01475847662160439
-67670145.35972337,198022928593.02692,0.35451778946645823,7.911503023344972e-06,5.110163667691616e-09,903.2940364438881,23.601074178880292,0.014569625116584198
-65645381.23291675,198839942859.46,0.3421099832377126,8.131763446092966e-06,4.716644812957596e-09,850.4400043210404,22.85481745888069,0.015300695085135273
-66370125.61190551,198179282407.2393,0.3418609225999424,8.303760560323127e-06,4.7626696450047216e-09,839.8154558413121,23.09927423110511,0.014810255434058244
-64302341.68704654,205412881446.6624,0.3345247420186827,8.517642619374961e-06,4.626925419292327e-09,841.3585212554964,23.136767525321783,0.01434711731475629
-62913265.46339316,201846174419.9319,0.3122252057663886,8.785443729726895e-06,4.661916823153585e-09,837.3939582770705,23.209738620732352,0.014221714746778236
-62778093.123705566,199471096287.94717,0.3130272898036628,8.8682628424081e-06,4.654263008907052e-09,904.3927861051628,24.587634795191136,0.013820640264182458
-64188555.492665835,198425344983.71878,0.32047303368267166,8.89740187542272e-06,4.4969769261435335e-09,865.1240972247978,24.343485348213513,0.014145466182808732
-67304562.18652575,194925356240.70648,0.3244530736356682,9.059811035955474e-06,4.539162498050446e-09,871.4537915595344,24.589056731065405,0.01347388925156924
-67957911.29949403,195659869707.41867,0.3141247584667016,8.696355499469041e-06,4.583010776335152e-09,895.4200525381361,24.95057944434867,0.01390220706514635
-67936529.20843232,206050283621.16968,0.31089532723422075,8.832028471879335e-06,4.533141383076258e-09,912.0608351335555,24.41442505614467,0.013916669154711096
-66793489.08884555,207274297200.77646,0.30594690123911145,8.977243387240816e-06,4.670067526339763e-09,895.9752687523415,23.603777733097854,0.014017575209373264
-62714246.09462854,200547785493.29312,0.30516971099331297,9.008309189216489e-06,4.508509260408931e-09,920.1267980613184,23.338957724769877,0.01348887051740875
-66671263.1865832,198037411970.53882,0.29511397263289557,9.104610586841907e-06,4.557842488419492e-09,916.163710245498,23.74037697771421,0.01423465812392467
-69833022.3011851,203783887073.8904,0.2867254700310666,9.22982607069511e-06,4.506532968437433e-09,949.9874295680045,23.456804121054446,0.014846660227915694
-70365100.81159024,203730107495.2431,0.28218311759771064,9.406863431846238e-06,4.5301698160045215e-09,918.2668982358031,23.725756242821156,0.01507542532186802
-69745715.06168184,205538045574.71597,0.26695804990010874,9.031105489798509e-06,4.89321660174544e-09,885.2506826474597,22.992171809162024,0.016034254781835986
-71373989.27156784,202547237083.3264,0.2788297326472536,8.792715002270838e-06,5.1415456241014835e-09,910.0978620369233,23.740829227058445,0.015501844570690329
-71554079.81169844,200771954534.3257,0.2774275596667755,8.622098245474259e-06,4.992853763817396e-09,923.4853049001488,23.740271956549588,0.015096613752763981
-69639196.3141086,204497001730.10675,0.2767049607338118,9.089749341114807e-06,4.846202140865407e-09,904.2251423154863,24.22940658355364,0.014939799810958559
-70393499.50154343,208342913774.663,0.27834672599129945,9.133982581519821e-06,4.872676162491482e-09,891.4201274052227,24.658969382559487,0.014264447841139978
-76302526.58919267,209498821653.61322,0.28335061469895,9.087860772680414e-06,4.754111493972417e-09,920.6970822373405,23.478139450601365,0.014491485002713434
-77720727.71866292,204900253820.7536,0.27201032333862313,9.277126973460611e-06,4.514727684979758e-09,905.6518726669592,23.205608283578716,0.014699001537894642
-79341751.96008153,211011608272.08047,0.27732784250965387,9.570813506409622e-06,4.403363960762284e-09,923.3393852926887,23.21288117663597,0.014313176407942942
-72756718.52532879,215483203130.74753,0.26353695275195965,9.216587877680851e-06,4.534093115384932e-09,876.5739795199837,22.60058321798983,0.013712045053160956
-71824327.0519719,212649189857.22418,0.2708236494015729,9.444462239969665e-06,4.52183695132261e-09,871.8901855874311,21.959558486517146,0.013489510026333957
-70550228.02147761,213731322088.92673,0.24472504449982022,9.759886433003556e-06,4.215975597826203e-09,814.0466116585446,23.1544281881104,0.01403928621601543
-73346876.6042329,211039835419.611,0.24128673611866128,1.0014766503698442e-05,4.1870427049148335e-09,794.4346691358925,23.676444256553996,0.01410856592207275
-67190720.74384099,217779517282.88727,0.22323139361885505,1.0076536748364913e-05,4.268375628753008e-09,846.8368714407708,23.570717348604735,0.01404058934394977
-65050145.11444676,211660940115.95206,0.23680939162155,9.71960884593079e-06,4.37020873919205e-09,832.1913849213873,23.875428210839782,0.014494998007441157
-71037062.23303181,209361041846.0375,0.2357269735581229,9.879173932966344e-06,4.208301776114167e-09,806.8043260562112,24.02779467859873,0.01479240630092142
-70619503.04900981,217620906417.22104,0.2610890944214582,9.706005433120447e-06,4.153122336178197e-09,838.4801698134153,22.615902147137184,0.01479412954777572
-71856087.96775177,215925724651.18127,0.2644101067783965,9.876935514759748e-06,4.100912623148507e-09,774.6538409970948,23.0912919760592,0.013994046908870844
-73879383.809131,212124138279.129,0.2821685698961492,9.770648161858893e-06,4.229061153158134e-09,797.0869709787328,23.237879241463688,0.01361001671504675
-77629918.54274303,205502100318.09842,0.2729993698021361,9.709231533254788e-06,4.063626278867952e-09,787.2824311122874,22.99526570230177,0.01316701327081178
-79371809.04304405,193318418567.86975,0.27921994858866367,9.616566342971625e-06,4.19604376935754e-09,767.4785438641759,21.58292212348643,0.012470439765562662
-73944468.7497044,196172142978.90744,0.26576086202467614,9.693701974042674e-06,4.1805069569728856e-09,729.4329635650842,22.54002833751395,0.012440320807036494
-71629213.53972249,190693472892.1118,0.2860690044928017,9.0889340170894e-06,4.370076249057631e-09,736.4463084103538,22.621875193080438,0.012236033997014574
-73515957.1866804,192567236654.69543,0.29533218987403215,8.940409352619893e-06,4.544132618128703e-09,746.4573620572153,23.010937133171527,0.012336797716804217
-74914006.1483461,191652713196.51212,0.29541822072501905,9.299352535736818e-06,4.528870843286041e-09,797.4730892139165,22.747744654587844,0.012527091171927306
-76027012.66715841,189106704191.48053,0.3050204105215349,9.10686672994697e-06,4.408790078632934e-09,807.5721234983477,22.788232112929265,0.011744824865878883
-75373114.85074453,196392616278.64984,0.32071758640248693,8.910798531012772e-06,4.538537214922748e-09,816.7584157006277,21.835869479414992,0.011874686895854475
-72844294.49234284,201437947500.25897,0.3261801562111026,8.813983734064692e-06,4.372020992115007e-09,825.9818982792669,22.148084020009485,0.012310702483463372
-71982392.01408389,197880784349.4156,0.3197405116268921,8.688806928532549e-06,4.495368090579294e-09,827.773486283655,21.92720273841291,0.012241483790524614
-74995518.98695606,210802295058.04913,0.31745919412295176,8.541036424888579e-06,4.596138214819089e-09,780.3302385684184,23.474324327294788,0.011146152422918063
-76140735.2908906,202649054616.20935,0.3280680987702525,9.169219418716122e-06,4.201004273085306e-09,775.7625159249014,24.308412533866196,0.011777899818231274
-76717690.56306015,197332975426.38904,0.32660004405379317,9.093895808517032e-06,4.46186442189237e-09,825.0074493853997,23.757462782846165,0.011812972867091577
