output,y_true_mean,y_true_std,y_true_min,y_true_max,y_pred_mean,y_pred_std,y_pred_min,y_pred_max,is_near_constant_target
iteration1_keff,1.1133588552474976,0.0,1.1133588552474976,1.1133588552474976,1.0425641536712646,0.06622936576604843,0.8681234121322632,1.2551316022872925,True
iteration1_avg_fuel_temp,1014.6852416992188,8.863113403320312,1000.5399780273438,1067.1500244140625,1014.8491821289062,7.0613017082214355,1004.1947021484375,1050.4017333984375,False
iteration1_max_fuel_temp,1100.818359375,15.369105339050293,1075.260009765625,1189.5799560546875,1100.8199462890625,11.15807819366455,1082.3983154296875,1152.00048828125,False
iteration1_max_monolith_temp,1065.58837890625,17.719980239868164,1036.489990234375,1168.8499755859375,1066.1746826171875,12.58289909362793,1045.76025390625,1128.6944580078125,False
iteration1_max_global_stress,203.73809814453125,44.90362548828125,103.08999633789062,412.5,202.94284057617188,41.539859771728516,111.9400634765625,363.5762939453125,False
iteration1_monolith_new_temperature,954.923583984375,3.024254083633423,950.5297241210938,973.6697998046875,954.9356689453125,2.3926427364349365,951.2948608398438,966.1121826171875,False
iteration1_Hcore_after,152.32948303222656,0.17566508054733276,151.915771484375,152.7544708251953,152.35401916503906,0.1930965781211853,151.90701293945312,152.841796875,False
iteration1_wall2,29.921667098999023,0.024144114926457405,29.8565673828125,29.978059768676758,29.922298431396484,0.025102542713284492,29.856298446655273,29.97859764099121,False
iteration2_keff,1.1035819053649902,0.0007096963236108422,1.1015880107879639,1.1053885221481323,1.1035250425338745,0.0007303996244445443,1.1015214920043945,1.1052608489990234,False
iteration2_avg_fuel_temp,1000.5131225585938,3.76291561126709,992.72998046875,1022.0800170898438,1000.2528686523438,2.2339718341827393,996.5048828125,1012.2249755859375,False
iteration2_max_fuel_temp,1073.64306640625,6.981391906738281,1058.68994140625,1112.0999755859375,1072.955810546875,4.307919025421143,1066.08154296875,1095.6519775390625,False
iteration2_max_monolith_temp,1035.9761962890625,7.879031658172607,1019.4400024414062,1079.6700439453125,1034.902099609375,4.533461093902588,1027.19482421875,1057.1024169921875,False
iteration2_max_global_stress,162.958740234375,31.80679702758789,86.75,278.3899841308594,162.0812225341797,27.89671516418457,97.62181854248047,265.4216003417969,False
iteration2_monolith_new_temperature,950.6708374023438,1.0656037330627441,948.7127685546875,957.4866333007812,950.617919921875,0.6341895461082458,949.601806640625,953.9038696289062,False
iteration2_Hcore_after,152.31607055664062,0.17454776167869568,151.8998565673828,152.7327880859375,152.35948181152344,0.09865646809339523,152.0990447998047,152.6335906982422,False
iteration2_wall2,29.918405532836914,0.023825131356716156,29.85307502746582,29.975364685058594,29.91720962524414,0.023272689431905746,29.854127883911133,29.96821403503418,False
