parameter,mean,std,q05,q25,q50,q75,q95,min,max
E_slope,-69864670.96711822,5591538.897769073,-79798999.62555294,-73243814.1248056,-69630547.6385057,-66189756.58212906,-60962774.1588034,-89237570.10157071,-53587987.44711961
E_intercept,199041941399.09842,9774686165.701797,183534503553.9821,192362300436.04846,198567572389.87085,205542787405.33197,215047217639.99786,170908504311.97388,233312865967.9271
nu,0.2982317419976104,0.027361705078304936,0.25294327496603375,0.27989452801647907,0.2984094968331207,0.31856028843734047,0.3411723872525522,0.20818261742042837,0.37935495594170804
alpha_base,8.790994784378264e-06,5.295718105684385e-07,7.858112156907263e-06,8.418715429320535e-06,8.823196311803558e-06,9.178473952578389e-06,9.608083304805003e-06,6.859469100953072e-06,1.0145385701216788e-05
alpha_slope,4.804004604906858e-09,4.30192843921158e-10,4.099264065433587e-09,4.512150092392838e-09,4.798659228584308e-09,5.067256891237379e-09,5.5549871963160295e-09,3.7164302772080274e-09,6.216752064266907e-09
SS316_T_ref,928.851497254501,90.21760857206438,774.6521377204829,866.728288301191,936.6939519643583,989.467451485876,1071.9512032844084,653.428135566252,1176.7741679295618
SS316_k_ref,23.457858295495967,1.4492835866818299,21.225698441903834,22.39361482505386,23.406328945372053,24.420012380756663,25.943837124050035,19.00755209488643,28.489568394578928
SS316_alpha,0.013035826432585097,0.0013021081673575997,0.010839069702021614,0.01218019007537264,0.013080176238883077,0.013937610997698816,0.015040480589481655,0.00964012634765681,0.01754878482970748
