E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_keff,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_keff,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2
-73828359.52912702,227804168921.96912,0.302669714364517,7.593503994214167e-06,6.387593747891989e-09,914.0286466383938,26.71819672844564,0.0140078086307154,1.1133589146381226,1011.62,1095.6,1059.55,210.04,953.8294082048008,152.23231234195683,29.897963252431,1.1043490329204264,1000.01,1072.92,1035.02,173.49,950.4743863989848,152.22140498092344,29.895431564703703
-72447102.84019923,184478134887.5801,0.3081833475998529,1.0934811834952634e-05,4.78483072559181e-09,901.5987176964422,24.55461780882044,0.0121284929851471,1.1133589146381195,1005.87,1085.21,1047.72,160.94,952.0467080353616,152.41710047155183,29.934032662778204,1.103169825593923,996.68,1066.1,1027.64,135.03,949.660943041041,152.40941725483128,29.93197318549712
-68355158.07421298,177665444331.38004,0.2845191806629695,8.03799812327039e-06,5.527531338025972e-09,1005.8745763696814,24.326825323178355,0.0122122659640366,1.1133589146381238,1007.32,1087.86,1050.73,133.33,952.484596528478,152.137539173351,29.885851556940747,1.1043745868486192,997.11,1067.27,1028.72,110.42,949.7452364672376,152.1292344365413,29.883824303030867
-72821172.11194499,210080249407.3331,0.312089677173699,1.0005779451709582e-05,5.2260733670441485e-09,682.0991264477448,22.260329614764306,0.0124304541431032,1.1133589146381182,1014.28,1100.28,1064.89,216.05,954.7402702309896,152.372025119971,29.92681617748193,1.103180377889722,1002.33,1077.41,1039.98,180.13,951.1258050308866,152.36035014572215,29.923993156765345
-72163274.0561413,145860821133.12265,0.3311234052662478,1.1272356685332611e-05,4.2779769544770295e-09,831.4605908384615,22.037035370308416,0.0117935083863561,1.1133589146381289,1011.95,1096.17,1060.21,120.81,953.9334723172548,152.38053934700338,29.937970781900685,1.1029303285683894,1000.43,1073.6,1035.93,100.31,950.60886065104,152.37021476311233,29.93528738310326
-92273915.21049409,214646950920.1841,0.2928124790815569,1.0738535424486002e-05,4.894014607604882e-09,1057.584543108327,18.67362246654396,0.0135657739634152,1.1133589146381226,1035.54,1136.84,1107.18,246.79,962.0774915028652,152.44105437510706,29.935950455583477,1.1028280583963892,1005.7,1083.29,1047.02,171.59,952.115072928082,152.40881375760577,29.928579318847103
-76397711.09733656,177385564973.7344,0.2823241910731799,1.163935992051217e-05,4.508865253353106e-09,1009.6395435901252,21.450503576116084,0.0121901974122749,1.1133589146381178,1022.8,1115.11,1081.97,181.74,957.598849623134,152.48636286004896,29.940760773532546,1.103279949959515,1005.19,1082.28,1045.77,143.23,951.9749314187918,152.4681396521947,29.9364549523744
-61995604.603852965,214982497305.09656,0.3136231807595342,7.991399348677288e-06,3.5851128231582463e-09,912.3857375947566,19.690676792684563,0.0114305841369597,1.1133589146381275,1019.15,1108.8,1074.69,194.54,956.3587425284056,151.7925396151112,29.855907049224705,1.105330257102716,1003.68,1079.86,1042.76,155.61,951.484103091474,151.78090865343006,29.85311110891441
-71462765.29975091,217981366377.45023,0.3290978866665071,1.021336069554957e-05,5.332193881288769e-09,991.3164353864312,24.203756454557347,0.0109527640468876,1.1133589146381089,1014.09,1099.94,1064.51,240.31,954.6783429464654,152.4206178153396,29.93697851221805,1.1032713003775771,1002.75,1077.91,1040.77,202.08,951.256524936943,152.4093382200698,29.93420964488909
-63612982.52585776,211973859670.37952,0.2668797916193057,9.76471604363776e-06,5.801026486297828e-09,948.7197207219398,21.990070626628288,0.0119782327584328,1.1133589146381238,1014.63,1100.88,1065.58,223.58,954.8522809543472,152.44119645859374,29.922483306957183,1.1033018522317113,1001.2,1074.94,1037.49,181.39,950.8104161236812,152.42751889479152,29.91933922609258
-65652678.88239522,198619970475.57895,0.2552987155497683,9.693711016774016e-06,5.642540522340622e-09,1007.2546078883324,21.49682275003902,0.0107026341910922,1.1133589146381255,1012.08,1096.41,1060.47,188.36,953.9751420777188,152.39962668427046,29.91485011708765,1.1035018116069673,1000.31,1073.27,1035.61,155.34,950.581028410223,152.38835839220084,29.9122189312722
-74287850.12139224,224067194439.3025,0.3152465123545002,1.0944897228621236e-05,5.060033757897141e-09,843.1668068637132,23.610169465129765,0.0140748267204113,1.1133589146381195,1011.97,1096.21,1060.25,241.15,953.9392397598205,152.47402312936788,29.942673123020413,1.1030135555208305,999.19,1071.29,1033.33,195.2,950.2633044499026,152.46183837613358,29.939615664616184
-71478826.06474446,229779982900.4967,0.3273932199939394,1.1072202977094705e-05,4.121522492979134e-09,799.4165272404308,23.25674353956063,0.0121582078486163,1.1133589146381266,1005.59,1084.7,1047.14,223.4,951.9641536722744,152.31787108963505,29.92850441735397,1.103617374297066,996.47,1066.13,1027.48,187.59,949.6088230761242,152.3107535035264,29.92651206412791
-64430696.38067215,190688279973.03317,0.3155685103533506,1.2191297099421988e-05,4.599681313067287e-09,861.5969185276971,22.633283885969963,0.0117333979845824,1.11335891463813,1006.98,1087.25,1050.03,198.46,952.3814405402494,152.56455169814228,29.957731214222555,1.102534011484506,997.17,1067.19,1028.92,165.49,949.7655219866951,152.55579341784258,29.95536663620132
-69792783.87464605,239582213100.6767,0.2974514746762337,9.763154468168746e-06,5.6506624928148705e-09,912.7923655722226,22.334132381791637,0.0137433862568181,1.1133589146381206,1016.54,1104.25,1069.45,271.08,955.4842206442707,152.41605729407675,29.927246415976537,1.102981993064404,1001.04,1074.41,1036.96,213.48,950.777550764263,152.40036290674655,29.923543864388083
-73755648.70536982,195419701452.65207,0.3030099931793082,8.17167232173524e-06,4.202718377144691e-09,1059.714176757364,24.63182160847673,0.014592837256634,1.1133589146381235,1012.16,1096.56,1060.65,149.76,954.0025439026488,151.92353986243825,29.868098900829114,1.1049670199728994,997.85,1069.08,1030.62,117.43,949.9049623376504,151.91282423080503,29.86546009471945
-80463674.64331874,177090893333.18768,0.3367391071288709,1.0591183642040752e-05,5.175247460580413e-09,782.7716269596997,19.7088586660426,0.0138878460575732,1.1133589146381182,1019.21,1108.9,1074.8,176.36,956.3776156341142,152.45214007664882,29.94476545472408,1.1029005912468586,1001.9,1076.32,1038.93,136.97,951.0183851097204,152.4344425542069,29.94042690785574
-75906552.53462599,186223280234.96167,0.2312413915030648,9.528484187710216e-06,4.825905906518833e-09,884.0721839676331,23.576953146929142,0.0124769957446206,1.1133589146381242,1010.31,1093.26,1056.88,139.55,953.4135837114374,152.22774717239648,29.891114609815155,1.1047972675641455,999.19,1071.69,1033.59,115.59,950.2803260071344,152.2182706483814,29.888878242149616
-72825032.3614794,233216671226.9961,0.2531528216561405,1.1169081096330917e-05,4.908519934938905e-09,847.532902126292,27.39321886812081,0.0107102864208732,1.1133589146381309,1000.84,1075.84,1037.14,197.55,950.6117235507952,152.46794019152034,29.926611049416824,1.1037048451866365,994.62,1062.62,1023.58,172.98,949.1264862179992,152.46304636271734,29.925263019432137
-65914334.642492905,206139391271.4123,0.3190049216386731,9.405085799486624e-06,5.1049964392183796e-09,1014.1711287850144,22.319265029346003,0.0143861643683205,1.113358914638116,1029.27,1126.2,1094.82,252.89,959.8507353750406,152.28011861444512,29.91750017274378,1.103937846947495,1006.48,1084.99,1048.72,189.15,952.355848722055,152.256848798454,29.91212916006493
-61620596.12328449,214494826754.85757,0.2996329818557597,8.73236294708327e-06,4.656168425411176e-09,1058.490597437598,23.054296737712058,0.013742530688018,1.1133589146381249,1019.04,1108.6,1074.46,219.6,956.3192355623918,152.0917566289014,29.888735416632493,1.1042706471425994,1001.71,1076.13,1038.64,169.91,950.9536164759168,152.07645672930687,29.88512826994032
-65652678.88239522,198619970475.57895,0.2552987155497683,9.693711016774016e-06,5.308880389665443e-09,1007.2546078883324,20.895870726029216,0.0107026341910922,1.1133589146381222,1013.66,1099.17,1063.62,188.34,954.5366964176438,152.3415591300653,29.909122129005457,1.103672525333503,1000.97,1074.67,1037.14,154.25,950.74888614888,152.32939951565308,29.906310092109177
-69286863.68705022,175621106231.05145,0.290374330088057,1.0358837518106777e-05,4.762565790524627e-09,1159.3299141550065,23.268730314366582,0.0131737146824824,1.1133589146381255,1025.68,1120.07,1087.7,186.12,958.5947681109355,152.35138186965227,29.92278021055472,1.1031544117747043,1005.36,1082.68,1046.15,142.34,952.0177708911136,152.3307757835889,29.917995567440737
-71211792.6143233,208673310763.9802,0.2809579659449052,1.0254075333824111e-05,5.177436093033871e-09,945.9737651486244,23.675637852170105,0.0115954642244735,1.1133589146381255,1013.62,1099.11,1063.55,207.75,954.5247649072064,152.3981428465046,29.923462807312617,1.1033232095166698,1001.8,1076.41,1038.93,173.14,950.984632951183,152.38663407608752,29.92072278110529
-56469678.58585941,184993142967.67987,0.2725915993384364,9.035886037703664e-06,5.1415520899914175e-09,794.6660774340471,23.65303995478688,0.0143323744301687,1.1133589146381255,1009.82,1092.38,1055.87,166.41,953.2586045337996,152.21340649640743,29.89621358971214,1.103886083061938,998.01,1069.08,1030.8,135.13,949.9818728733376,152.20339741064873,29.89378042640853
-64830769.703545496,203492014637.6746,0.2991414648609376,7.900495823847787e-06,4.7521415510691555e-09,795.4090621707378,24.8200747883225,0.0131300755531711,1.1133589146381282,1005.27,1084.12,1046.48,154.84,951.8699859258802,151.97744696677395,29.87104778904925,1.1049548121405997,996.26,1065.88,1026.99,129.96,949.5410901863064,151.9710325196482,29.86940028530549
-64451038.63032473,192994856550.13345,0.3564620656245868,9.54978549018408e-06,4.6772266978807324e-09,912.60371834525,25.46419118036476,0.0134059871499805,1.113358914638129,1007.69,1088.54,1051.5,183.67,952.5980400094784,152.2017118266681,29.91507903100409,1.1041639393206826,997.35,1067.87,1029.4,152.1,949.8032049791844,152.19338982157493,29.91285137036426
-70179432.77341582,199330490108.4149,0.2788961014629433,1.12632649670688e-05,5.809682293891388e-09,941.5784299119056,21.711597412668297,0.0133672045805317,1.113358914638123,1019.15,1108.81,1074.69,231.53,956.3589560759164,152.66283491729854,29.956088928225167,1.101990859753569,1002.27,1076.49,1039.46,180.84,951.1317593293624,152.64394794352702,29.951690432205847
-71211792.6143233,208673310763.9802,0.2809579659449052,1.0254075333824111e-05,5.786195348504348e-09,945.9737651486244,24.36865944250715,0.0115954642244735,1.1133589146381249,1012.11,1096.47,1060.55,211.38,953.986897583879,152.50563064030402,29.934465804111536,1.1032551947948417,1001.11,1075.18,1037.6,177.15,950.80660632657,152.4946531774418,29.93185537977295
-60921008.00480826,214494826754.85757,0.2996329818557597,8.73236294708327e-06,4.656168425411176e-09,1058.490597437598,23.054296737712058,0.013742530688018,1.1133589146381422,1018.27,1107.26,1072.91,218.44,956.0603182240924,152.09101741052052,29.88856938224049,1.1050079637726475,1001.27,1075.2,1037.67,169.05,950.8210285681912,152.0760791680706,29.885035672697477
-66649305.55030984,190918028706.22855,0.2948239578535392,9.376036954698494e-06,4.372459458107848e-09,1075.7889107456965,23.964224039608258,0.0127068266879027,1.113358914638123,1014.42,1100.52,1065.16,172.77,954.7846027028556,152.12857748131864,29.89417808404483,1.1040103199798617,1000.6,1073.95,1036.24,138.89,950.631474205039,152.11672914805771,29.89129842332679
-63026744.4498467,216591395087.59036,0.2754014579628262,9.925786861803177e-06,5.742665359442647e-09,984.4344719170946,22.476156074534146,0.013563265529036,1.113358914638119,1020.86,1111.76,1078.1,254.93,956.9365636074324,152.46085132057948,29.928096538108825,1.103288155027314,1003.25,1078.68,1041.74,198.47,951.3810035131212,152.44201179205757,29.923839444981866
-74499798.98374555,179353664864.2965,0.3269536593722048,8.8732575184278e-06,5.261044478012745e-09,1122.4276985481993,24.408497078052143,0.0139691983003142,1.1133589146381249,1019.84,1109.99,1076.06,169.14,956.5897608336228,152.22180869751563,29.909158980074608,1.1038373863414106,1002.21,1076.86,1039.64,130.99,951.0996886258672,152.20493659937736,29.905162180119003
-63612982.52585776,211973859670.37952,0.2668797916193057,9.76471604363776e-06,5.801026486297828e-09,948.7197207219398,21.990070626628288,0.0126274906102744,1.1133589146381275,1020.18,1110.59,1076.75,239.98,956.706661759065,152.4474811484081,29.923849355348374,1.103268640704812,1003.98,1080.5,1043.61,190.6,951.6118089309396,152.43022852718371,29.919969841913986
