parameter,mean,std,q05,q25,q50,q75,q95,min,max
E_slope,-77646664.24341005,2975264.362158371,-81108033.14290838,-80183882.48226619,-77350834.35845825,-74813616.11960211,-74599457.18284428,-81339070.80806893,-74545917.44865482
E_intercept,186964624709.88617,6064327207.989491,180888152332.6273,181061497983.55814,186308575155.51447,192211701881.84247,193959566463.26538,180844815919.8946,194396532608.6211
nu,0.2865116101125705,0.028970514485199557,0.2559422401297636,0.2587661932833032,0.2875542276857275,0.31529964451499487,0.3156213154929576,0.25523625184137866,0.31570173323744827
alpha_base,8.770210389168329e-06,4.7292809388869294e-07,8.330922784519165e-06,8.362450002363535e-06,8.631422736094955e-06,9.03918312289975e-06,9.403800708120216e-06,8.323040980058073e-06,9.494955104425332e-06
alpha_slope,4.618919058336735e-09,2.297257022422056e-10,4.440341242587221e-09,4.450283871627178e-09,4.516086697814192e-09,4.684721884523749e-09,4.94146217881781e-09,4.437855585327232e-09,5.005647252391325e-09
SS316_T_ref,904.0599895718144,37.25014532985291,857.8236697217347,885.9242829313918,905.2161083332704,923.3518149736931,948.6777431558556,850.7985164193205,955.0092252013962
SS316_k_ref,23.368412446643767,0.7716673811561541,22.54841393267778,22.822224766143165,23.224164562008674,23.770352242509276,24.390357999098892,22.47996122431143,24.545359438246297
SS316_alpha,0.012998595985512045,0.0006101910988861436,0.012168315839935565,0.012733077193647087,0.013160605448877379,0.013426124240742337,0.013602062882377058,0.012027125501507684,0.01364604754278574
