level,base_output,input,iter1_rank,iter2_rank,iter1_ST_mean,iter2_ST_mean,iter1_ST_ci_low,iter1_ST_ci_high,iter2_ST_ci_low,iter2_ST_ci_high,iter1_stable,iter2_stable,ST_shift,rank_shift
0,avg_fuel_temp,E_intercept,6,7,0.0127221756149083,0.0046741769881919,0.0121379393478447,0.0133064118819719,0.0044753344181033,0.0048730195582804,True,True,-0.0080479986267164,1
0,avg_fuel_temp,E_slope,5,4,0.0170727284159511,0.0259327728301286,0.0164619526046652,0.0176835042272369,0.0249113671661576,0.0269541784940996,True,True,0.008860044414177502,-1
0,avg_fuel_temp,SS316_T_ref,2,2,0.2388747170567512,0.2542545698583126,0.2291610947040074,0.2485883394094951,0.2446626059021402,0.263846533814485,True,True,0.015379852801561372,0
0,avg_fuel_temp,SS316_alpha,3,3,0.1142943602055311,0.0346306269057095,0.1099741479249862,0.1186145724860759,0.0323978654009169,0.036863388410502,True,True,-0.0796637332998216,0
0,avg_fuel_temp,SS316_k_ref,1,1,0.6955370455980301,0.7408704787492753,0.6790429342170448,0.7120311569790154,0.7212546873518026,0.7604862701467479,True,True,0.04533343315124516,0
0,avg_fuel_temp,alpha_base,7,6,0.0084343248279765,0.0062968696234747,0.0080950747768245,0.0087735748791285,0.0059055360309667,0.0066882032159827,True,True,-0.0021374552045018,-1
0,avg_fuel_temp,alpha_slope,8,8,0.0082027269760146,0.0024110655300319,0.0078427132896786,0.0085627406623507,0.0022847898299383,0.0025373412301255,True,True,-0.0057916614459827,0
0,avg_fuel_temp,nu,4,5,0.020147178415209,0.0150787287391722,0.0192721974848802,0.0210221593455379,0.0142840584358379,0.0158733990425064,True,True,-0.0050684496760368,1
0,max_fuel_temp,E_intercept,6,6,0.0092693144455552,0.0107766047120094,0.0088449553650698,0.0096936735260406,0.0103728560678703,0.0111803533561485,True,True,0.0015072902664542004,0
0,max_fuel_temp,E_slope,5,4,0.0202790846582502,0.0145612291526049,0.0193096602854938,0.0212485090310065,0.0138191093615114,0.0153033489436984,True,True,-0.005717855505645301,-1
0,max_fuel_temp,SS316_T_ref,2,2,0.2441832058131695,0.2331407606601715,0.2344095723111833,0.2539568393151556,0.2270587924005256,0.2392227289198174,True,True,-0.011042445152997987,0
