benchmark_case_id,parameter,prior_mean,prior_std,prior_var,prior_q05,prior_q50,prior_q95,prior_width90,prior_width50,posterior_mean,posterior_std,posterior_var,posterior_q05,posterior_q50,posterior_q95,posterior_width90,posterior_width50,mean_shift_abs,width90_ratio_post_over_prior,width50_ratio_post_over_prior,var_ratio_post_over_prior,contraction_flag_width90,contraction_flag_var
0,E_intercept,202742453322.3427,32683670109.177147,1.0682222918055197e+21,151855142301.22037,202552655052.83566,253539516597.4649,101684374296.24454,56551348466.145294,178183442300.65082,10668187249.93584,1.1381021919969362e+20,161649378162.02298,177548543363.40765,196767750109.89578,35118371947.8728,15075551892.165894,24559011021.691895,0.3453664556715457,0.2665816519157087,0.10654170023668995,True,True
0,alpha_base,9.461480551249279e-06,1.7222111829645394e-06,2.9660113587281184e-12,6.81873198537893e-06,9.487685892616618e-06,1.2132435255265974e-05,5.313703269887044e-06,3.0125967825748628e-06,7.335117522116526e-06,3.9547222627304044e-07,1.563982817533549e-13,6.680569118523256e-06,7.338440344315012e-06,7.965948099062101e-06,1.285378980538845e-06,5.951981321922369e-07,2.126363029132753e-06,0.24189890087072347,0.19756979614229084,0.052730169523161036,True,True
0,alpha_slope,5.0561885165686705e-09,8.548371016317892e-10,7.30746470326238e-19,3.725672428269353e-09,5.0428386822496925e-09,6.376368282952818e-09,2.650695854683465e-09,1.4691442040661654e-09,4.379633239289511e-09,3.860782102291033e-10,1.490563844137077e-19,3.777880659496172e-09,4.367365903819899e-09,5.008190423689174e-09,1.230309764193002e-09,6.174720645032478e-10,6.765552772791598e-10,0.4641459570018909,0.4202937075844999,0.20397824754071306,True,True
0,SS316_k_ref,22.76990826213507,4.048748495980031,16.392364383700563,16.468378867093243,22.712976736116367,29.17975690460653,12.711378037513288,6.954062042375149,24.79791911916194,1.2172924279084558,1.4818008550432629,22.825179094143586,24.805938741946388,26.769107581695422,3.943928487551837,1.6911927787269754,2.028010857026871,0.3102675788504346,0.24319495115538992,0.09039579772376603,True,True
1,E_intercept,202864958808.40012,32706964786.5521,1.0697455455487592e+21,152332492071.43042,202336330191.60587,253898803114.71332,101566311043.2829,56278129189.770905,184447058089.40448,8510614239.610247,7.24305547354567e+19,171455195345.88278,184381530090.7611,198444219560.42484,26989024214.542053,11254636933.982208,18417900718.995636,0.2657281133607439,0.1999824282721155,0.06770820877622931,True,True
1,alpha_base,9.482972728301453e-06,1.7195299300075767e-06,2.9567831801918618e-12,6.816819476994988e-06,9.466985090358564e-06,1.2163225482055836e-05,5.346406005060848e-06,3.0041304210319627e-06,8.569145814621706e-06,4.2209360255923665e-07,1.7816300932143482e-13,7.816266778568589e-06,8.57468218677798e-06,9.24410367302986e-06,1.4278368944612716e-06,5.385633909380998e-07,9.138269136797466e-07,0.26706480822999545,0.17927430419385568,0.06025568953279627,True,True
1,alpha_slope,5.04203136477456e-09,8.520158842846287e-10,7.259310670733177e-19,3.726885401145326e-09,5.0343579795055305e-09,6.3569722197389734e-09,2.6300868185936476e-09,1.4993255162665757e-09,4.645244902148452e-09,4.159651425537753e-10,1.7302699981978262e-19,3.981556173826649e-09,4.645879359896319e-09,5.360267935891164e-09,1.3787117620645147e-09,5.198401706345351e-10,3.9678646262610797e-10,0.5242077000339234,0.346716016631914,0.23835183210626695,True,True
1,SS316_k_ref,22.742677191823514,4.126563286678329,17.028524558961454,16.387160443866268,22.723999629740014,29.229171335675197,12.842010891808929,7.1580280941304615,23.502201903282106,1.2135177274701006,1.472625274884197,21.41967385931775,23.56004923474905,25.3795974985921,3.9599236392743506,1.7907885505640806,0.7595247114585923,0.3083569756041964,0.25017903352915255,0.08647991021096489,True,True
2,E_intercept,202913224193.8066,32862872305.425385,1.0799683761626947e+21,151307843496.52277,202838477415.64386,253727595144.41992,102419751647.89716,57582064796.358154,200089487951.9966,8064637737.681858,6.503838184004236e+19,186865874774.67728,200263673743.24008,213304949201.64682,26439074426.969543,10837681372.592651,2823736241.8099976,0.25814429347439627,0.18821279526742662,0.06022248732054028,True,True
2,alpha_base,9.45974244836108e-06,1.6999638788896002e-06,2.889877189529375e-12,6.822636325105416e-06,9.439465401654026e-06,1.2124176515622127e-05,5.3015401905167116e-06,2.921855910265783e-06,8.26043738972071e-06,4.09623280115361e-07,1.6779123161246751e-13,7.546547386511451e-06,8.294709298622951e-06,8.89787321546752e-06,1.35132582895607e-06,5.32719637669267e-07,1.1993050586403696e-06,0.2548930651083801,0.18232235059832527,0.05806171702396558,True,True
