level,output,iter1_mean,iter1_std,iter1_q95,iter2_mean,iter2_std,iter2_q95,mean_shift,std_ratio,q95_shift,mean_shift_direction,uncertainty_change,tail_change
0,keff,0.9705305384078808,0.1944345360347622,1.274965860357605,1.103785551420082,0.001655152076808,1.1057787575242994,0.13325501301220122,0.008512644464065628,-0.16918710283330562,increase,reduced,lower
0,avg_fuel_temp,1020.696145597723,15.415899214984105,1051.2632211847272,1001.6838501906255,5.212755494901974,1011.6835994741164,-19.01229540709744,0.33814151365460976,-39.57962171061081,decrease,reduced,lower
0,max_fuel_temp,1109.4199686564154,24.13973822866641,1156.5180306285288,1075.884534336336,10.269669138460523,1095.3468985570605,-33.5354343200795,0.4254258700396621,-61.171132071468264,decrease,reduced,lower
0,max_monolith_temp,1077.690101618124,28.834564968952904,1135.5352091683349,1037.180855219983,11.013773101947862,1057.7062848009743,-40.50924639814093,0.3819642541445089,-77.82892436736051,decrease,reduced,lower
0,max_global_stress,204.2009461658145,72.99769114288364,340.4191893771918,154.03954290850135,47.15740062912323,238.7189697736484,-50.16140325731317,0.6460122216306542,-101.70021960354339,decrease,reduced,lower
0,wall2,29.911274820225884,0.0410693553494596,29.97692164306573,29.9057004390405,0.0374104936689581,29.966347923418773,-0.005574381185383004,0.9109101749886475,-0.010573719646956192,decrease,reduced,lower
2,keff,1.124963229526796,0.1269343799040159,1.2694424414293697,1.1038156506708108,0.0016656925189583,1.1058831323410592,-0.021147578855985172,0.013122469422426973,-0.1635593090883105,decrease,reduced,lower
2,avg_fuel_temp,1018.506060818282,17.124291967877117,1050.9016610234155,1001.5705778781888,5.6202179944732045,1012.3492413486192,-16.935482940093152,0.32820148155705675,-38.55241967479628,decrease,reduced,lower
2,max_fuel_temp,1107.4497756972153,30.079300322994158,1163.3102091733397,1075.7259208668183,10.680511023407112,1096.1786371929138,-31.72385483039693,0.3550784396152336,-67.13157198042586,decrease,reduced,lower
2,max_monolith_temp,1073.4041165453527,33.46348267452255,1137.7127348897825,1037.9251613457943,11.92070355529935,1060.7543445892454,-35.47895519955841,0.35623021283361006,-76.95839030053708,decrease,reduced,lower
2,max_global_stress,199.79082227578192,69.54436096803401,327.2072920856137,156.63400317440465,48.53645925866345,245.01263805989177,-43.156819101377266,0.6979208462490939,-82.19465402572192,decrease,reduced,lower
2,wall2,29.91273727004433,0.035255960430394,29.96894450990011,29.9089974466694,0.0343622849962529,29.964287581386365,-0.003739823374932172,0.9746517915210354,-0.004656928513742997,decrease,reduced,lower
