level,output,group,iter,MAE,RMSE,R2,PICP90,MPIW90,CRPS
2,iteration1_keff,secondary,iter1,0.020620521157979965,0.027478335425257683,0.0,0.9512195121951219,0.1145369637777283,0.014867562304034068
2,iteration1_avg_fuel_temp,secondary,iter1,3.088937997817993,4.357170104980469,0.7583224177360535,0.8871951219512195,12.812702748284986,2.226451573599525
2,iteration1_max_fuel_temp,secondary,iter1,5.454357624053955,7.558267593383789,0.7581491470336914,0.8871951219512195,21.779030981920165,3.9322504918322796
2,iteration1_max_monolith_temp,secondary,iter1,6.20350456237793,8.656683921813965,0.7613416314125061,0.8810975609756098,25.636258930085738,4.461853160287216
2,iteration1_max_global_stress,secondary,iter1,9.017873764038086,12.919055938720703,0.9172250628471375,0.9176829268292683,40.23637664401401,6.499919570652466
2,iteration1_monolith_new_temperature,secondary,iter1,1.0191377401351929,1.4971613883972168,0.7549239993095398,0.8871951219512195,4.257145945823141,0.7412069029093563
2,iteration1_Hcore_after,secondary,iter1,0.03673037141561508,0.04819229617714882,0.9247365593910217,1.0,0.8263299908085986,0.06229256505454836
2,iteration1_wall2,secondary,iter1,0.002176895271986723,0.0029692586977034807,0.9848757982254028,0.9298780487804879,0.01175046124318775,0.0016427318896582758
2,iteration2_keff,primary,iter2,0.00021198755712248385,0.0002705160004552454,0.8547083735466003,0.9878048780487805,0.0018433470242591224,0.00018386105405300687
2,iteration2_avg_fuel_temp,secondary,iter2,1.8883241415023804,2.508342742919922,0.555650532245636,0.8902439024390244,7.6842584131792435,1.3529841807289382
2,iteration2_max_fuel_temp,primary,iter2,3.5326907634735107,4.648353576660156,0.5566834211349487,0.8871951219512195,14.517439122612492,2.536646486642994
2,iteration2_max_monolith_temp,primary,iter2,3.9888856410980225,5.285981178283691,0.5499035120010376,0.8841463414634146,16.23620176316324,2.8693457318219635
2,iteration2_max_global_stress,primary,iter2,6.506274700164795,8.59981918334961,0.9268963932991028,0.926829268292683,28.540140364173546,4.652481494873966
2,iteration2_monolith_new_temperature,secondary,iter2,0.5133374929428101,0.7130270004272461,0.5522655248641968,0.8810975609756098,2.1277084859823985,0.37173578073409613
2,iteration2_Hcore_after,secondary,iter2,0.04994964599609375,0.0626482293009758,0.871178388595581,1.0,1.1251593402597575,0.08478087194278813
2,iteration2_wall2,primary,iter2,0.0018303743563592434,0.002603718778118491,0.9880568981170654,0.948170731707317,0.011147632982514623,0.001415562858928148
