level,output,group,iter,MAE,RMSE,R2,PICP90,MPIW90,CRPS
4,iteration1_keff,secondary,iter1,0.06472501903772354,0.07511559873819351,0.0,1.0,0.9305472028464364,0.07558630178388895
4,iteration1_avg_fuel_temp,secondary,iter1,3.087963819503784,4.349931240081787,0.759124755859375,0.9359756097560976,15.670361933197064,2.2819140466219454
4,iteration1_max_fuel_temp,secondary,iter1,5.514376640319824,7.4115705490112305,0.7674462795257568,0.9420731707317073,26.95452432308436,3.979738137264379
4,iteration1_max_monolith_temp,secondary,iter1,6.120284080505371,8.512761116027832,0.7692112922668457,0.9359756097560976,30.418041879585257,4.509051197146724
4,iteration1_max_global_stress,secondary,iter1,9.746696472167969,13.220887184143066,0.9133120775222778,0.9847560975609756,62.8399385213495,7.51413516534154
4,iteration1_monolith_new_temperature,secondary,iter1,1.026326298713684,1.471085548400879,0.763386607170105,0.9542682926829268,5.468790824331884,0.7610810630354051
4,iteration1_Hcore_after,secondary,iter1,0.07917920500040054,0.08868126571178436,0.7451452612876892,0.9878048780487805,1.1903652173735075,0.09621208310451099
4,iteration1_wall2,secondary,iter1,0.0025440482422709465,0.003249023575335741,0.9818914532661438,0.9908536585365854,0.028082121322217417,0.0025623402254713224
4,iteration2_keff,primary,iter2,0.00023331257398240268,0.00029424834065139294,0.8280972242355347,0.9878048780487805,0.0025243378659382666,0.00022930621510753422
4,iteration2_avg_fuel_temp,secondary,iter2,1.809898018836975,2.4402060508728027,0.5794632434844971,0.9146341463414634,8.5804621214408,1.3236537237051031
4,iteration2_max_fuel_temp,primary,iter2,3.578636407852173,4.564748287200928,0.5724868774414062,0.9451219512195121,16.035878891104726,2.5333756925396176
4,iteration2_max_monolith_temp,primary,iter2,3.8746213912963867,5.107255935668945,0.579825758934021,0.9176829268292683,17.663592837635086,2.793595638585361
4,iteration2_max_global_stress,primary,iter2,8.073700904846191,10.161951065063477,0.8979261517524719,0.9420731707317073,44.12769848188142,5.94756950991759
4,iteration2_monolith_new_temperature,secondary,iter2,0.5038394331932068,0.6907922625541687,0.579754114151001,0.926829268292683,2.3830009130657843,0.36744765958034653
4,iteration2_Hcore_after,secondary,iter2,0.02865707501769066,0.036288365721702576,0.9567778706550598,1.0,0.8374422070500634,0.06180294376383045
4,iteration2_wall2,primary,iter2,0.0024314101319760084,0.0031174717005342245,0.9828788042068481,0.9939024390243902,0.025827471025775338,0.002370367711680811
