E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_keff,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_keff,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2
-74207381.26808444,180376645464.07883,0.3279129286782514,9.943816802567904e-06,5.902822741160166e-09,805.1927843124803,24.46684968297386,0.0152884912829395,1.1133589146381226,1012.3,1096.8,1060.93,174.39,954.0470759551182,152.48236864194894,29.941810372901983,1.1031775784703235,999.11,1071.28,1033.33,140.14,950.2703353423356,152.46936408986835,29.938580310649
-65288277.29394643,204671760312.5886,0.3278541931151372,1.1627794301648186e-05,4.772024279584305e-09,977.6838889316822,24.27219154867086,0.014410672723956,1.1133589146381175,1012.64,1097.4,1061.61,236.49,954.15544604976,152.5207815481388,29.954191757041546,1.1021541449314158,998.64,1069.84,1031.75,187.22,950.1595184645624,152.50750697345006,29.95074281511073
-72496489.70414768,229058386827.91644,0.3021366896138993,1.1528884114799976e-05,5.4704629453162724e-09,860.4857121511253,25.61562153060777,0.0104012124874808,1.1133589146381264,1006.52,1086.39,1049.06,241.4,952.2401400236234,152.62521429387132,29.95753007362462,1.102187871177148,998.71,1070.25,1032.23,210.17,950.1558500967716,152.61784309524415,29.955633156285785
-76574034.00731997,225046344619.84995,0.3023490141052062,8.615734476065399e-06,4.751191001139858e-09,816.0880500285025,21.92606488273816,0.0135857202170888,1.1133589146381235,1013.3,1098.54,1062.89,199.26,954.4194735174948,152.08670280209623,29.88753759867138,1.1047154694106578,999.81,1072.27,1034.25,160.11,950.4265030357368,152.07526810522282,29.88477464445927
-55223230.9020003,246309469509.3621,0.3228311591281692,9.129969680337987e-06,4.2788737756918775e-09,868.298916897423,22.06231759541594,0.0130466087266273,1.1133589146381306,1012.29,1096.79,1060.91,259.39,954.0442354668504,152.07445471449978,29.892712119442425,1.1040179470006826,999.42,1071.74,1033.74,209.38,950.320144883015,152.06408563596693,29.89010325226664
-72763877.92141871,148932737185.81766,0.2787883913975267,1.0542469000089495e-05,4.745390223291554e-09,746.059881274795,19.66078182313816,0.0121887282363356,1.113358914638121,1016.37,1103.95,1069.1,120.32,955.4274937421476,152.36467766232724,29.921175309602955,1.1032877932520937,1002.2,1076.8,1039.57,97.53,951.090922798683,152.35100883840678,29.917923444886323
-63624598.87189503,207134916444.39645,0.3282420731836503,8.908823304758329e-06,5.056736544909688e-09,1024.1995582140744,28.64637123285213,0.0136291955535187,1.1133589146381162,1008.6,1090.19,1053.37,194.69,952.8787016811652,152.1788954455668,29.90357894783623,1.1041904070815896,998.41,1070.2,1031.76,162.54,950.0897109197329,152.17050811883635,29.901437445118827
-60671287.91608779,244302623585.2856,0.3533949581551228,9.45206953794889e-06,3.9689900026848165e-09,899.1683163466824,24.45979702088299,0.0128073675114399,1.1133589146381273,1015.82,1102.98,1068.0,274.83,955.2458113769948,152.06822100030658,29.900240546966728,1.1044511782438835,1002.89,1078.37,1041.08,226.13,951.273945704242,152.05737201337624,29.89749692894682
-69894091.46835987,169132690363.03625,0.2841839581143732,8.699685897196505e-06,4.788877726770969e-09,950.3899136386196,22.26644668740329,0.0122985854293227,1.1133589146381206,1019.33,1109.11,1075.05,142.78,956.4184377352342,152.11127269360833,29.887526341633745,1.1044035593805808,1004.1,1080.74,1043.72,115.09,951.6297996752224,152.09742843521846,29.88434547495952
-58921633.05308726,200340162108.21225,0.2939931687224434,9.969417546309112e-06,4.772884452090114e-09,881.9966291728648,22.321885269099194,0.0134387257916666,1.1133589146381204,1009.75,1092.25,1055.72,196.14,953.2353675228468,152.28075362853488,29.912275758522693,1.1036064105138417,997.44,1068.32,1029.74,157.43,949.8411621667622,152.2703243653973,29.909631481063688
-65652678.88239522,198619970475.57895,0.2552987155497683,9.693711016774016e-06,5.308880389665443e-09,987.6446226659498,21.49682275003902,0.0107026341910922,1.1133589146381213,1011.59,1095.54,1059.48,183.11,953.8184784065588,152.33925175365934,29.908618930756607,1.1039380490212385,1000.11,1073.21,1035.44,151.5,950.5256005485352,152.32868343826163,29.90613247368605
-77658313.91433075,219653915279.71173,0.3354996911076263,9.682678838542312e-06,5.281251289690233e-09,1027.7608898037304,22.11239055587317,0.0141921390151499,1.1133589146381284,1023.66,1116.6,1083.69,255.38,957.8958638290092,152.3457829996743,29.92898945953348,1.103332595129704,1003.24,1078.81,1041.8,192.57,951.3861934377534,152.32493533826252,29.924034115326304
-63150036.9523594,174867221159.7178,0.3032627749912071,1.0277999663516208e-05,5.998828483105444e-09,974.407198086624,23.413891528487927,0.0115696695209372,1.1133589146381144,1012.47,1097.11,1061.28,181.17,954.102348396938,152.54761708418812,29.94447380860356,1.102713412185909,1000.8,1074.18,1036.66,150.07,950.715086671036,152.53567479095005,29.94158827227574
-76739741.51030895,211790443349.32053,0.3691347014265828,9.621840874700327e-06,4.0531430540050175e-09,845.5272289848924,24.076650506310425,0.0125366605265794,1.1133589146381169,1007.65,1088.45,1051.4,189.97,952.5833898056646,152.10026642218136,29.906856513886613,1.1045196210058783,997.76,1068.84,1030.38,158.47,949.9276162584624,152.09287715728829,29.90481767726054
-76739741.51030895,211790443349.32053,0.2768113193074012,9.621840874700327e-06,4.0531430540050175e-09,845.5272289848924,20.81070437886704,0.0125366605265794,1.1133589146381249,1014.41,1100.51,1065.15,182.5,954.7827295591948,152.1063922255981,29.88927519913989,1.1041018486278722,1000.63,1074.06,1036.25,146.97,950.6379377122588,152.0948526734704,29.8864821768427
