E_intercept,alpha_base
185543191550.8152,7.88301653977519e-06
199221713916.2053,8.090538802492842e-06
196797529731.1385,8.006012118075827e-06
189624091260.6478,8.237601768728297e-06
192367156956.727,8.452849280971305e-06
191299568759.7904,8.624124210809577e-06
191555946508.4665,8.567821801348429e-06
196099010823.3276,7.870387114667008e-06
194822537328.62863,8.065401895518396e-06
195824154047.67508,8.168897959187657e-06
193271652011.34024,8.220338801653656e-06
192696194828.19565,8.18180072939226e-06
193341310102.96735,8.317374634053855e-06
192681128771.04752,8.291160714728676e-06
195805779049.2167,8.19434709395016e-06
193500454412.09537,8.355960592922834e-06
192233092739.0096,8.269612398644546e-06
193199190141.872,8.047243711271959e-06
190147628299.6349,8.136422622753157e-06
185888002262.62308,8.329666049945036e-06
189486268722.57043,7.887220792322021e-06
191934969060.01028,8.138081206722142e-06
194501477497.511,8.008106505097749e-06
195364539343.433,8.122027719912147e-06
195038378786.72388,8.073110543555685e-06
196563800058.20837,8.285400945896866e-06
195864396163.0501,8.26297660988481e-06
195275383845.2128,8.62803042591519e-06
181541351080.5633,8.165079949161815e-06
178767054879.4207,8.282254069016246e-06
177796928327.8827,7.972433282681707e-06
180879365212.37195,7.915916448334939e-06
178018003360.1966,7.782747891523769e-06
183618925031.6055,7.735488858265395e-06
190503436712.59195,7.391552000293976e-06
190925375176.66492,7.506742908898877e-06
193290695442.90323,7.567513333310925e-06
195660593311.38895,7.743952018244459e-06
194437840484.3733,7.359233069627735e-06
191920059270.0265,7.224541397753759e-06
193363953597.29132,7.058178054719626e-06
193359702483.498,6.9895401902096864e-06
192917483721.40027,7.325951444227125e-06
190914974092.21384,7.454536411247088e-06
194417265576.05728,7.093501158242037e-06
193095693709.122,7.206039383133627e-06
193658907091.0798,7.423644891460781e-06
