E_intercept,alpha_base
193024935245.88785,6.674785214797178e-06
199526769416.7448,6.843239493666629e-06
198991883747.58383,6.978250413780741e-06
190261357535.11295,6.997808663731582e-06
193289820687.05316,6.997793250552066e-06
199163484559.7609,7.088986681319259e-06
200488476485.2831,7.086608310694652e-06
207811256597.51477,7.053376999632809e-06
206839771416.39612,7.284659221348712e-06
212486870570.5637,7.563234443637494e-06
204155134428.1652,7.409408601249642e-06
200866505011.2693,7.572296038003434e-06
195987937641.40112,7.285543852782744e-06
196047601999.70755,7.389582717939714e-06
196243372701.4828,7.785811012104215e-06
196124349151.3612,7.610687870096406e-06
198565900312.3,7.833621106547075e-06
195354461077.905,8.06326758496914e-06
202508182830.53888,8.305993019642512e-06
198191848358.9994,8.068906301952819e-06
201396795349.52167,8.116012101172564e-06
200953982026.22083,8.045324351689126e-06
198953456037.3611,7.830815072392788e-06
197245580483.2032,7.63261375247043e-06
201224040803.8496,7.904169185205328e-06
200598606106.72244,7.92891355498984e-06
201021027984.8978,8.046351250077022e-06
199748830813.3777,8.149353430255732e-06
197635474306.25745,7.790182743397671e-06
204974335695.19815,7.896739810233227e-06
207692268418.68683,7.811139582482937e-06
193397290433.25024,8.155546483902556e-06
195358507020.4685,7.93618508190582e-06
197943031344.0254,8.16324223448867e-06
199025389140.50955,7.904052155919231e-06
197417323976.91116,7.554367102141068e-06
201947768932.572,7.457623343033463e-06
200878054733.02643,7.584973837562899e-06
207286074948.22885,7.628691241403111e-06
206715532176.30032,7.818885715455403e-06
211437402511.57385,7.534957926609719e-06
213142996018.0008,7.9206846753556e-06
207400793131.26025,7.802510356077726e-06
210527404680.74088,7.839992053842614e-06
218115251698.18823,7.708815835337825e-06
215135379976.91165,7.858020575799387e-06
214356316581.3495,7.650269578468523e-06
215672995942.31024,7.788596793176501e-06
217646564572.5781,7.862251844806838e-06
220575838963.49203,7.706998307185682e-06
212612236314.64352,7.66886660591284e-06
209179231385.6692,7.478084571700968e-06
214809839650.0848,7.588439655178227e-06
225087486632.9156,7.386659196228962e-06
221038354633.46024,7.642424146324137e-06
222395720322.98312,7.767030213483818e-06
217510824706.4609,7.521248937492424e-06
217144977453.57623,7.37056390181871e-06
204268319932.5957,7.370709582303171e-06
192890894184.67267,7.494946183929161e-06
188669544694.60565,7.506085996212477e-06
196060994093.5024,7.225815508007167e-06
202031682649.3428,7.050777692429616e-06
205338770883.03516,6.9918560822089584e-06
204699658548.91467,7.361291997221541e-06
202861936904.41785,7.045945977023991e-06
203647945243.40775,7.009390992820658e-06
209515068851.0626,7.340848226416271e-06
205298593142.3001,7.732387604741323e-06
209208668015.83844,7.341427409835497e-06
207631929904.53436,7.49001954059521e-06
203051808867.25974,7.46636212441639e-06
202168685343.38452,7.422637886376434e-06
200145242935.23465,7.428748339660134e-06
202654031583.53088,7.332481449539748e-06
194289964527.19928,7.3065547621970915e-06
196012962644.0402,7.31227493179405e-06
192476715701.4908,7.294852091386663e-06
190648278775.0568,7.085352315288813e-06
193992457351.14572,6.809078488823648e-06
200205725474.55505,7.013764312056012e-06
197519266495.67215,7.258426947599973e-06
200637224606.74216,7.1009717180669634e-06
198377156421.70056,7.0157827932781525e-06
202905626102.1164,6.921391299113585e-06
203855774503.6113,7.12055385773847e-06
201246837480.73697,7.129197543927868e-06
204658808039.3041,7.360267276689885e-06
199667718877.1208,6.8600448326487065e-06
193421013417.40295,6.921773039829504e-06
182613795915.234,7.144425743257118e-06
185281523313.54065,7.325609214309201e-06
183275630906.43463,7.2816795209786436e-06
182998782475.12875,7.439992790043353e-06
187293463974.1705,7.332617846979283e-06
185313976550.198,7.218301440023e-06
193604870140.5461,7.278044730334294e-06
194367012885.47388,7.524505856314404e-06
199663541780.0821,7.400958287177834e-06
210336413700.61505,7.334723069519609e-06
210254408228.70715,7.159340894019165e-06
212823074709.6928,7.313376008577987e-06
208083405986.60104,7.3580035416526115e-06
203203308417.78757,7.303780543197265e-06
199601074587.7448,7.419169763370488e-06
193975262060.8885,7.467175973027987e-06
193988020306.47696,7.443762992598808e-06
200967815017.84628,7.864234188072874e-06
200892273776.78687,7.423136494955309e-06
199210130292.9699,7.700427194351803e-06
199686594634.3224,7.453089903834106e-06
196136660696.90097,7.669554846611519e-06
195576917655.8125,7.761384628400702e-06
198906914966.8566,7.688599149004266e-06
192083328425.6187,7.702022103121418e-06
196872542163.38217,7.873688604054702e-06
204515522761.33517,7.935805038763316e-06
197239654491.1108,7.741698338157508e-06
189577901710.48157,7.711251671008862e-06
189345042534.4944,7.900374643748962e-06
196001175041.59293,7.340941734962968e-06
195516711679.2411,7.566119599919884e-06
193716720874.112,7.434383101941286e-06
191805296078.51804,7.507109044621648e-06
196964488729.99097,7.441059877351415e-06
194209316718.3656,7.389361954986873e-06
190444007761.97885,7.381876082920625e-06
200303964954.3117,7.643804158384296e-06
198315274311.50027,7.510948402610418e-06
194185986410.12848,7.628634157289624e-06
192775000593.5156,7.706815527449107e-06
191923188886.53845,7.71192605215577e-06
187460566681.00693,7.644525206960974e-06
190947927554.89703,7.384070870828112e-06
194964318131.1952,7.491347400212796e-06
198972224698.0568,7.715320312433537e-06
207088936690.7091,7.428548410038537e-06
202782345241.05707,7.492323471911606e-06
197562257409.91263,7.4824568878843345e-06
200432179358.45248,7.797580762593747e-06
197893227508.6526,7.398421595030175e-06
206678587182.26373,7.90167838095684e-06
206678587182.26373,7.90167838095684e-06
207275478297.79324,7.752906152410494e-06
208047636828.76343,7.4776827511032866e-06
210917303700.87,7.679392353386927e-06
216232486618.3288,7.658822812811148e-06
219300838797.67484,7.620678560262835e-06
219227422049.7725,7.818203466362797e-06
218583654501.19733,7.756445364060176e-06
216936351874.03064,7.789356833176894e-06
217452470699.2091,8.04211324827583e-06
224489739934.9573,8.309113418712234e-06
211811796356.1725,8.053106226273645e-06
216004742275.5268,7.790146437937131e-06
223671844155.50745,7.746924170466034e-06
218270012357.55304,7.644378885255e-06
216107142958.8927,7.782454207399134e-06
214562378237.01245,7.69419051719757e-06
220685349170.98785,7.3571177551594366e-06
218151209411.4414,7.435399324085876e-06
206927854641.1468,7.796525222706555e-06
216502439129.41904,7.448951871048002e-06
213873362680.2879,7.658947084509215e-06
206512625898.93875,7.47899075325148e-06
205791247609.29764,7.641255317133802e-06
205416418304.4672,7.756646071764384e-06
196979642789.47397,7.876699685845197e-06
202403319748.952,7.955944818438726e-06
198323753256.83237,7.847912144222006e-06
195966915168.72745,7.83879296967953e-06
204210020729.4662,8.08860907860625e-06
199053856325.99557,8.029740723558694e-06
199059998581.56723,7.938443495353817e-06
199408627210.95807,8.391705783841066e-06
200340345037.97565,8.32157101393699e-06
201032501035.2833,8.419429911354815e-06
202328311629.283,8.571596649146862e-06
202363698603.5641,8.234098035796806e-06
211429643471.99872,8.295320816656182e-06
209325275478.5472,8.500390761021602e-06
209810113797.4884,8.633754168999434e-06
221310876871.45877,8.46962345616588e-06
218364621621.2776,8.2673014385264e-06
216299473602.0703,8.33837242092325e-06
219420082338.04047,8.401736949867504e-06
214711544337.54147,8.02186868824481e-06
214962868884.59552,7.82608138002975e-06
215586618516.90823,7.64534032399152e-06
216907556877.43573,8.11568992157719e-06
212436188614.2024,8.080500994196809e-06
208944268608.80795,8.246822724948383e-06
210430417326.4521,8.177245628557348e-06
209516664486.0324,7.921342473128657e-06
212382357207.36905,8.041794659862297e-06
212261524039.1942,8.311549522987512e-06
218250150163.95865,8.175196008107821e-06
214468779244.89563,8.078717601160026e-06
211518873125.20627,8.443821911445284e-06
204201214182.4341,8.267183688713412e-06
205714004933.2423,8.197510063258516e-06
201328810542.97397,7.810748537250743e-06
200662516421.6804,7.870191814183192e-06
201835908887.2892,7.879758314480503e-06
201894110984.83023,7.900787827929691e-06
203872529582.55045,8.168267132116293e-06
196802502975.16464,7.924202593417727e-06
197859942715.7993,8.124944770781452e-06
199242441916.9009,8.394206643274306e-06
189768412666.53207,8.438210490007537e-06
190415693356.34055,8.201174198323758e-06
187473471970.8872,8.096492548209831e-06
190399133089.6551,8.185810807177348e-06
200730829752.38373,8.127571998369917e-06
198560691066.0409,8.15055781488332e-06
215625258233.93152,7.809781217553925e-06
218989449562.89987,7.96918233119318e-06
216671013346.28864,8.148566951314792e-06
213083718955.9233,7.987835897706608e-06
202946514715.77145,8.169293377349111e-06
203408867045.04388,8.066951478319724e-06
195399575733.44623,8.061309682948106e-06
194801347321.3257,7.826396923264085e-06
187980107135.64917,8.190167648149087e-06
190028094350.33817,8.008940583325123e-06
192409445774.92572,8.222878460096171e-06
191428791383.24744,8.443821218966571e-06
191674020729.54007,8.671277342143685e-06
189096935398.79733,8.402106842192847e-06
191603777717.59515,8.055037336880402e-06
184709594006.9273,8.22317075673494e-06
196293715180.4658,8.031857657347062e-06
208288866019.49295,8.040661515334236e-06
207847974175.85757,8.049259693813717e-06
205480703959.3652,8.065623970468086e-06
208887591139.43683,7.965451708697328e-06
215393180801.8888,7.846744964532529e-06
219117210151.4201,7.800573619647926e-06
222813111153.7611,7.651172000849192e-06
215796777954.7937,7.993472299166823e-06
213465963036.5149,8.264356209929853e-06
210408498747.9241,8.087195600299947e-06
214060106477.47177,7.840990076714277e-06
213008771185.0882,7.45602827768788e-06
212079925561.49356,7.947285091804268e-06
208525235324.25464,7.988445153313478e-06
211662996823.7772,8.402717270962264e-06
209431920840.684,8.272224554272258e-06
207698772725.18396,8.252828431974406e-06
213921366160.4118,8.287626723949468e-06
211327932166.7464,8.245481831142972e-06
211649862810.5137,7.839269641645565e-06
208359972605.79596,8.030442614810301e-06
216328257989.80527,8.027334188115638e-06
221269104057.28543,7.796656736661851e-06
219810084533.45065,7.714941082868886e-06
219008717183.30368,7.631921097195084e-06
216998971435.89343,7.533793547073687e-06
210049232044.11105,7.708471733884221e-06
204784924896.0236,7.75657063457765e-06
202514207884.43628,8.1275651553166e-06
197973170414.95105,8.241306927363804e-06
197655556326.1438,8.185326966884547e-06
197472056880.82397,7.97959184743467e-06
197051822591.00784,7.771668963742239e-06
189435328919.8355,7.912068656033185e-06
185226913948.0785,8.187692064387764e-06
185907684573.4787,8.158658234004446e-06
190243673862.40884,8.041403727111573e-06
192397323114.05417,8.416392087933019e-06
191659788164.20587,8.341389034748298e-06
200239595344.66595,8.416378434060297e-06
202999560927.29623,8.59168298370254e-06
200900616691.13123,8.25250363333457e-06
206181045336.9246,8.30473297493399e-06
205658712232.3433,8.249887131284496e-06
203380663222.72076,8.669212632104657e-06
201132572803.59464,8.756592653776587e-06
198057328511.5629,8.429543951780615e-06
203885349120.57645,8.842085477769759e-06
208678475347.50275,8.796489076343506e-06
202355370607.90616,8.93980225453522e-06
214356191541.02045,8.412619391262104e-06
214511732489.15985,8.163653945656142e-06
218867534078.76947,8.18917008480102e-06
215781587905.34216,8.034829595071036e-06
217854551603.09277,8.098668118817857e-06
208954889000.2212,7.83851403630679e-06
202460484922.28116,7.756444385431261e-06
207968931259.31616,7.822094686532755e-06
204292251984.38544,7.891458472393269e-06
206806349371.27557,7.671995343742709e-06
205170357210.74808,7.891316773521957e-06
213669889886.33505,8.06137631219321e-06
206746539630.77597,7.727524200658472e-06
208144902020.8893,7.4182954303143936e-06
200561690780.24927,7.537245701602598e-06
202795924063.1944,7.451450297149128e-06
217861580720.1668,7.622166849404024e-06
213377870928.80844,7.259938996874011e-06
216983345071.48044,7.2501186071754575e-06
208293056874.4965,7.319429779943523e-06
209340875031.3447,7.505600302587424e-06
208928011753.258,7.437066520337128e-06
203634597930.0156,7.157866921808283e-06
204491277933.2538,7.302955225857308e-06
207493647015.4447,7.305430447858094e-06
212157657136.63608,7.483780008512055e-06
206176244081.69196,7.391094874381263e-06
207723291604.91287,7.455955338722967e-06
198168359396.17688,7.533746479368646e-06
208187754179.5587,7.195647393696942e-06
209958131551.1546,7.5403790990603345e-06
204010748342.6954,7.222428296656285e-06
207361968733.538,7.785980815007809e-06
206056967055.0482,7.356779142011498e-06
210768148573.505,7.580330403689208e-06
202675918335.19135,7.642406909113149e-06
205099238055.22,8.124588923652331e-06
210439247987.2764,7.761633269130884e-06
213317312837.98547,7.72039171591097e-06
210717306804.88144,7.673190317650934e-06
204322426798.98163,7.307280273927808e-06
204621331258.80096,7.201412607404962e-06
201659896139.9876,7.835875607256616e-06
209269069269.429,7.720720485313733e-06
212506518299.232,7.753016420625502e-06
208719069076.70392,7.776618789754526e-06
209777101371.0864,7.787845495081891e-06
206497911888.72284,8.436743520630493e-06
203565548229.21252,8.181008135020825e-06
204580434832.00385,7.972862372770801e-06
