parameter,n_cases,prior_width90_mean,posterior_width90_mean,width90_ratio_mean,width90_ratio_median,var_ratio_mean,var_ratio_median,mean_shift_abs_mean,fraction_width90_contract,fraction_var_contract
E_intercept,20,101964311154.62393,25200258908.77387,0.24715853121786086,0.2383272390230201,0.0561021815888787,0.05048812724690677,9057209088.385246,1.0,1.0
alpha_base,20,5.317431716338496e-06,1.3806883484626632e-06,0.2596238184395216,0.25498008133593386,0.06129606203230605,0.05915870327838092,1.1735362653854316e-06,1.0,1.0
alpha_slope,20,2.6499970930696017e-09,1.361246815093058e-09,0.5137292285450484,0.501465241466962,0.24666742608929354,0.2349304324256527,2.7656815532692293e-10,1.0,1.0
SS316_k_ref,20,12.802567405896756,4.40693476708125,0.34416917839622274,0.33842902202196856,0.10914786669573984,0.10598874833331537,1.7934002043284294,1.0,1.0
