E_intercept,alpha_base,stress_mean,stress_sigma,feasible_mean_thr131,feasible_mean_thr120
222186941625.57657,6.5615343628102765e-06,131.3786163330078,9.170890494681661,0.0,0.0
222730997498.86307,6.5615343628102765e-06,131.73870849609375,9.184276239893197,0.0,0.0
223275053372.14957,6.5615343628102765e-06,132.09933471679688,9.197788308898703,0.0,0.0
223819109245.43607,6.5615343628102765e-06,132.4605255126953,9.211412970851004,0.0,0.0
224363165118.72256,6.5615343628102765e-06,132.82223510742188,9.22515388730935,0.0,0.0
224907220992.00906,6.5615343628102765e-06,133.18447875976562,9.239021127561662,0.0,0.0
225451276865.29556,6.5615343628102765e-06,133.5472412109375,9.25300645309964,0.0,0.0
225995332738.58206,6.5615343628102765e-06,133.91055297851562,9.267108033143662,0.0,0.0
226539388611.86856,6.5615343628102765e-06,134.27435302734375,9.28133502159184,0.0,0.0
227083444485.15506,6.5615343628102765e-06,134.638671875,9.295681010715494,0.0,0.0
227627500358.44156,6.5615343628102765e-06,135.0034942626953,9.310153323633118,0.0,0.0
228171556231.72806,6.5615343628102765e-06,135.36883544921875,9.324741891056783,0.0,0.0
228715612105.01456,6.5615343628102765e-06,135.73468017578125,9.339457697664228,0.0,0.0
229259667978.30106,6.5615343628102765e-06,136.1009979248047,9.354294335726772,0.0,0.0
229803723851.58755,6.5615343628102765e-06,136.4678192138672,9.369257297583285,0.0,0.0
230347779724.87405,6.5615343628102765e-06,136.83511352539062,9.384348414013388,0.0,0.0
230891835598.16055,6.5615343628102765e-06,137.20289611816406,9.399557615729156,0.0,0.0
231435891471.44705,6.5615343628102765e-06,137.57113647460938,9.414899548967572,0.0,0.0
231979947344.73355,6.5615343628102765e-06,137.93988037109375,9.430365059830523,0.0,0.0
232524003218.02005,6.5615343628102765e-06,138.30906677246094,9.445955063707817,0.0,0.0
233068059091.30655,6.5615343628102765e-06,138.6787109375,9.461672306768891,0.0,0.0
233612114964.59305,6.5615343628102765e-06,139.048828125,9.477519535183179,0.0,0.0
234156170837.87955,6.5615343628102765e-06,139.4193878173828,9.493490341222,0.0,0.0
234700226711.16605,6.5615343628102765e-06,139.79039001464844,9.509598455732526,0.0,0.0
235244282584.45255,6.5615343628102765e-06,140.16183471679688,9.525828317087962,0.0,0.0
235788338457.73904,6.5615343628102765e-06,140.53370666503906,9.542190909966045,0.0,0.0
236332394331.02554,6.5615343628102765e-06,140.90602111816406,9.558684403587154,0.0,0.0
236876450204.31204,6.5615343628102765e-06,141.27874755859375,9.575301474832797,0.0,0.0
237420506077.59854,6.5615343628102765e-06,141.65191650390625,9.592057685329767,0.0,0.0
237964561950.88504,6.5615343628102765e-06,142.0254669189453,9.608942965790137,0.0,0.0
238508617824.17154,6.5615343628102765e-06,142.3994598388672,9.625962808552778,0.0,0.0
239052673697.45804,6.5615343628102765e-06,142.77383422851562,9.643111721278823,0.0,0.0
239596729570.74454,6.5615343628102765e-06,143.14862060546875,9.66039153474789,0.0,0.0
174854080649.65118,6.582471495110376e-06,102.53972625732422,8.376866726069856,1.0,1.0
175398136522.93768,6.582471495110376e-06,102.84188842773438,8.382027693826311,1.0,1.0
175942192396.22418,6.582471495110376e-06,103.14480590820312,8.387260977377863,1.0,1.0
176486248269.51068,6.582471495110376e-06,103.4485092163086,8.39257023828376,1.0,1.0
177030304142.79718,6.582471495110376e-06,103.75293731689453,8.397951814984753,1.0,1.0
177574360016.08368,6.582471495110376e-06,104.05815124511719,8.40340296131141,1.0,1.0
178118415889.37018,6.582471495110376e-06,104.36407470703125,8.408937408110901,1.0,1.0
178662471762.65668,6.582471495110376e-06,104.67082214355469,8.41453776297681,1.0,1.0
179206527635.94318,6.582471495110376e-06,104.978271484375,8.42022050292574,1.0,1.0
179750583509.22968,6.582471495110376e-06,105.28648376464844,8.425977389449391,1.0,1.0
180294639382.51617,6.582471495110376e-06,105.5954360961914,8.431807507157952,1.0,1.0
180838695255.80267,6.582471495110376e-06,105.90516662597656,8.437718179169913,1.0,1.0
181382751129.08917,6.582471495110376e-06,106.21566772460938,8.443711236264894,1.0,1.0
181926807002.37567,6.582471495110376e-06,106.52689361572266,8.44977294759573,1.0,1.0
182470862875.66217,6.582471495110376e-06,106.83885955810547,8.455924367128079,1.0,1.0
183014918748.94867,6.582471495110376e-06,107.15159606933594,8.46214535628609,1.0,1.0
183558974622.23517,6.582471495110376e-06,107.46507263183594,8.468456969035426,1.0,1.0
184103030495.52167,6.582471495110376e-06,107.779296875,8.474836320630803,1.0,1.0
184647086368.80817,6.582471495110376e-06,108.0942611694336,8.481299888088826,1.0,1.0
185191142242.09467,6.582471495110376e-06,108.40997314453125,8.487850417578928,1.0,1.0
185735198115.38116,6.582471495110376e-06,108.72642517089844,8.494476924423372,1.0,1.0
186279253988.66766,6.582471495110376e-06,109.04361724853516,8.501188562520273,1.0,1.0
186823309861.95416,6.582471495110376e-06,109.3615493774414,8.50798441647982,1.0,1.0
187367365735.24066,6.582471495110376e-06,109.68022155761719,8.514859909352955,1.0,1.0
187911421608.52716,6.582471495110376e-06,109.99961853027344,8.521824195037793,1.0,1.0
188455477481.81366,6.582471495110376e-06,110.31977081298828,8.528868119636217,1.0,1.0
