model_id,ood_feature,split,n,feat_lo,feat_hi,epistemic_std_mean,aleatoric_std_mean,MAE_mean,RMSE_mean,R2_mean,PICP_mean,MPIW_mean,CRPS_mean
bnn-baseline,E_intercept,in_dist,2452,174710121234.25143,224909425156.1501,2.182983673664625,4.346681258057918,2.631622270749102,3.457291720900313,0.667959372030927,0.9737629146275151,16.10017368160208,1.9737067847039682
bnn-baseline,E_intercept,ood,604,174710121234.25143,224909425156.1501,2.633385198321271,4.548794947932649,2.7211592836686327,3.786430643330202,0.768732865885952,0.9881898454746137,17.42568766426908,2.052515612127204
bnn-baseline,alpha_base,in_dist,2449,8.73236294708327e-06,1.1359065143018796e-05,2.243838152877469,4.425055927061614,2.6937961887919633,3.5887298105380223,0.682693617913626,0.9765074179937391,16.44458508822626,2.0141231553868515
bnn-baseline,alpha_base,ood,607,8.73236294708327e-06,1.1359065143018796e-05,2.6597163661879657,4.520576521818207,2.596251670520249,3.331102710906395,0.6361055767308667,0.9880285557386053,17.40912081609838,1.9650168850808318
bnn-baseline,nu,in_dist,2449,0.27252410950439665,0.3480259093238001,2.259129616486961,4.3298743878077905,2.6133629152842337,3.4888335713867047,0.6663425953711083,0.9779501837484688,16.193243019044964,1.964295358386498
bnn-baseline,nu,ood,607,0.27252410950439665,0.3480259093238001,2.4920611268378443,4.5388355707645,2.7902748109543487,3.6594579928621,0.7294139432415204,0.9742998352553541,17.18789551560297,2.0807535053297177
bnn-baseline,alpha_slope,in_dist,2456,4.357069137620041e-09,5.6506624928148705e-09,2.253726267417026,4.333198295551546,2.663824195455091,3.5787776877216495,0.6624029434189115,0.9733984799131379,16.193562761913526,2.000815173814432
bnn-baseline,alpha_slope,ood,600,4.357069137620041e-09,5.6506624928148705e-09,2.417004144181968,4.489268052405671,2.6382820930217528,3.314987050383718,0.8066793358291007,0.9847777777777776,16.899081816637104,1.9410915632809642
