case_idx,row_idx,category,param,noise_frac,true_value,post_mean,post_std,ci90_half_width,rel_ci90_half_width,post_p5,post_p95,in_90ci_true,mean_accept_rate
0,116,low,E_intercept,0.005,173599366504.33282,177373727854.7564,13634572698.21049,22092796586.273712,1.1084696169722308,156599190252.72766,200784783425.2751,True,0.5914999999999999
0,116,low,alpha_base,0.005,9.61367174813628e-06,9.273320312642982e-06,1.0057331431731727e-06,1.6809609207383072e-06,1.648824720299513,7.500876984899568e-06,1.0862798826376182e-05,True,0.5914999999999999
0,116,low,alpha_slope,0.005,4.0403847662065555e-09,4.780503280612097e-09,5.195937095694569e-10,8.699439832080053e-10,1.7051305060998063,3.915894326018635e-09,5.655782292434645e-09,True,0.5914999999999999
0,116,low,SS316_k_ref,0.005,25.93687298123349,25.4678815180867,1.689458813965294,2.793431270132908,1.2314068983568687,22.63931594371918,28.226178483984995,True,0.5914999999999999
0,116,low,E_intercept,0.01,173599366504.33282,175546349454.73608,12888774445.974098,21774379230.934082,1.0924935515369512,154506724167.19714,198055482629.0653,True,0.6003333333333334
0,116,low,alpha_base,0.01,9.61367174813628e-06,9.264779075197187e-06,9.376407962396912e-07,1.5483444294756024e-06,1.5187435587355118,7.697705551021381e-06,1.0794394409972586e-05,True,0.6003333333333334
0,116,low,alpha_slope,0.01,4.0403847662065555e-09,4.74160553012613e-09,4.783443330067494e-10,7.658621608409699e-10,1.5011253128067354,4.007758384023874e-09,5.539482705705814e-09,True,0.6003333333333334
0,116,low,SS316_k_ref,0.01,25.93687298123349,25.00596316199894,1.9717831175332248,3.1901621558119544,1.4062947342022674,21.755479741438144,28.135804053062053,True,0.6003333333333334
0,116,low,E_intercept,0.02,173599366504.33282,172262372674.171,12497934002.751356,19965611127.359833,1.0017415962952947,153619014953.2765,193550237207.99615,True,0.6094999999999999
0,116,low,alpha_base,0.02,9.61367174813628e-06,9.409957024714252e-06,9.869279921699442e-07,1.6290397601736657e-06,1.5978961758048438,7.832939204816872e-06,1.1091018725164204e-05,True,0.6094999999999999
0,116,low,alpha_slope,0.02,4.0403847662065555e-09,4.921469071616789e-09,5.220809819359761e-10,8.529986200212216e-10,1.671916809282023,4.037742770298181e-09,5.743740010340624e-09,True,0.6094999999999999
0,116,low,SS316_k_ref,0.02,25.93687298123349,24.691746354863135,2.0745041125989494,3.416962857433507,1.506273549330112,21.28425757391357,28.118183288780585,True,0.6094999999999999
0,116,low,E_intercept,0.03,173599366504.33282,173889767880.31915,12859297406.240456,21381066144.399307,1.0727597163622664,153787972683.65842,196550104972.45703,True,0.6143333333333333
0,116,low,alpha_base,0.03,9.61367174813628e-06,9.302287547048382e-06,1.010451886977561e-06,1.6517914008282891e-06,1.6202128561487497,7.656328076302278e-06,1.0959910877958856e-05,True,0.6143333333333333
0,116,low,alpha_slope,0.03,4.0403847662065555e-09,4.840785055942532e-09,5.141331387735413e-10,8.375930554297901e-10,1.6417211890402768,4.020385160139619e-09,5.695571270999199e-09,True,0.6143333333333333
0,116,low,SS316_k_ref,0.03,25.93687298123349,24.521984325910527,1.9459329117962139,3.244138144749348,1.430088555741316,21.298580942780507,27.786857232279203,True,0.6143333333333333
