model_id,output,input,Sobol_ST,Spearman_rho,PRCC
bnn-data-mono,iteration2_max_global_stress,E_slope,0.04806716410373729,0.20343399757544334,0.5658958872022609
bnn-data-mono,iteration2_max_global_stress,E_intercept,0.5251515135624907,0.7821393548487837,0.9258658367203078
bnn-data-mono,iteration2_max_global_stress,nu,0.07302624521573971,0.1803755097575853,0.5615862960575891
bnn-data-mono,iteration2_max_global_stress,alpha_base,0.2528349365004972,0.29257983691287104,0.728373783899989
bnn-data-mono,iteration2_max_global_stress,alpha_slope,0.046464373274560246,0.19338406213868087,0.4818155701582919
bnn-data-mono,iteration2_max_global_stress,SS316_T_ref,0.04191835746353096,0.10846111723746658,0.40172582255446804
bnn-data-mono,iteration2_max_global_stress,SS316_k_ref,0.07727188130271177,0.17260991112324708,0.5543996365999191
bnn-data-mono,iteration2_max_global_stress,SS316_alpha,0.006821951445499137,0.015076659135068874,0.019115177386468764
bnn-data-mono,iteration2_keff,E_slope,0.004777756195598067,0.06727577321024476,0.024950441601377868
bnn-data-mono,iteration2_keff,E_intercept,0.006793915749210411,0.003805135297508426,0.039619044994041244
bnn-data-mono,iteration2_keff,nu,0.034000009940246774,0.014782883302932063,0.19010034934078016
bnn-data-mono,iteration2_keff,alpha_base,0.7867561141317758,0.7996290171804321,0.8830921362254586
bnn-data-mono,iteration2_keff,alpha_slope,0.18251369853693641,0.417482761426282,0.7076849417354811
bnn-data-mono,iteration2_keff,SS316_T_ref,0.008913174636249369,0.010345569147645778,0.07233434494331582
bnn-data-mono,iteration2_keff,SS316_k_ref,0.006275975086041017,0.014180470369796054,0.11904948825816629
bnn-data-mono,iteration2_keff,SS316_alpha,0.006737499717742858,0.047596568544325535,0.0805865461437838
