case_idx,row_idx,category,param,true_value,post_mean_pooled,post_std_pooled,rhat_classic,rhat_split_rank,ESS_total,ESS_per_chain_mean,n_chains,n_per_chain,mean_accept_rate,min_accept_rate,max_accept_rate,per_chain_accept
0,116,low,E_intercept,173599366504.33282,179350650103.14392,14851152362.209105,1.0017155361940422,1.0036354401979315,831.848647813212,207.962161953303,4,1200,0.6580833333333334,0.6535,0.6631666666666667,0.6595;0.6632;0.6535;0.6562
0,116,low,alpha_base,9.61367174813628e-06,9.456958331693865e-06,9.970719115202163e-07,1.0012822408766104,1.011789195290612,434.37599018945167,108.59399754736292,4,1200,0.6580833333333334,0.6535,0.6631666666666667,0.6595;0.6632;0.6535;0.6562
0,116,low,alpha_slope,4.0403847662065555e-09,4.891224575558828e-09,4.965806707611643e-10,1.003205558616046,1.0031092834493225,692.0585749706281,173.01464374265703,4,1200,0.6580833333333334,0.6535,0.6631666666666667,0.6595;0.6632;0.6535;0.6562
0,116,low,SS316_k_ref,25.93687298123349,24.20484117214593,2.0107146711948225,1.005791248277278,1.0147155030804316,698.9914660146155,174.74786650365388,4,1200,0.6580833333333334,0.6535,0.6631666666666667,0.6595;0.6632;0.6535;0.6562
1,176,low,E_intercept,177381820506.77377,190231756098.9423,14633497038.003311,1.000896354724872,1.0016893112157939,948.4225502632298,237.10563756580746,4,1200,0.665875,0.665,0.6673333333333333,0.6650;0.6650;0.6673;0.6662
1,176,low,alpha_base,9.710397038094874e-06,9.839572319965337e-06,9.545007768625893e-07,1.001572716536354,1.0059037278616303,657.7953101827907,164.44882754569767,4,1200,0.665875,0.665,0.6673333333333333,0.6650;0.6650;0.6673;0.6662
1,176,low,alpha_slope,5.247653609670971e-09,4.943127006607722e-09,4.925736650407972e-10,1.0021996438664746,1.0052396332064943,663.9283834019051,165.98209585047627,4,1200,0.665875,0.665,0.6673333333333333,0.6650;0.6650;0.6673;0.6662
1,176,low,SS316_k_ref,22.94621709035822,23.666072592490053,2.1048277781644567,1.0028077886141114,1.009066603738973,715.5915519040192,178.8978879760048,4,1200,0.665875,0.665,0.6673333333333333,0.6650;0.6650;0.6673;0.6662
2,426,low,E_intercept,152849710205.02673,177562710476.037,14416436266.86144,0.9998568667245755,0.9999160341438391,804.51980147022,201.129950367555,4,1200,0.6508333333333334,0.6441666666666667,0.6556666666666666,0.6442;0.6557;0.6498;0.6537
2,426,low,alpha_base,1.1457294187908316e-05,9.288218776743508e-06,1.0131031191921266e-06,1.0018871690262323,1.0076898854944099,550.4884102944648,137.6221025736162,4,1200,0.6508333333333334,0.6441666666666667,0.6556666666666666,0.6442;0.6557;0.6498;0.6537
2,426,low,alpha_slope,5.6969675300680525e-09,4.847884015949736e-09,4.821273705580475e-10,1.0013082948615584,1.003320438267272,598.9875650458446,149.74689126146114,4,1200,0.6508333333333334,0.6441666666666667,0.6556666666666666,0.6442;0.6557;0.6498;0.6537
2,426,low,SS316_k_ref,23.831113359457262,23.969165558724836,2.102448769318143,1.0000908184398947,1.0089482368445484,534.7815271884095,133.69538179710239,4,1200,0.6508333333333334,0.6441666666666667,0.6556666666666666,0.6442;0.6557;0.6498;0.6537
3,433,low,E_intercept,177665444331.38004,176306177895.72556,14398808373.836594,1.0028063916429149,1.0032457131316748,837.6987729266435,209.42469323166088,4,1200,0.655,0.6508333333333334,0.6611666666666667,0.6508;0.6547;0.6612;0.6533
3,433,low,alpha_base,8.03799812327039e-06,9.378702404655197e-06,9.64322577909056e-07,1.0000094172775646,1.0017317758615918,544.4818231160195,136.12045577900489,4,1200,0.655,0.6508333333333334,0.6611666666666667,0.6508;0.6547;0.6612;0.6533
3,433,low,alpha_slope,4.777589104200756e-09,4.8223395220303045e-09,4.93920916336455e-10,1.0024122014236672,1.0030382191346197,549.1668347753402,137.29170869383506,4,1200,0.655,0.6508333333333334,0.6611666666666667,0.6508;0.6547;0.6612;0.6533
3,433,low,SS316_k_ref,24.326825323178355,23.999210318801705,2.060527694162289,0.9998569476031623,1.0033303688162172,712.7816314950257,178.19540787375644,4,1200,0.655,0.6508333333333334,0.6611666666666667,0.6508;0.6547;0.6612;0.6533
4,64,low,E_intercept,180733233854.73056,186764082423.92035,14937338115.739693,1.0003118371474722,1.001008613092795,852.0398437194027,213.00996092985068,4,1200,0.6632083333333333,0.6536666666666666,0.6703333333333333,0.6643;0.6703;0.6645;0.6537
4,64,low,alpha_base,9.837333027101514e-06,9.649792550181515e-06,9.802744544638298e-07,0.9998948768870382,1.003695865253423,491.92384386633375,122.98096096658344,4,1200,0.6632083333333333,0.6536666666666666,0.6703333333333333,0.6643;0.6703;0.6645;0.6537
4,64,low,alpha_slope,4.162954358640034e-09,4.94702960347065e-09,4.836466382406908e-10,1.0034505239861586,1.0037114442312518,571.6395021688338,142.90987554220845,4,1200,0.6632083333333333,0.6536666666666666,0.6703333333333333,0.6643;0.6703;0.6645;0.6537
