category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95,stress_epistemic_mean,stress_aleatoric_mean
low_stress,0,0.5,120.44,0.463,130.0085909856566,15.990247312122944,104.70979947263739,157.04264070454448,4.77755347694094,7.858415915546986
low_stress,0,1.0,120.44,0.4869,132.0412328899796,28.370424706418795,89.35108003459884,181.3746759448969,7.392793509554408,9.24585162540417
low_stress,0,1.5,120.44,0.48845,134.53332411189234,44.10757238010162,73.76059884952,208.51659199642074,9.655983518206057,13.350656529617833
low_stress,1,0.5,109.64,0.12485,113.5940085771853,15.202061656614989,88.70830989260733,138.41428383931364,5.267561552489406,8.92242242425576
low_stress,1,1.0,109.64,0.24055,113.25859480934436,26.879989212087995,71.00741972684874,158.35013195054117,8.670161688026212,10.0505695649142
low_stress,1,1.5,109.64,0.3282,117.13573941523863,38.895967923416265,57.875075938380725,183.9707443037296,11.08608790550242,12.238175848002347
low_stress,2,0.5,117.99,0.32965,124.24489577809919,16.18772091703561,98.20112733737834,151.49059545240573,5.050007979961259,7.461529621387944
low_stress,2,1.0,117.99,0.4302,127.2579673328022,28.50606336872352,83.0125730320058,176.09906621815577,7.786565069323263,9.035740965452993
low_stress,2,1.5,117.99,0.44495,128.75841892561908,42.40196069163936,66.17334632025907,201.68261432668788,10.191318384227046,12.153258158344586
near_threshold,0,0.5,125.58,0.36115,125.77316725599012,16.84013592005504,99.29836182497837,154.28908963081025,5.439771814212077,7.577971130916842
near_threshold,0,1.0,125.58,0.4393,129.760663151879,30.40663488924828,86.06560191567631,184.1359855153423,7.708913366045738,9.573799542229857
near_threshold,0,1.5,125.58,0.46085,132.926949100537,45.62257915423764,72.12391134618528,211.26121819620974,10.727951258576512,13.672519014551153
near_threshold,1,0.5,126.57,0.38205,125.89030269477544,19.111910467342717,95.29759511153505,157.8413418112953,8.495376631213775,9.89415135844973
near_threshold,1,1.0,126.57,0.4643,130.5200932656245,31.13800346205656,83.33110891791435,184.73273007506995,10.53637535111739,11.69533428170853
near_threshold,1,1.5,126.57,0.47675,132.46128444199158,44.58059008239593,68.27475628269917,206.3534931397748,12.952496980334784,16.455355003941047
near_threshold,2,0.5,121.54,0.3942,126.67468123954208,16.75092942456517,99.22169331984064,154.52089688898582,7.5894193394342935,9.20830754458958
near_threshold,2,1.0,121.54,0.45645,129.37457539262303,26.72072183607979,87.84596659647806,175.01380386732848,8.763655677659466,10.307026292071463
near_threshold,2,1.5,121.54,0.4822,132.41285644533164,38.450413209644864,75.187378542254,198.84265023101653,11.37504959349495,12.825341036212553
above_threshold,0,0.5,161.64,0.8966,152.76968824665434,17.486788309769096,124.50963249185034,182.03944772650357,5.90925387717099,8.082774275107985
above_threshold,0,1.0,161.64,0.7515,152.3196948362207,30.959455651714,103.30307685895045,204.168782108282,8.327472674600582,10.222245203649518
above_threshold,0,1.5,161.64,0.7024,154.68749768185373,43.54067441302592,88.39743097449332,227.4880659259858,11.168976470754247,13.857872913696067
above_threshold,1,0.5,171.01,0.9391,158.0833929424808,17.73940235522914,129.38146785329246,187.63219288458643,6.481586857970378,9.630529542475262
above_threshold,1,1.0,171.01,0.81805,158.50686170299727,30.424071136754986,111.08364510567878,209.80704427244402,8.503190857037737,11.086145232115474
above_threshold,1,1.5,171.01,0.744,159.60070167117166,45.02529460592434,90.27017528493869,234.25926313446533,11.610685403278202,15.396482607564504
above_threshold,2,0.5,156.65,0.96175,160.55474450132698,17.328532450326392,133.1260682868049,189.8860740075369,4.9307230775460695,8.56476863970999
above_threshold,2,1.0,156.65,0.8294,160.56952606044197,30.94635134334581,112.88761812405649,214.04248924380454,7.493539505983959,10.396526034879216
above_threshold,2,1.5,156.65,0.74415,161.87685033895238,45.25955443310233,95.75272539533015,239.7160486565887,10.380292744167873,14.074409093548217
extreme_stress,0,0.5,202.47,0.99985,205.00063521794095,23.708402842804453,168.7648504354084,246.16171278077775,9.12030934487528,14.45771015735933
extreme_stress,0,1.0,202.47,0.9845,202.88992047749633,36.99869336549895,147.17197512807178,266.3335467902147,11.336761192451265,17.05671484503706
extreme_stress,0,1.5,202.47,0.9296,203.0807920077992,57.13026678577416,123.41204239619242,297.1549844524469,13.959866182805563,24.45199936394905
extreme_stress,1,0.5,181.33,0.9968,180.52670556903777,18.45043232784489,151.09422434310304,211.62762443582122,6.490055914943473,10.100640220292334
extreme_stress,1,1.0,181.33,0.94785,178.41289560565363,30.029823989921386,130.44798892705697,228.38526323174074,8.298574624567168,11.736472904633887
extreme_stress,1,1.5,181.33,0.8759,178.00144301996738,42.26020587893386,113.93819344456874,247.80949174983172,10.85790444933229,14.24668440748016
extreme_stress,2,0.5,199.06,0.99995,203.6327335379175,20.58429989577668,171.08697130442488,238.59815596398548,9.289323243567603,12.417560455615696
extreme_stress,2,1.0,199.06,0.99105,203.1134231923591,34.2581030319118,151.26257868030828,262.06541610196405,12.404295621465076,15.28991121755162
extreme_stress,2,1.5,199.06,0.95155,203.20710618783133,50.69622132678633,131.6978484327482,288.58285066978715,15.11989790327196,20.57936719072729
