case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.009166666666666667,0.9908333333333333,False,131.0,0.9,0.6106666666666667,1200,177.56189007913798,147.71678531062489,211.27625992180631
1,377,154.29,0.05416666666666667,0.9458333333333333,False,131.0,0.9,0.6311666666666667,1200,165.85755990085298,129.95044091569912,209.93377536013787
2,161,136.63,0.2608333333333333,0.7391666666666666,False,131.0,0.9,0.62,1200,142.44010836759736,111.57299030866005,172.42575627916065
3,79,150.99,0.1275,0.8725,False,131.0,0.9,0.6268333333333334,1200,152.27985291234234,121.99103370631238,182.856699553807
4,19,136.95,0.3233333333333333,0.6766666666666666,False,131.0,0.9,0.6385,1200,139.7806426484781,107.46506173189258,171.32562354730746
5,88,184.91,0.015,0.985,False,131.0,0.9,0.6136666666666667,1200,176.94658267764245,145.09611769781745,212.1325629817734
6,250,133.33,0.3883333333333333,0.6116666666666667,False,131.0,0.9,0.6381666666666667,1200,136.38315770692344,108.09992265738718,164.4696311127427
7,224,135.41,0.3641666666666667,0.6358333333333334,False,131.0,0.9,0.6251666666666666,1200,137.65777394496777,106.13162163439735,168.33812256080077
8,210,193.53,0.0,1.0,False,131.0,0.9,0.6503333333333333,1200,206.4055069278458,170.56682615000392,248.12755165061395
9,230,190.6,0.0008333333333333334,0.9991666666666666,False,131.0,0.9,0.6263333333333333,1200,187.64654176120374,154.0311443722318,224.59110841476343
