output,MAE,RMSE,R2,PICP,MPIW,CRPS
iteration1_avg_fuel_temp,3.0828289444145116,4.044353328117109,0.817075064895386,0.9126436781609195,14.491460005996924,2.2163967587814244
iteration1_max_fuel_temp,5.4057308054956925,7.135451367259094,0.8107245427173679,0.903448275862069,24.802873910652124,3.923289556330963
iteration1_max_monolith_temp,6.303754254220549,8.194045588018785,0.8122123421428971,0.9080459770114943,28.429523022481398,4.508921566148437
iteration1_max_global_stress,8.641216288950256,11.252004692319801,0.9280230736853899,0.9517241379310345,45.573321706033155,6.280366776939261
iteration1_monolith_new_temperature,1.0260711495803494,1.37341974386228,0.8184620433049266,0.9080459770114943,4.779938664887759,0.7411146380583294
iteration1_Hcore_after,0.013304539139684018,0.018805694859136593,0.9890154842346921,1.0,0.44600638588948716,0.03284494015762006
iteration1_wall2,0.0013402212727303096,0.0017503481173047604,0.9948482462955214,0.9977011494252873,0.017142498468410556,0.0014723528946656084
iteration2_keff,0.00019883841826765235,0.0002509864683661058,0.8765128845318618,0.9793103448275862,0.0013898604016367134,0.0001562267095565012
iteration2_avg_fuel_temp,1.8953743321210497,2.426261510639137,0.5840941568498392,0.8988505747126436,7.945825134862135,1.3490441918117275
iteration2_max_fuel_temp,3.553849137931031,4.5477901989544405,0.5801258023250565,0.9011494252873563,14.88266729278479,2.532615330248551
iteration2_max_monolith_temp,3.977655520384337,5.100387960006895,0.5838565433071858,0.9057471264367816,16.91497571786619,2.8352985935107866
iteration2_max_global_stress,6.208168894800643,8.175905334635523,0.9244431334282454,0.9494252873563218,33.2544363326881,4.588702426603828
iteration2_monolith_new_temperature,0.5224511807226573,0.677309360125154,0.5866657256688997,0.8988505747126436,2.1887818939772585,0.37174706990784756
iteration2_Hcore_after,0.06416144647633934,0.6036074549017895,0.06918161113102872,0.9977011494252873,1.3331240094551478,0.12488354560740844
iteration2_wall2,0.0010189824545229396,0.0013142647261402051,0.9970245908469055,1.0,0.017529912918448763,0.0013970371105970145
