model_id,model_label,ood_feature,epistemic_std_in,epistemic_std_ood,epistemic_ratio,aleatoric_std_in,aleatoric_std_ood,aleatoric_ratio,PICP_in,PICP_ood,PICP_change,RMSE_in,RMSE_ood,RMSE_ratio,CRPS_in,CRPS_ood
bnn-baseline,Reference surrogate,E_intercept,2.182983673664625,2.633385198321271,1.2063238173011832,4.346681258057918,4.548794947932649,1.0464983921929059,0.9737629146275152,0.9881898454746136,0.014426930847098451,3.457291720900313,3.786430643330202,1.0952013740813802,1.973706784703968,2.052515612127204
bnn-baseline,Reference surrogate,alpha_base,2.243838152877469,2.6597163661879657,1.1853423397659852,4.425055927061614,4.520576521818207,1.0215863022594658,0.9765074179937392,0.9880285557386052,0.011521137744865961,3.5887298105380223,3.331102710906395,0.9282121772235052,2.0141231553868515,1.965016885080832
bnn-baseline,Reference surrogate,nu,2.259129616486961,2.4920611268378443,1.1031067490111972,4.3298743878077905,4.5388355707645,1.0482603337281815,0.9779501837484688,0.974299835255354,-0.003650348493114741,3.4888335713867047,3.6594579928621,1.04890586437678,1.964295358386498,2.0807535053297177
bnn-baseline,Reference surrogate,alpha_slope,2.253726267417026,2.417004144181968,1.0724479627918935,4.333198295551546,4.489268052405671,1.0360172201245315,0.973398479913138,0.9847777777777776,0.011379297864639648,3.5787776877216495,3.314987050383718,0.9262902978737783,2.000815173814432,1.941091563280964
bnn-data-mono,Data-monotone BNN,E_intercept,2.478738034848245,2.819933460507402,1.1376488442353876,4.47929422345486,4.804110011576677,1.0725149480962846,0.9730016313213704,0.9856512141280352,0.012649582806664839,3.439712033534605,4.009495073169655,1.165648471174358,2.004875131520204,2.1810931615634015
bnn-data-mono,Data-monotone BNN,alpha_base,2.4777744420578496,3.004458758818158,1.2125634633323947,4.4636744816817675,4.78563122851572,1.072128186801079,0.973077446576834,0.9887973640856672,0.01571991750883317,3.609110018800494,3.422780214938669,0.9483723680100634,2.032369255825287,2.04864181732149
bnn-data-mono,Data-monotone BNN,nu,2.58974629634827,2.6804036280743517,1.0350062598231786,4.512451831219528,4.663522741125046,1.0334786753534584,0.977051857901184,0.9783635365183962,0.001311678617212264,3.538702269982133,3.658839524203539,1.0339495230329205,2.026298823556153,2.106909132930301
bnn-data-mono,Data-monotone BNN,alpha_slope,2.3994027218142717,2.774955946864079,1.1565194627960738,4.508282019082179,4.706624118515423,1.0439950514616705,0.9745656894679696,0.985,0.010434310532030366,3.6416578937139774,3.4330070970490096,0.9427044487003766,2.0422536092770147,2.0415208981268056
bnn-phy-mono,Physics-regularized BNN,E_intercept,2.053972299355906,2.398199580428767,1.1675910046015736,4.0396107517378725,4.4726622945439765,1.1072013046355522,0.9665579119086462,0.9834437086092714,0.01688579670062529,3.4426262913024512,3.8425991005429054,1.116182465186813,1.9263757311478784,2.0447955611757673
bnn-phy-mono,Physics-regularized BNN,alpha_base,1.9851227221522472,2.2891632918660885,1.1531595836977797,4.0512589714277265,4.305685596633145,1.0628018665308268,0.9662991697291412,0.9831960461285008,0.01689687639935955,3.599481251133957,3.35413224285707,0.9318376757207462,1.9632523588086364,1.9187549609216528
bnn-phy-mono,Physics-regularized BNN,nu,2.036169006696555,2.2510081952663255,1.1055114717212604,4.094457850693468,4.236611806877043,1.034718627317045,0.970164693072002,0.9690280065897858,-0.0011366864822162093,3.493091577695721,3.676034038707561,1.0523726495405887,1.9274520559425663,2.02480239065301
bnn-phy-mono,Physics-regularized BNN,alpha_slope,2.1004190234535733,2.376216254312137,1.1313058145917425,4.0708304125871875,4.254043892254124,1.0450064141951068,0.9664766558089036,0.9817777777777776,0.01530112196887401,3.548889473493219,3.398652266289601,0.9576664169662805,1.9484633132895115,1.9478856994213405
bnn-data-mono-ineq,Data+inequality BNN,E_intercept,3.1600924095311735,3.620781722697197,1.1457834941081266,5.495831781132185,5.6187177227888325,1.022359844069196,0.9856171832517672,0.98841059602649,0.002793412774722781,3.5882678328615247,4.020813898680298,1.1205445317814617,2.2184876824665243,2.338954576841579
bnn-data-mono-ineq,Data+inequality BNN,alpha_base,3.1006258336824564,3.685869773267119,1.1887502623590018,5.477088013032508,5.388191429392299,0.9837693709816816,0.9844834626378112,0.9916529379461834,0.007169475308372197,3.74569162946687,3.4709065057300568,0.9266396834231856,2.235412493973048,2.204941168479254
bnn-data-mono-ineq,Data+inequality BNN,nu,3.0667039757679655,3.4434330453034727,1.1228449411851584,5.565469718452282,5.545978893777173,0.9964979012264702,0.9864162243092416,0.9869302580999452,0.000514033790703583,3.618521629934977,3.82201752834308,1.0562373033021666,2.209492835348401,2.304382255176646
bnn-data-mono-ineq,Data+inequality BNN,alpha_slope,3.125899558637696,3.5097396227198265,1.1227934733288143,5.579216232192658,5.460752006040538,0.9787668695347262,0.9848805646036918,0.9913333333333334,0.0064527687296416225,3.676089853292905,3.544538177077728,0.964214238099393,2.2363232024050315,2.215227937064875
