model_id,prior_variant,param,n_cases,mean_post_mean,mean_post_std,coverage_90ci_true,median_abs_rel_bias,max_kl_vs_canonical,mean_kl_vs_canonical,max_abs_mean_shift_sigma,mean_accept_rate
bnn-phy-mono,canonical,E_intercept,6,193837679633.08554,13616076184.123177,1.0,0.04751861800790973,0.0,0.0,0.0,0.5943333333333334
bnn-phy-mono,canonical,alpha_base,6,9.761519896475638e-06,1.003362372123335e-06,1.0,0.049092686806210456,0.0,0.0,0.0,0.5943333333333334
bnn-phy-mono,canonical,alpha_slope,6,4.9336868848597145e-09,5.126296144196652e-10,1.0,0.07829966184622511,0.0,0.0,0.0,0.5943333333333334
bnn-phy-mono,canonical,SS316_k_ref,6,23.664722160938553,2.127453614673052,1.0,0.06774150110219752,0.0,0.0,0.0,0.5943333333333334
bnn-phy-mono,diffuse,E_intercept,6,194376826601.11935,21058334004.651455,1.0,0.04813654425936709,0.17932273621244654,0.15055852406961315,0.36140483506825666,0.5821388888888889
bnn-phy-mono,diffuse,alpha_base,6,9.727204203222132e-06,1.6451003633021194e-06,1.0,0.04949265788334627,0.2201513573644791,0.18371421228497753,0.15403762878119542,0.5821388888888889
bnn-phy-mono,diffuse,alpha_slope,6,4.945329470461645e-09,7.822575389291716e-10,1.0,0.08051736444543649,0.20992204418053584,0.1456261982802126,0.26634160256217115,0.5821388888888889
bnn-phy-mono,diffuse,SS316_k_ref,6,24.096033179556926,3.1749421034439496,1.0,0.05653384253405455,0.17563909845329417,0.15771249941040533,0.6043976779674415,0.5821388888888889
bnn-phy-mono,tight,E_intercept,6,194928641696.05338,7641538268.808877,0.8333333333333334,0.048896067439849755,0.7822327022223223,0.6356578601254278,0.43310386952461416,0.39502777777777776
bnn-phy-mono,tight,alpha_base,6,9.907738377719512e-06,4.903302752446915e-07,0.6666666666666666,0.04337790847959394,1.2826815517238281,0.9679967703705641,0.28218488070946257,0.39502777777777776
bnn-phy-mono,tight,alpha_slope,6,4.949438103197738e-09,2.5908400252333264e-10,0.5,0.08506011058212208,1.0455369899968352,0.8021755373046601,0.17839752186730878,0.39502777777777776
bnn-phy-mono,tight,SS316_k_ref,6,23.408751978196907,1.1155149396961226,0.5,0.08313238723970576,0.8575967583248505,0.7155237759457015,0.23974511168196344,0.39502777777777776
bnn-phy-mono,flat,E_intercept,6,197479546311.4724,26251189476.056057,1.0,0.07418799493073525,0.3821210622667255,0.32777760650999177,0.9687271876784803,0.8062777777777779
bnn-phy-mono,flat,alpha_base,6,9.567946912590434e-06,1.962206522044373e-06,1.0,0.07641192966018273,0.3715381603988984,0.3159752304268022,0.532707199698521,0.8062777777777779
bnn-phy-mono,flat,alpha_slope,6,4.961699988170278e-09,8.882659417724941e-10,1.0,0.0896146065440622,0.2572170691030421,0.22558396031544156,0.33755816929531385,0.8062777777777779
bnn-phy-mono,flat,SS316_k_ref,6,24.261329857255344,3.553490566335404,1.0,0.07633729916888318,0.3185445076010406,0.23669434451518379,0.9245364194124991,0.8062777777777779
bnn-phy-mono,shift_pos,E_intercept,6,194109327466.19925,13672952663.231932,1.0,0.05067926725534601,0.01532468325744274,0.005559279458973017,0.17386470010713423,0.5955833333333334
bnn-phy-mono,shift_pos,alpha_base,6,1.0131064744398367e-05,9.817869441170662e-07,1.0,0.028522800318454014,0.13089184201496717,0.07563143840357418,0.45941506771319895,0.5955833333333334
bnn-phy-mono,shift_pos,alpha_slope,6,5.146378555844325e-09,4.954520978256554e-10,0.8333333333333334,0.04889877233796981,0.14413855628336025,0.09985955355015964,0.5325091477795287,0.5955833333333334
bnn-phy-mono,shift_pos,SS316_k_ref,6,24.853997527747023,2.0101319169201575,0.6666666666666666,0.058609082354383654,0.2843131466147105,0.19750462509342914,0.6747068511694552,0.5955833333333334
bnn-phy-mono,shift_neg,E_intercept,6,192197559808.4352,12770454350.233711,1.0,0.04219798948291152,0.03243705807972097,0.016608447741785364,0.1738905896316139,0.6020277777777777
bnn-phy-mono,shift_neg,alpha_base,6,9.462012339533587e-06,9.685384844031601e-07,1.0,0.07377397593552876,0.10255289658654643,0.05840801758840044,0.43300539794771326,0.6020277777777777
bnn-phy-mono,shift_neg,alpha_slope,6,4.717675221002771e-09,4.97846195483224e-10,1.0,0.09575737378689239,0.13099645702382878,0.10236650293025383,0.5454162283167137,0.6020277777777777
bnn-phy-mono,shift_neg,SS316_k_ref,6,22.246082666696157,2.1391483447989574,1.0,0.08067436700022979,0.35635933023078703,0.23047548364865023,0.8258392362404215,0.6020277777777777
