case_dir,E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_keff,iteration2_keff,iteration1_keff_std,iteration2_keff_std,total_iterations,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2,aux_fuel_nearby_avestress_mean,aux_fuel_nearby_avestress_max,aux_fuel_nearby_avestress_p95,aux_fuel_nearby_maxstress_mean,aux_fuel_nearby_maxstress_max,aux_fuel_nearby_maxstress_p95,aux_hp_nearby_avestress_mean,aux_hp_nearby_avestress_max,aux_hp_nearby_avestress_p95,aux_hp_nearby_maxstress_mean,aux_hp_nearby_maxstress_max,aux_hp_nearby_maxstress_p95,aux_fuel_T_list_mean,aux_fuel_T_list_max,aux_fuel_T_list_p95,aux_fenics_segment_count,aux_fenics_duration_sum_sec,aux_fenics_duration_mean_sec,aux_fenics_duration_max_sec,aux_all_HP_step,case_id
/home/tjzs/Documents/fenics_data/fenics_data/new_output/2026_02_12_22_03_49/29,-57015877.14698389,198136501301.4048,0.2724016904690624,1.0407067068249075e-05,5.147067292868987e-09,1090.0533119327088,20.43887074984152,0.0142161141663697,1.1133589146381235,1.1032437216117912,0.0002396203159149,0.0002504224091185,2,1051.32,1163.3,1138.06,312.28,967.8069002470912,152.45811647315338,29.9333021524248,1014.01,1097.97,1063.76,213.09,954.7247076754476,152.41524628460297,29.923992686496657,39.76884650892857,91.071902,80.35410535,73.47680726785714,213.086547,118.09668864999996,39.397292,77.924444,71.94668635000002,71.60360873611111,161.767484,123.10454575,300.0,300.0,300.0,2.0,2856.573206,1428.286603,1456.14676,38.0,2026_02_12_22_03_49_29
/home/tjzs/Documents/fenics_data/fenics_data/new_output/2026_02_12_22_03_49/41,-76739741.51030895,211790443349.32053,0.3691347014265828,9.621840874700327e-06,4.0531430540050175e-09,845.5272289848924,20.81070437886704,0.0137189051618371,1.1133589146381129,1.1039336030067362,0.0002396203159037,0.0002473562197408,2,1016.11,1103.49,1068.57,214.13,955.3405104954325,152.10794674264778,29.90876561728424,1000.49,1073.97,1036.08,168.22,950.6156839166202,152.0947907722945,29.90537362542978,31.71942494642857,73.858657,62.87873245,58.225451250000006,168.224149,96.16711139999994,31.426387375000004,62.680581,58.72067990000001,57.12562179166667,131.731335,100.6567271,300.0,300.0,300.0,2.0,2900.970279,1450.4851395,1454.564517,38.0,2026_02_12_22_03_49_41
/home/tjzs/Documents/fenics_data/fenics_data/new_output/2026_02_12_22_03_49/35,-76739741.51030895,196756696775.40143,0.3691347014265828,9.621840874700327e-06,4.0531430540050175e-09,845.5272289848924,20.81070437886704,0.0125366605265794,1.113358914638128,1.1044713765752792,0.0002396203159042,0.0002548076690018,2,1014.41,1100.51,1065.15,186.67,954.7827295591952,152.10639222503218,29.908383784096827,1000.63,1074.25,1036.56,150.18,950.6569764494544,152.0949056310708,29.90539692128058,28.32919781250001,65.925045,56.0764294,52.00580460714286,150.18359,85.93919949999996,28.07370488888889,55.935231,52.49650535000001,51.03036169444445,117.526781,89.8478264,300.0,300.0,300.0,2.0,2692.136628,1346.068314,1377.350024,38.0,2026_02_12_22_03_49_35
/home/tjzs/Documents/fenics_data/fenics_data/new_output/2026_02_12_22_03_49/34,-62696212.92886802,211790443349.32053,0.3691347014265828,9.621840874700327e-06,4.0531430540050175e-09,845.5272289848924,20.81070437886704,0.0125366605265794,1.1133589146381278,1.104571197364281,0.0002396203159038,0.0002568685012271,2,1014.41,1100.51,1065.15,229.66,954.782729559195,152.1063922250322,29.908383784097705,1000.63,1073.86,1036.11,184.94,950.6464968191372,152.09487648087003,29.905383322874012,34.84458043749999,81.249517,69.1263513,63.984220241071434,184.942245,105.63134069999995,34.52517668055555,68.871026,64.51682240000001,62.7785295138889,144.747605,110.5593469,300.0,300.0,300.0,2.0,2709.39824,1354.69912,1360.348134,38.0,2026_02_12_22_03_49_34
/home/tjzs/Documents/fenics_data/fenics_data/new_output/2026_02_12_22_03_49/8,-72447102.84019923,184478134887.58017,0.3081833475998529,1.0934811834952634e-05,4.78483072559181e-09,891.6107240166399,24.55461780882044,0.0155467978766994,1.1133589146381284,1.1031549343507585,0.0002396203159017,0.000233160667376,2,1009.2,1091.26,1054.6,169.64,953.0638689481376,152.4203786630971,29.93483163446364,996.42,1065.67,1027.21,134.4,949.5957158736768,152.40920730929477,29.93191876091767,25.55638833928571,59.629195,50.2062532,46.7532364375,134.402228,77.92272884999996,25.316994027777778,50.50309,47.67466085,45.978461833333334,106.369976,81.81461,300.0,300.0,300.0,2.0,1672.762005,836.3810025,866.944771,38.0,2026_02_12_22_03_49_8
/home/tjzs/Documents/fenics_data/fenics_data/new_output/2026_02_12_22_03_49/45,-72126502.74782546,191840406492.6681,0.3207986056484527,9.86277923451878e-06,4.596952458502461e-09,914.9572898449874,26.674890660654928,0.0137184012179186,1.1133589146381355,1.1037592361250663,0.0002396203159172,0.0002498761809294,2,1010.01,1092.72,1056.26,171.48,953.3181668114,152.23422839137177,29.912745769148625,999.12,1071.28,1033.21,142.39,950.2492903640772,152.22502522641082,29.91040233869427,26.965915830357144,62.735106,53.2395986,49.42763470535714,142.387796,81.97114934999995,26.713870902777774,53.255002,50.02975310000001,48.530104666666666,111.921227,85.73333005,300.0,300.0,300.0,2.0,2766.971716,1383.485858,1389.111728,38.0,2026_02_12_22_03_49_45
/home/tjzs/Documents/fenics_data/fenics_data/new_output/2026_02_12_22_03_49/14,-69987269.96188925,235811833141.8677,0.3255484282188703,8.8688096445556e-06,5.4415083448198555e-09,945.45812319614,22.293869855815085,0.0146431509393385,1.113358914638112,1.1035039143250005,0.0002396203158909,0.0002500052046249,2,1021.66,1113.14,1079.7,272.78,957.2090030880828,152.25565195902576,29.912726867897323,1002.71,1077.56,1040.44,208.2,951.2424521706898,152.23695924716154,29.9083490430075,39.20891241964286,90.989206,78.0444332,72.04318545535715,208.201249,118.25081394999997,38.84724788888889,77.346094,72.18304685000001,70.60265477777779,162.116776,123.82243635,300.0,300.0,300.0,2.0,2813.579889,1406.7899445,1411.523864,38.0,2026_02_12_22_03_49_14
/home/tjzs/Documents/fenics_data/fenics_data/new_output/2026_02_12_22_03_49/27,-57015877.14698389,198136501301.4048,0.2724016904690624,1.0407067068249075e-05,5.3908678202147094e-09,1090.0533119327088,24.99289080369191,0.0142161141663697,1.1133589146381233,1.1033450793065305,0.0002396203158999,0.0002590229310601,2,1027.7,1123.53,1091.72,254.42,959.3011487640196,152.4743916231318,29.931944352112534,1007.26,1086.19,1050.19,196.11,952.57939350132,152.45187607262352,29.926912186815976,36.77873527678572,84.907071,73.62152239999999,67.73465935714286,196.112028,110.3573666,36.4398965,72.396355,67.25941830000001,66.2379468611111,151.005921,115.26821355,300.0,300.0,300.0,2.0,2523.660526,1261.830263,1378.776507,38.0,2026_02_12_22_03_49_27
/home/tjzs/Documents/fenics_data/fenics_data/new_output/2026_02_12_22_03_49/3,-72447102.84019923,184478134887.58017,0.2900067828698071,1.0934811834952634e-05,4.78483072559181e-09,891.6107240166399,24.55461780882044,0.0121284929851471,1.1133589146381242,1.1035451046553102,0.000239620315913,0.0002399693647331,2,1005.68,1084.87,1047.33,156.31,951.9906484037384,152.41691984116008,29.929694863424302,996.59,1066.23,1027.62,131.43,949.629214823356,152.40931513112363,29.927689708457223,24.978440419642855,58.28249,49.1104843,45.69737679464286,131.432762,76.22793244999995,24.75066125,49.384517,46.574148050000005,44.94154793055556,103.94612,79.987646,300.0,300.0,300.0,2.0,2276.5407370000003,1138.2703685,1286.895988,38.0,2026_02_12_22_03_49_3
/home/tjzs/Documents/fenics_data/fenics_data/new_output/2026_02_12_22_03_49/22,-57015877.14698389,198136501301.4048,0.2724016904690624,1.0407067068249075e-05,5.147067292868987e-09,1090.0533119327088,24.99289080369191,0.0142161141663697,1.1133589146381253,1.103419135390569,0.0002396203158966,0.0002678782505,2,1027.7,1123.53,1091.72,250.6,959.3011487640196,152.4302131740348,29.92733624357337,1007.28,1085.66,1049.73,193.17,952.587927507552,152.40826918864067,29.92238977098304,36.25478760714286,83.699283,72.54170260000001,66.75966120535715,193.172969,108.7063019,35.91983227777777,71.328047,66.29441035,65.29867947222222,148.816776,113.5675995,300.0,300.0,300.0,2.0,2493.206045,1246.6030225,1329.703375,38.0,2026_02_12_22_03_49_22
