sample_idx,output,y_true,y_pred_mean,y_pred_std
0,iteration2_max_global_stress,225.69,220.69668398480374,17.11544326281502
0,iteration2_keff,1.1020494341910188,1.1025263239170449,0.0005142155159996642
0,iteration2_max_fuel_temp,1076.28,1076.066876378357,5.1909646223910375
1,iteration2_max_global_stress,131.81,147.33948615556574,9.771718003264782
1,iteration2_keff,1.1034225324349118,1.1036969216465764,0.00033440231304893066
1,iteration2_max_fuel_temp,1064.11,1074.5944293530033,4.504220914868625
2,iteration2_max_global_stress,193.4,199.3412751678069,14.189038397913754
2,iteration2_keff,1.1032826700602252,1.1031878759305576,0.00046891310813593234
2,iteration2_max_fuel_temp,1072.17,1074.5405697094193,5.190309046685925
3,iteration2_max_global_stress,114.38,113.97746929895237,10.870560444711783
3,iteration2_keff,1.1042043721364283,1.1042589131565663,0.0004014797646915955
3,iteration2_max_fuel_temp,1077.57,1075.118655522851,4.711244367090871
4,iteration2_max_global_stress,130.15,145.64668765499442,9.85762677282134
4,iteration2_keff,1.1039207536145508,1.103799961189207,0.0003409344953633393
4,iteration2_max_fuel_temp,1063.72,1074.5842101969333,4.5301089396064915
5,iteration2_max_global_stress,142.6,148.55691568853388,12.24560502638085
5,iteration2_keff,1.104315397368531,1.1042710904119517,0.0003792197098889276
5,iteration2_max_fuel_temp,1073.58,1077.5667727719879,5.101774866712122
6,iteration2_max_global_stress,102.0,103.41163072839662,13.32845545766354
6,iteration2_keff,1.1044254697634508,1.1048722234458819,0.0005468592807840599
6,iteration2_max_fuel_temp,1073.45,1072.2085971361846,5.055454971665885
7,iteration2_max_global_stress,144.71,148.63716436796568,10.436582649834657
7,iteration2_keff,1.1031737681241385,1.1033327804100654,0.0003623893013595036
7,iteration2_max_fuel_temp,1072.47,1076.4387428746722,4.553909474340063
8,iteration2_max_global_stress,101.95,103.11889408141633,14.580108294370412
8,iteration2_keff,1.105135295405671,1.1051081548435242,0.0005911547598524942
8,iteration2_max_fuel_temp,1073.62,1071.8106102054571,5.210565539308561
9,iteration2_max_global_stress,155.34,162.8206912516724,11.12851578029483
9,iteration2_keff,1.1035018116069673,1.1035462311416915,0.0003227241886568001
9,iteration2_max_fuel_temp,1073.27,1078.1964666189692,4.980462642901158
10,iteration2_max_global_stress,192.55,191.90789397947057,12.028693880543534
10,iteration2_keff,1.102895518086272,1.103065806921435,0.00036709269317171606
10,iteration2_max_fuel_temp,1077.79,1077.788102323418,5.1433872032861885
11,iteration2_max_global_stress,192.29,198.2047857476468,12.325472650291811
11,iteration2_keff,1.1037211200331758,1.1037788164749094,0.00034571865068664596
11,iteration2_max_fuel_temp,1069.97,1073.9286414657574,4.675805665726601
12,iteration2_max_global_stress,201.12,207.56595920340263,12.868444108944576
12,iteration2_keff,1.1036022022053025,1.10373825873191,0.00033325308772380136
12,iteration2_max_fuel_temp,1070.26,1074.5951436805308,4.8615810568762585
13,iteration2_max_global_stress,136.51,130.73533726084926,8.9236882444894
13,iteration2_keff,1.1036695191826935,1.103978043404406,0.00032644657609962394
13,iteration2_max_fuel_temp,1077.64,1072.3721911117595,4.3771093510198
14,iteration2_max_global_stress,200.62,200.60576142861748,17.84814599992569
14,iteration2_keff,1.103513929774146,1.1032694446699318,0.0005854558875237077
14,iteration2_max_fuel_temp,1085.85,1089.9210267876251,7.556080631697458
15,iteration2_max_global_stress,148.62,149.08684549661547,9.106101842267892
15,iteration2_keff,1.1036507696482338,1.1035575622400602,0.00035942047946396533
15,iteration2_max_fuel_temp,1067.3,1067.709847022742,3.970319958916361
16,iteration2_max_global_stress,136.95,140.19019565837363,8.945814674677456
16,iteration2_keff,1.1038229904792565,1.1040420940849722,0.00035593453298965786
16,iteration2_max_fuel_temp,1067.5,1068.804421022621,4.054509018008497
17,iteration2_max_global_stress,144.36,143.91384471525222,8.45302630997701
17,iteration2_keff,1.103792003173473,1.103835452986339,0.0003180371051507754
17,iteration2_max_fuel_temp,1070.83,1069.9195419576827,4.144133057898311
18,iteration2_max_global_stress,201.99,187.0768129867387,11.776454039790796
18,iteration2_keff,1.1037255259935943,1.103383338013828,0.00041645143898399133
18,iteration2_max_fuel_temp,1086.0,1080.3256191679254,4.998355225383368
19,iteration2_max_global_stress,132.64,132.49607670495845,9.776832229001181
19,iteration2_keff,1.1048789484181831,1.1044886323170573,0.0003706099021668299
19,iteration2_max_fuel_temp,1071.31,1069.4416331201285,4.3744092698680905
20,iteration2_max_global_stress,188.88,189.43216625712296,16.22716323080812
20,iteration2_keff,1.102621778246541,1.1024481687411025,0.0006272357819438873
20,iteration2_max_fuel_temp,1078.46,1078.2663590487623,5.344124115955089
21,iteration2_max_global_stress,129.9,129.48342929411893,10.043399808677183
21,iteration2_keff,1.1046162876248498,1.1045344990118284,0.00038128446240887764
21,iteration2_max_fuel_temp,1071.26,1069.372378796515,4.4177806071351755
22,iteration2_max_global_stress,176.99,178.76915638041683,14.289728798300931
22,iteration2_keff,1.1028108622205703,1.1026027675452001,0.0005658384213374709
22,iteration2_max_fuel_temp,1077.37,1077.424746257311,5.154183268073563
23,iteration2_max_global_stress,153.17,156.93390769465086,11.014328150382479
23,iteration2_keff,1.1051267223092287,1.104427778789367,0.00039347643925801735
23,iteration2_max_fuel_temp,1068.14,1069.8739227655606,4.403923679019103
24,iteration2_max_global_stress,158.24,161.43867825064194,11.451813285076145
24,iteration2_keff,1.1045452508553966,1.104428125869111,0.000402570680933319
24,iteration2_max_fuel_temp,1068.39,1070.3697443330802,4.476510793973679
25,iteration2_max_global_stress,118.38,120.68438997548395,9.87020914436676
25,iteration2_keff,1.104670054528727,1.1045075202508694,0.0004206574011331865
25,iteration2_max_fuel_temp,1071.77,1070.0855478933845,4.3570248440959904
26,iteration2_max_global_stress,201.47,190.99157518695992,14.568483288753866
26,iteration2_keff,1.1032810893058729,1.1032703333266591,0.00060567126326735
26,iteration2_max_fuel_temp,1085.31,1081.998496710668,5.943180606159318
27,iteration2_max_global_stress,188.96,190.82345478732293,15.366211112301764
27,iteration2_keff,1.1025180506979937,1.1025851292350364,0.0005982467338874556
27,iteration2_max_fuel_temp,1078.37,1078.8075876254095,5.478562123715449
28,iteration2_max_global_stress,131.8,130.0417090062299,8.7928848080366
28,iteration2_keff,1.1038494953328113,1.1039059038740764,0.0004102801034010149
28,iteration2_max_fuel_temp,1070.97,1067.642477842185,3.922818235954762
29,iteration2_max_global_stress,197.37,192.56845898749825,12.841148184292239
29,iteration2_keff,1.1039459964812135,1.1042439213562225,0.00036788018909471635
29,iteration2_max_fuel_temp,1077.9,1075.7912352968767,5.166722957387344
30,iteration2_max_global_stress,140.28,146.9186003370046,9.346064689472309
30,iteration2_keff,1.1030782000034447,1.1031573344200902,0.0003370661540686013
30,iteration2_max_fuel_temp,1069.83,1074.6122828757675,4.302071916259807
31,iteration2_max_global_stress,130.23,127.4534658946974,9.658859305353511
31,iteration2_keff,1.104136681154724,1.1040462785412435,0.0003471429592527218
31,iteration2_max_fuel_temp,1076.93,1073.8183693680742,4.7292003944925005
32,iteration2_max_global_stress,175.25,172.0292413056396,10.195788027575652
32,iteration2_keff,1.1038114630702691,1.1038508823312008,0.00032912946598764804
32,iteration2_max_fuel_temp,1077.98,1076.097832762496,4.901660973392679
33,iteration2_max_global_stress,160.5,155.16278185837496,9.808574888614348
33,iteration2_keff,1.1038662854266452,1.1039422825509393,0.00042493399971432
33,iteration2_max_fuel_temp,1071.04,1067.480232084578,4.031996860776793
34,iteration2_max_global_stress,138.34,145.04248779719046,9.521095846981874
34,iteration2_keff,1.103508064516323,1.1031791947781793,0.0003495413281777094
34,iteration2_max_fuel_temp,1066.02,1070.8800944271097,4.137583316361147
35,iteration2_max_global_stress,117.68,125.74754741587037,9.534716501217437
35,iteration2_keff,1.1042545417166496,1.1043299789346117,0.0003925130967740108
35,iteration2_max_fuel_temp,1066.57,1070.3491060293131,4.2431804131647795
36,iteration2_max_global_stress,206.68,201.4691042611057,12.658222788280447
36,iteration2_keff,1.104031318587231,1.1038355921055185,0.0003804466994866251
36,iteration2_max_fuel_temp,1077.76,1076.242309446952,5.236196458153233
37,iteration2_max_global_stress,137.49,140.4506297153233,12.874716718380402
37,iteration2_keff,1.104256265898417,1.1047223491194575,0.00042858184690494036
37,iteration2_max_fuel_temp,1073.87,1075.013358786914,4.841364903948728
38,iteration2_max_global_stress,136.49,139.2211406252198,11.955463353697146
38,iteration2_keff,1.10458051769439,1.1045138592610548,0.0004353890759147547
38,iteration2_max_fuel_temp,1071.01,1072.5910340861294,4.612749337046939
39,iteration2_max_global_stress,154.61,151.69668308094634,14.115205920485206
