sample_idx,output,y_true,y_pred_mean,y_pred_std
0,iteration2_max_global_stress,225.69,218.47598320349738,17.915884538771184
0,iteration2_keff,1.1020494341910188,1.1025092765770064,0.00033799841374118134
0,iteration2_max_fuel_temp,1076.28,1074.7131019383107,4.502114878380106
1,iteration2_max_global_stress,131.81,147.45699372965794,9.668273005963066
1,iteration2_keff,1.1034225324349118,1.1036986518497174,0.00050176832833779
1,iteration2_max_fuel_temp,1064.11,1075.1260531034789,4.92303881516633
2,iteration2_max_global_stress,193.4,199.31223924227484,13.98534301879201
2,iteration2_keff,1.1032826700602252,1.1030548476662299,0.00043860237359277717
2,iteration2_max_fuel_temp,1072.17,1075.1662562785466,4.750061220909483
3,iteration2_max_global_stress,114.38,115.79874265942493,9.91965520481304
3,iteration2_keff,1.1042043721364283,1.1042841737991127,0.0005044487783419936
3,iteration2_max_fuel_temp,1077.57,1075.3589177892777,4.952390302412052
4,iteration2_max_global_stress,130.15,145.8674748902152,9.713775068407447
4,iteration2_keff,1.1039207536145508,1.1037945398150433,0.0005207290502262097
4,iteration2_max_fuel_temp,1063.72,1075.163096559198,5.00595982690464
5,iteration2_max_global_stress,142.6,149.7227351651137,10.003740600447584
5,iteration2_keff,1.104315397368531,1.1042886532356535,0.0003687994014308346
5,iteration2_max_fuel_temp,1073.58,1077.1899935091694,5.153775677228886
6,iteration2_max_global_stress,102.0,103.7021354832671,13.674970664242222
6,iteration2_keff,1.1044254697634508,1.1049497323569255,0.0006389434501900875
6,iteration2_max_fuel_temp,1073.45,1073.484027127127,6.104319316847779
7,iteration2_max_global_stress,144.71,148.77798191026844,9.96026104780934
7,iteration2_keff,1.1031737681241385,1.1033684609414938,0.0004866699473601618
7,iteration2_max_fuel_temp,1072.47,1076.7093828293416,4.661510031823029
8,iteration2_max_global_stress,101.95,102.9659674544639,14.8072405866439
8,iteration2_keff,1.105135295405671,1.1052170546961377,0.0006498886267165114
8,iteration2_max_fuel_temp,1073.62,1073.5741109724484,6.357000819280247
9,iteration2_max_global_stress,155.34,162.89321850125103,9.974480402323321
9,iteration2_keff,1.1035018116069673,1.1035333057471601,0.0003132582641182167
9,iteration2_max_fuel_temp,1073.27,1077.8878186957031,4.836543116745752
10,iteration2_max_global_stress,192.55,192.35540850449723,12.488974056179543
10,iteration2_keff,1.102895518086272,1.103050408747889,0.00030767544625877953
10,iteration2_max_fuel_temp,1077.79,1077.737086241121,4.802986892453658
11,iteration2_max_global_stress,192.29,197.83508253618842,11.534789663440295
