category,case_idx,sigma_k,y_true_stress,P_exceed_131,stress_mean,stress_std,stress_p5,stress_p95
low_stress,0,0.5,105.96,0.07425,105.42956725628753,17.09411729946917,78.6119161147908,134.45835686520292
low_stress,0,1.0,105.96,0.22545,107.5025208137754,32.873671977552945,56.52507980428724,164.15438214401837
low_stress,0,2.0,105.96,0.3783,115.52914702891547,69.19598459319627,11.61202115680121,236.5595575599151
low_stress,1,0.5,116.78,0.1784,116.33049199853711,16.162287314737796,91.18145102999434,144.03085584705536
low_stress,1,1.0,116.78,0.3031,117.49268544436279,29.510193190673622,72.21151913639582,168.32131766537339
low_stress,1,2.0,116.78,0.4233,124.6821901172347,63.12053531129496,32.08696162399137,236.9913147700872
low_stress,2,0.5,118.66,0.16945,115.77634237691409,15.92276893981384,90.85369850449517,143.2953708605348
low_stress,2,1.0,118.66,0.2934,116.7206424618597,28.652254973177364,72.05163770043384,165.86086172264365
low_stress,2,2.0,118.66,0.4088,121.94428168524236,61.38629083554701,29.016955284288457,228.32061577733182
near_threshold,0,0.5,128.92,0.5387,132.70798879590612,14.339784787905065,109.66667561762134,156.7405420500935
near_threshold,0,1.0,128.92,0.52525,133.5435319400578,27.22476164775488,90.76126509188482,179.68604383220415
near_threshold,0,2.0,128.92,0.52225,136.8537274741247,57.80387170502094,46.581912750982525,236.73653081615245
near_threshold,1,0.5,123.51,0.5513,133.32796732432303,14.86855496547235,109.55785931841748,158.13825012652072
near_threshold,1,1.0,123.51,0.53395,134.41234712659573,28.946386022579354,88.29792391139817,183.70994911869133
near_threshold,1,2.0,123.51,0.52435,138.79867928723135,61.7453354772873,44.17795385612488,246.05338348904263
near_threshold,2,0.5,128.33,0.56575,133.8293844721621,14.315559186162389,111.21964627250907,158.45268387889303
near_threshold,2,1.0,128.33,0.53745,134.70853458372855,25.44513848593201,95.33807406914275,178.3524862619159
near_threshold,2,2.0,128.33,0.54615,141.51290056592882,55.01606346187259,59.97208838336635,239.7810604933544
above_threshold,0,0.5,134.23,0.7658,143.91552398060858,17.470934411595817,116.40111405953222,173.71791070686828
above_threshold,0,1.0,134.23,0.67225,145.71336448539589,30.136024296869405,99.45393124744585,197.8906794794534
above_threshold,0,2.0,134.23,0.62485,155.27917579320481,64.85934177946653,60.296483564489016,271.6264233074839
above_threshold,1,0.5,173.4,0.9484,159.88418709365115,18.397153677427028,130.71488348772968,191.2858898225207
above_threshold,1,1.0,173.4,0.8426,162.73539267730993,32.19309139856406,114.50489168699451,219.62501519405026
above_threshold,1,2.0,173.4,0.73395,174.93610935036335,67.69670015084547,77.52552154935489,297.94149553081866
above_threshold,2,0.5,133.98,0.633,137.4303705122108,16.814541611230485,110.95825912903305,166.08540287858645
above_threshold,2,1.0,133.98,0.58715,138.73984898313404,28.517942755571454,94.92872716499082,188.47243008175238
above_threshold,2,2.0,133.98,0.5811,148.07801196161168,61.5519684099753,57.99513295462393,258.1927828803818
extreme_stress,0,0.5,186.34,0.9992,186.24711247823535,18.801457874604722,155.75843066055688,217.87943070220186
extreme_stress,0,1.0,186.34,0.97335,188.74613791289315,32.079997374577175,137.94262955593922,243.81876562168733
extreme_stress,0,2.0,186.34,0.85445,198.32999526893616,67.03448647506609,99.8312729888888,316.0713413707861
extreme_stress,1,0.5,203.37,0.99985,209.20401248496225,23.996741554756834,170.95872349287308,249.7830013377337
extreme_stress,1,1.0,203.37,0.98035,212.74224195459607,43.922586498508124,145.57701538396452,288.9500596461308
extreme_stress,1,2.0,203.37,0.8754,225.78976923209046,85.13701165086303,101.15639978687584,378.4375930942345
extreme_stress,2,0.5,194.69,0.9999,191.40827349282728,17.118888816735147,163.86070742429652,219.9954520843287
extreme_stress,2,1.0,194.69,0.9811,193.30423687546744,32.39999913072379,142.39423256224924,248.87390060548537
extreme_stress,2,2.0,194.69,0.85975,202.64627021454564,69.05770534532422,98.31134380918482,323.34757309599576
