sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,keff_mean,keff_std,sample_source
0.5,110.0,0.9985,160.5058097914855,18.930810926010885,130.31668134031815,160.17472450359247,192.45718627176478,160.6687469482422,12.56810639219841,1.103592054021001,0.0006196760197469467,predictive
0.5,120.0,0.98825,160.5058097914855,18.930810926010885,130.31668134031815,160.17472450359247,192.45718627176478,160.6687469482422,12.56810639219841,1.103592054021001,0.0006196760197469467,predictive
0.5,131.0,0.94605,160.5058097914855,18.930810926010885,130.31668134031815,160.17472450359247,192.45718627176478,160.6687469482422,12.56810639219841,1.103592054021001,0.0006196760197469467,predictive
1.0,110.0,0.9635,162.66768296605431,31.681088911815657,114.02065694057413,160.88320948307586,218.1072602774306,162.66098022460938,10.23710671671451,1.1035692977917904,0.0007730029377592508,predictive
1.0,120.0,0.92005,162.66768296605431,31.681088911815657,114.02065694057413,160.88320948307586,218.1072602774306,162.66098022460938,10.23710671671451,1.1035692977917904,0.0007730029377592508,predictive
1.0,131.0,0.842,162.66768296605431,31.681088911815657,114.02065694057413,160.88320948307586,218.1072602774306,162.66098022460938,10.23710671671451,1.1035692977917904,0.0007730029377592508,predictive
2.0,110.0,0.8261,170.42580164174723,65.73291265899634,74.32873016116234,164.72558796782124,288.56688381010423,170.35317993164062,5.093493631693553,1.1034260068701702,0.0012934603872025814,predictive
2.0,120.0,0.7765,170.42580164174723,65.73291265899634,74.32873016116234,164.72558796782124,288.56688381010423,170.35317993164062,5.093493631693553,1.1034260068701702,0.0012934603872025814,predictive
2.0,131.0,0.7155,170.42580164174723,65.73291265899634,74.32873016116234,164.72558796782124,288.56688381010423,170.35317993164062,5.093493631693553,1.1034260068701702,0.0012934603872025814,predictive
3.0,110.0,0.75185,184.3358566426013,106.96892508591571,31.105331297880458,171.7339186218129,378.6693731882441,184.33984375,2.1537417095436577,1.1031339909647606,0.0019442485796537716,predictive
3.0,120.0,0.71315,184.3358566426013,106.96892508591571,31.105331297880458,171.7339186218129,378.6693731882441,184.33984375,2.1537417095436577,1.1031339909647606,0.0019442485796537716,predictive
3.0,131.0,0.67005,184.3358566426013,106.96892508591571,31.105331297880458,171.7339186218129,378.6693731882441,184.33984375,2.1537417095436577,1.1031339909647606,0.0019442485796537716,predictive
