level,output,iter,group,MAE,RMSE,R2,PICP90,MPIW90,CRPS,y_true_mean,y_true_std,y_pred_mean,y_pred_std,sigma_mean,sigma_std
2,iteration1_keff,iter1,secondary,0.007941883273145463,0.01082802195227492,-2.68790825929369e+24,1.0,0.20183380339979612,0.01521769222331696,1.1133589146381262,6.604529839557912e-15,1.1098170280456543,0.010232362896203995,0.06135311984382141,0.011324056683742789
2,iteration1_avg_fuel_temp,iter1,secondary,3.031848503726654,3.934519304270066,0.8268756760060597,0.8873563218390804,12.542002364374182,2.160745395681857,1015.7095862068967,9.456112603808274,1015.4849853515625,8.367364883422852,3.812498011637425,1.1435632774986326
2,iteration1_max_fuel_temp,iter1,secondary,5.362534561332618,6.943022376478071,0.8207956559868732,0.8896551724137931,21.701666109461417,3.816711487586421,1102.5969425287356,16.401149919985684,1102.2003173828125,14.543913841247559,6.596838087557586,1.7411518961335384
2,iteration1_max_monolith_temp,iter1,secondary,6.152875516343391,8.008057831614844,0.8206403716829179,0.8873563218390804,25.03147125176115,4.376892995619819,1067.6377931034483,18.908838526994522,1067.2818603515625,16.496501922607422,7.609026980155614,2.494665494827176
2,iteration1_max_global_stress,iter1,secondary,8.279094679558414,10.784884547449998,0.9338751822364728,0.9218390804597701,36.913440264114804,5.895822541697732,204.12827586206893,41.94046644939545,203.73329162597656,39.85441589355469,11.220889098967795,2.7862943972523744
2,iteration1_monolith_new_temperature,iter1,secondary,1.019667658315638,1.3401884389147691,0.8271407578905275,0.8850574712643678,4.1586350964763215,0.72422153728414,955.2710376125942,3.2234398078431044,955.189697265625,2.798340320587158,1.2641353091654197,0.4691389867874049
2,iteration1_Hcore_after,iter1,secondary,0.0126257049140271,0.01677469484063281,0.9912600005900454,1.0,0.32831366333359696,0.02455316842280424,152.34211064290463,0.17943159873955578,152.34820556640625,0.1792818158864975,0.09980026731682042,0.028307728985868943
2,iteration1_wall2,iter1,secondary,0.0010512591383751403,0.0013046834546896425,0.997137690853378,1.0,0.010482644747041825,0.0009496198327979119,29.92301347269419,0.024386354666563474,29.923397064208984,0.0245516300201416,0.003186497745234065,0.0005010559569416808
2,iteration2_keff,iter2,primary,0.00019946682288461497,0.0002524746441256169,0.8750441571619886,0.9632183908045977,0.001135762287555041,0.00014726629228942287,1.1035140998516226,0.0007142322967836061,1.1035274267196655,0.0006925040506757796,0.00034524722107341616,5.5420927027279764e-05
2,iteration2_avg_fuel_temp,iter2,secondary,1.8734649110991375,2.3965752043922515,0.5942094512254196,0.8827586206896552,7.3671421115525435,1.3339279991219979,1000.8180459770115,3.7621845693052203,1000.7645263671875,2.959477186203003,2.2394521891916357,0.42443151236692234
2,iteration2_max_fuel_temp,iter2,primary,3.513627963362066,4.46475179429611,0.5953188409657529,0.8873563218390804,13.779359458248967,2.4931526400793684,1074.1947126436783,7.018443819897574,1074.0577392578125,5.382016181945801,4.188627861005255,0.7145764601317797
2,iteration2_max_monolith_temp,iter2,primary,3.972184458063933,5.0574540495441385,0.5908330585353065,0.8781609195402299,15.57526216644667,2.8219747326236213,1036.6151264367816,7.9064526925427225,1036.4588623046875,6.149748802185059,4.734543521454075,0.8578304110210361
2,iteration2_max_global_stress,iter2,primary,5.9297327312601045,7.71796216580212,0.9326701695385224,0.9241379310344827,26.606502113429944,4.259447694042927,162.28165517241376,29.743966605755734,162.39378356933594,28.36220932006836,8.08780236656733,1.167279088539136
2,iteration2_monolith_new_temperature,iter2,secondary,0.5137948954726815,0.664870842538562,0.6017077649165574,0.8919540229885058,2.0600977426222777,0.3666671310715533,950.7525669690575,1.0535044340504716,950.7330322265625,0.8125393390655518,0.626225248516614,0.15851468481773404
2,iteration2_Hcore_after,iter2,secondary,0.045821306500095645,0.6013353446811021,0.0761760292543393,0.9977011494252873,0.5987889236980742,0.07197396246256861,152.35674369500077,0.6256365575044418,152.33592224121094,0.17486518621444702,0.18201890851767,0.051790985534723506
2,iteration2_wall2,iter2,primary,0.0009530691799159138,0.0011684918752953922,0.997648026712859,0.9977011494252873,0.010038990945839182,0.0008871165543181725,29.91956785837831,0.024094033208322662,29.919958114624023,0.02438543364405632,0.0030516365655116925,0.000422065650012322
