level,input,output,iter,group,pearson_input_true,spearman_input_true,pearson_input_pred,spearman_input_pred,pearson_input_abs_error,spearman_input_abs_error,pearson_input_sq_error,spearman_input_sq_error,pearson_input_sigma,spearman_input_sigma,abs_rank
2,alpha_base,iteration2_keff,iter2,primary,-0.8223578966890969,-0.8145146600312609,-0.8825493898131228,-0.8866162067200656,0.07686641003336536,0.1065106575443438,0.04657036192261692,0.1065106575443438,0.6413000492709371,0.658811986931124,1.0
2,SS316_T_ref,iteration2_keff,iter2,primary,-0.01909841818302983,0.023074862149068752,-0.02511581753475059,0.012546905747432653,0.09597799999138895,0.08998952044274137,0.08237143760463367,0.08998952044274137,0.20623711425816404,0.1505737026951514,2.0
2,nu,iteration2_keff,iter2,primary,-0.09619541668347743,-0.057182150986711186,-0.13913499456486536,-0.09614174089929144,-0.040271944135955036,-0.04281043937803773,-0.013681998860968698,-0.04281043937803773,0.12294874503875045,0.06544707292791566,3.0
2,SS316_k_ref,iteration2_keff,iter2,primary,-0.06585776320330117,-0.05884683823609524,-0.038499850033100406,-0.02313420182868009,0.03755779171203192,0.03397836209972351,0.04295270477633146,0.03397836209972351,0.05829596449152528,0.03483921128145428,4.0
2,E_intercept,iteration2_keff,iter2,primary,0.04110898581466254,0.042367964126292304,0.07668199344092919,0.07520060519492734,-0.01282074576802605,-0.02817287744793471,0.010882708308673264,-0.02817287744793471,0.033397283105310496,0.013206689844643666,5.0
2,SS316_alpha,iteration2_keff,iter2,primary,-0.06755585272885481,-0.07622873358525996,-0.10344725465716573,-0.10880152161767362,-0.037887772299463336,-0.02069495906989115,-0.04765682941715504,-0.02069495906989115,0.3666887732894665,0.33582405118274306,6.0
2,E_slope,iteration2_keff,iter2,primary,0.02609849846543038,0.039330743980851686,0.036298702513979514,0.05101337057253932,0.005578651208737951,0.017419699297542737,-0.030424013658253087,0.017419699297542737,-0.11927916860790733,-0.11528168103935953,7.0
2,alpha_slope,iteration2_keff,iter2,primary,-0.4872933247596253,-0.448753649803412,-0.48678740015058164,-0.4388145693356327,0.020648544180230495,0.0107610709422897,-0.010277976515952547,0.0107610709422897,0.3213195098596722,0.3285445834056163,8.0
2,alpha_base,iteration2_max_fuel_temp,iter2,primary,-0.07324026664801915,-0.06978835561795307,-0.061273031165725904,-0.05081227526876065,-0.10894479523803371,-0.11796182686624743,-0.07698596917920487,-0.11796182686624743,-0.3732394941723671,-0.3940589397288545,1.0
2,SS316_T_ref,iteration2_max_fuel_temp,iter2,primary,0.4103090425654511,0.40043787308119044,0.4984798531644186,0.5030876684169716,0.03663047579339633,0.0778067250806842,0.03191666356447464,0.0778067250806842,0.5680731396173795,0.5839529815402132,2.0
2,alpha_slope,iteration2_max_fuel_temp,iter2,primary,-0.04253822305411354,0.006606252316841077,-0.03262902367582594,0.0028868446344954457,-0.07111694026817887,-0.06676555419565762,-0.031903102410505826,-0.06676555419565762,-0.18576065732674077,-0.14355133012547777,3.0
2,SS316_k_ref,iteration2_max_fuel_temp,iter2,primary,-0.6458336210580786,-0.617019662094527,-0.8559531223022807,-0.8498228155184101,-0.046084057166900554,-0.049289895416466306,-0.042141871166743436,-0.049289895416466306,-0.6586563410445505,-0.616308184039638,4.0
2,E_intercept,iteration2_max_fuel_temp,iter2,primary,0.028110421318668154,0.049899155155553765,0.01241666459769199,0.02605707551266155,0.055422687063221336,0.030538421504205784,0.07374610979252998,0.030538421504205784,0.22539784673068455,0.2553436877397274,5.0
