level,input,output,iter,group,pearson_input_true,spearman_input_true,pearson_input_pred,spearman_input_pred,pearson_input_abs_error,spearman_input_abs_error,pearson_input_sq_error,spearman_input_sq_error,pearson_input_sigma,spearman_input_sigma
2,E_slope,iteration1_keff,iter1,secondary,,,0.2632969722055295,0.29418340149954236,-0.07124816147727112,-0.09665340281192428,-0.04569058418287363,-0.09665340281192428,-0.23316576463852282,-0.19192931642398062
2,E_slope,iteration1_avg_fuel_temp,iter1,secondary,-0.10881374918134923,-0.11930727605690641,-0.12940712802377496,-0.12261365544157608,-0.03468568304627502,-0.03287090420017163,-0.03205400657044353,-0.03287090420017163,-0.07214344613157171,-0.07088564597183475
2,E_slope,iteration1_max_fuel_temp,iter1,secondary,-0.10961779688084693,-0.11911137103627169,-0.14815373858453287,-0.13552117045761625,-0.01809519491386144,-0.030971950395990894,-0.012349757390913242,-0.030971950395990894,-0.06785999632192961,-0.05526525023476549
2,E_slope,iteration1_max_monolith_temp,iter1,secondary,-0.10929517998606927,-0.1190916010889187,-0.14435440315177206,-0.12670940790634086,-0.016942690598077573,-0.02251810342505465,-0.013856440715984958,-0.02251810342505465,-0.05694888660236722,-0.04403794045544487
2,E_slope,iteration1_max_global_stress,iter1,secondary,0.15496953724312523,0.15188564930054835,0.1481655118306385,0.15290099702892163,0.024331713410556278,0.004799029697594816,0.03140265310365034,0.004799029697594816,0.04295633087416441,0.04445547569638906
2,E_slope,iteration1_monolith_new_temperature,iter1,secondary,-0.107077098161867,-0.1192331712269334,-0.14379494771163412,-0.12680832468740955,-0.02715791162487483,-0.03611584019291315,-0.024047360462210912,-0.03611584019291315,-0.09134187283535729,-0.08552263250227372
2,E_slope,iteration1_Hcore_after,iter1,secondary,-0.03519746369072484,-0.039898887665498865,-0.05491898549147114,-0.0636270783032464,-0.20389233043549793,-0.1454107602032651,-0.22757023497294795,-0.1454107602032651,-0.1631324776110863,-0.15668214018853363
2,E_slope,iteration1_wall2,iter1,secondary,-0.04942361360893378,-0.07482494669182352,-0.05770102524416228,-0.08088484231899268,-0.10712720019505599,-0.09777735078730573,-0.12695332307057472,-0.09777735078730573,-0.09580671450101293,-0.04014694645642942
2,E_slope,iteration2_keff,iter2,primary,0.02609849846543038,0.039330743980851686,0.036298702513979514,0.05101337057253932,0.005578651208737951,0.017419699297542737,-0.030424013658253087,0.017419699297542737,-0.11927916860790733,-0.11528168103935953
2,E_slope,iteration2_avg_fuel_temp,iter2,secondary,-0.09203489651841167,-0.08905680578784775,-0.13975049773856923,-0.13461546101961044,0.009563388412535625,-0.008294209765794189,0.010929977925396859,-0.008294209765794189,-0.0014767680158372224,0.02437522335200679
