level,input,input_bin,n_in_bin,output,iter,group,bin_x_mean,bin_x_min,bin_x_max,MAE_bin,RMSE_bin,y_true_mean_bin,y_pred_mean_bin,sigma_mean_bin,PICP90_bin
2,E_slope,"(-6.364e+07, +inf)",87,iteration1_keff,iter1,secondary,-60266155.53078054,-63624598.87189503,-54752093.33602985,0.008016380127160992,0.010996694645323131,1.113358914638127,1.1128877401351929,0.05494595580231184,1.0
2,E_slope,"(-6.364e+07, +inf)",87,iteration1_avg_fuel_temp,iter1,secondary,-60266155.53078054,-63624598.87189503,-54752093.33602985,3.0823156036727757,3.99703234104841,1015.0559770114944,1014.6546630859375,3.664923249531929,0.8850574712643678
2,E_slope,"(-6.364e+07, +inf)",87,iteration1_max_fuel_temp,iter1,secondary,-60266155.53078054,-63624598.87189503,-54752093.33602985,5.521353493175289,7.2154556341847025,1101.4737931034483,1100.403076171875,6.438737312690822,0.8620689655172413
2,E_slope,"(-6.364e+07, +inf)",87,iteration1_max_monolith_temp,iter1,secondary,-60266155.53078054,-63624598.87189503,-54752093.33602985,6.279338182471261,8.159399092247867,1066.3374712643679,1065.3857421875,7.279564080154672,0.8505747126436781
2,E_slope,"(-6.364e+07, +inf)",87,iteration1_max_global_stress,iter1,secondary,-60266155.53078054,-63624598.87189503,-54752093.33602985,8.798083222487877,11.504508677829985,219.96367816091953,218.17576599121094,11.453466223346046,0.9080459770114943
2,E_slope,"(-6.364e+07, +inf)",87,iteration1_monolith_new_temperature,iter1,secondary,-60266155.53078054,-63624598.87189503,-54752093.33602985,1.0377470175612309,1.3590774132622896,955.0457424504583,954.8389282226562,1.194289721446913,0.8505747126436781
2,E_slope,"(-6.364e+07, +inf)",87,iteration1_Hcore_after,iter1,secondary,-60266155.53078054,-63624598.87189503,-54752093.33602985,0.010918750208735799,0.014278016378303799,152.34794851816082,152.35121154785156,0.09430928805325811,1.0
2,E_slope,"(-6.364e+07, +inf)",87,iteration1_wall2,iter1,secondary,-60266155.53078054,-63624598.87189503,-54752093.33602985,0.0009071127637608258,0.001164935508428364,29.924151393319182,29.924118041992188,0.0030125304707121184,1.0
2,E_slope,"(-6.364e+07, +inf)",87,iteration2_keff,iter2,primary,-60266155.53078054,-63624598.87189503,-54752093.33602985,0.00020774801538956183,0.00025063546758037327,1.1034752806464305,1.103501796722412,0.000339125433471051,0.9770114942528736
2,E_slope,"(-6.364e+07, +inf)",87,iteration2_avg_fuel_temp,iter2,secondary,-60266155.53078054,-63624598.87189503,-54752093.33602985,2.0061136741199728,2.575348876744164,1000.5414942528736,1000.3060302734375,2.230730404470349,0.8505747126436781
2,E_slope,"(-6.364e+07, +inf)",87,iteration2_max_fuel_temp,iter2,primary,-60266155.53078054,-63624598.87189503,-54752093.33602985,3.7520652613146472,4.793704426729154,1073.653563218391,1073.2967529296875,4.14679673074557,0.8620689655172413
