output,input,S1_cross_mean,S1_cross_std,S1_cross_min,S1_cross_max,ST_cross_mean,ST_cross_std,ST_cross_min,ST_cross_max,n_seeds,rank_mean,rank_std,rank_min,rank_max,rank_range,rank_stable
iteration2_max_global_stress,E_slope,0.03469747256268057,0.003980786493484725,0.030156748420391333,0.03913054781218284,0.038930425727494354,0.0006232906944946984,0.03795590289754925,0.03948740133262832,5,5.8,0.44721359549995787,5,6,1,True
iteration2_max_global_stress,E_intercept,0.5456240320824073,0.0017139830330159282,0.5437542746986339,0.5477117078452064,0.5667317812321844,0.001750058930572082,0.5641649571605746,0.5686355102239875,5,1.0,0.0,1,1,0,True
iteration2_max_global_stress,nu,0.059903416365371144,0.0024182933772097636,0.05785165122143978,0.06391497728621971,0.06767483256009062,0.00047192579187473976,0.06694305285355032,0.0682286214043797,5,3.4,0.5477225575051661,3,4,1,True
iteration2_max_global_stress,alpha_base,0.19896854939325886,0.007182241606459865,0.19527364350378285,0.21180289634439375,0.2164587589489843,0.001597365470028192,0.21436448489194984,0.21776261989388682,5,2.0,0.0,2,2,0,True
iteration2_max_global_stress,alpha_slope,0.04073651370939529,0.0047538400244427036,0.03515716761718788,0.04813937870616878,0.047970938435407263,0.0003012806133499202,0.047517710375448254,0.04834027842209474,5,5.2,0.44721359549995787,5,6,1,True
iteration2_max_global_stress,SS316_T_ref,0.01907764264019487,0.003492167898369793,0.014688633607578348,0.02328625497591645,0.032325726530584506,0.0005308533550632179,0.03181910628166119,0.03315704786926671,5,7.0,0.0,7,7,0,True
iteration2_max_global_stress,SS316_k_ref,0.06026846546371765,0.005470368476992767,0.055052400639113014,0.06875375037875134,0.07407541147369222,0.0006022196010750655,0.07339829647002478,0.07495853678295901,5,3.6,0.5477225575051661,3,4,1,True
iteration2_max_global_stress,SS316_alpha,0.0007266657614694307,0.0032978562407139306,-0.002959993899637061,0.004927053443161107,0.005319799983548047,4.091152709751381e-05,0.00527620497278827,0.005371140183951843,5,8.0,0.0,8,8,0,True
iteration2_keff,E_slope,0.0010163657697568455,0.002697082134029898,-0.0014927679662095406,0.004939055293481484,0.00489895685177784,0.00021446946515260443,0.004675558900622463,0.005197422713003258,5,7.2,0.8366600265340756,6,8,2,False
iteration2_keff,E_intercept,0.007139574871754732,0.004956315937823708,0.002427160681096663,0.013481178198645614,0.0067583827278910585,0.0003125247331596434,0.006436050197053782,0.007120263999231916,5,4.6,0.5477225575051662,4,5,1,True
iteration2_keff,nu,0.018343229063495364,0.0037060775428318705,0.014457760274448702,0.02247319002150259,0.019487405051420582,0.0006138623076639426,0.018483829918216767,0.0199814105281058,5,3.0,0.0,3,3,0,True
iteration2_keff,alpha_base,0.769156341573438,0.0023898890238453516,0.7666717794893991,0.7721075716650354,0.7711140141701692,0.0061233484054447635,0.7647986303258429,0.7791451575415757,5,1.0,0.0,1,1,0,True
iteration2_keff,alpha_slope,0.193740182033678,0.006715183470290228,0.1860058815484743,0.2018773174579801,0.19788564159718727,0.0023795018347096816,0.19559211817928648,0.20077483751225011,5,2.0,0.0,2,2,0,True
iteration2_keff,SS316_T_ref,0.006510666685737611,0.004180978732546447,0.003241093669123858,0.013302381359093094,0.011079017289067208,0.00023239298009439024,0.010795274131142956,0.011388047743008714,5,5.8,1.3038404810405297,4,7,3,False
iteration2_keff,SS316_k_ref,0.003377875999583188,0.00619926406320425,-0.004722545187118117,0.010079817473293434,0.005860900404865714,0.00023722204410674998,0.005491796984842046,0.006102126285211137,5,6.2,1.788854381999832,4,8,4,False
iteration2_keff,SS316_alpha,0.004014172118035381,0.00710561247209464,-0.0032214135843961155,0.01358547292468682,0.009501945066525182,0.000485497973993992,0.00898395050940785,0.010080160339931725,5,6.2,1.4832396974191326,4,8,4,False
