seed,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi
2026,iteration2_max_global_stress,E_slope,0.03913054781218284,0.03199151728647936,0.04626957833788633,0.0387011489380656,0.038077602041137894,0.03932469583499331
2026,iteration2_max_global_stress,E_intercept,0.5448138498023489,0.5405184731252896,0.5491092264794083,0.56586666061071,0.5614697495812544,0.5702635716401656
2026,iteration2_max_global_stress,nu,0.059635144883844866,0.05284246773807021,0.06642782202961951,0.06760789113592268,0.06650867608331006,0.0687071061885353
2026,iteration2_max_global_stress,alpha_base,0.19608448673554396,0.19026902074628887,0.20189995272479905,0.21436448489194984,0.21193371141849307,0.2167952583654066
2026,iteration2_max_global_stress,alpha_slope,0.03877337100894717,0.03280685178143776,0.04473989023645658,0.047949174276565455,0.04690112847791697,0.04899722007521394
2026,iteration2_max_global_stress,SS316_T_ref,0.01881299349022384,0.011746234710073421,0.02587975227037426,0.032094265318677935,0.031403390117138615,0.032785140520217255
2026,iteration2_max_global_stress,SS316_k_ref,0.06181191249229611,0.055748409589381195,0.06787541539521103,0.07339829647002478,0.07215211731044174,0.07464447562960783
2026,iteration2_max_global_stress,SS316_alpha,-0.0018153907660691116,-0.009259408108028626,0.0056286265758904025,0.0052864674289392925,0.0050277585873304866,0.005545176270548098
2026,iteration2_keff,E_slope,-0.0014927679662095406,-0.012096439803939991,0.009110903871520911,0.00481493660068526,0.004348499541439442,0.0052813736599310775
2026,iteration2_keff,E_intercept,0.002427160681096663,-0.007930155781357912,0.012784477143551238,0.006436050197053782,0.005937710455708597,0.006934389938398966
2026,iteration2_keff,nu,0.014506480979619709,0.004265530759062788,0.02474743120017663,0.018483829918216767,0.017756687039414076,0.019210972797019457
2026,iteration2_keff,alpha_base,0.7668936551086502,0.7639807682497572,0.7698065419675431,0.7654280380453656,0.7561441852286185,0.7747118908621128
2026,iteration2_keff,alpha_slope,0.18797946136483581,0.17869318106212476,0.19726574166754687,0.1998970010594453,0.1975550651240949,0.2022389369947957
2026,iteration2_keff,SS316_T_ref,0.005046763909079666,-0.005453502723033966,0.015547030541193298,0.011388047743008714,0.010771348280109349,0.012004747205908078
2026,iteration2_keff,SS316_k_ref,-0.004722545187118117,-0.015662267163220864,0.006217176788984632,0.006102126285211137,0.00555468638253609,0.006649566187886184
2026,iteration2_keff,SS316_alpha,-0.0032214135843961155,-0.01141615082660165,0.004973323657809418,0.009035415404543883,0.008580573101628667,0.009490257707459098
2027,iteration2_max_global_stress,E_slope,0.030156748420391333,0.023194991696460082,0.037118505144322585,0.03912677458160229,0.03835801030552785,0.03989553885767673
2027,iteration2_max_global_stress,E_intercept,0.5437542746986339,0.5387215445981344,0.5487870047991334,0.5677427694673759,0.5630810628627875,0.5724044760719643
2027,iteration2_max_global_stress,nu,0.05816669591428934,0.05072262506608403,0.06561076676249465,0.0682286214043797,0.06695084742227005,0.06950639538648935
2027,iteration2_max_global_stress,alpha_base,0.1960444404926084,0.18943835164138603,0.2026505293438308,0.2151200148429038,0.21261048175033775,0.21762954793546985
2027,iteration2_max_global_stress,alpha_slope,0.04135440875357343,0.03468425338910745,0.0480245641180394,0.047517710375448254,0.046648503214404884,0.048386917536491623
2027,iteration2_max_global_stress,SS316_T_ref,0.014688633607578348,0.0065307533837878524,0.022846513831368844,0.03252562308556068,0.031797532119064116,0.033253714052057244
2027,iteration2_max_global_stress,SS316_k_ref,0.055052400639113014,0.047784003625504674,0.06232079765272135,0.07410209894227417,0.0728085480165051,0.07539564986804323
2027,iteration2_max_global_stress,SS316_alpha,0.0003715971368232651,-0.006134227958384461,0.006877422232030991,0.00527620497278827,0.005053083707468949,0.005499326238107591
2027,iteration2_keff,E_slope,0.004939055293481484,-0.005568297997962132,0.0154464085849251,0.004765772904180465,0.00435017030740286,0.0051813755009580695
2027,iteration2_keff,E_intercept,0.013481178198645614,0.0038567021800227485,0.023105654217268477,0.006502774797699341,0.006109791590568992,0.00689575800482969
2027,iteration2_keff,nu,0.021037636111872433,0.0120936301505953,0.029981642073149566,0.019716330054414664,0.019115072114225064,0.020317587994604265
2027,iteration2_keff,alpha_base,0.7692698512179535,0.7665300789865461,0.772009623449361,0.7647986303258429,0.7566354699402873,0.7729617907113986
2027,iteration2_keff,alpha_slope,0.2018773174579801,0.1935735496100619,0.2101810853058983,0.19568866646442712,0.19283135248101002,0.19854598044784422
2027,iteration2_keff,SS316_T_ref,0.013302381359093094,0.004233513605613297,0.02237124911257289,0.010795274131142956,0.01030690095192574,0.011283647310360172
2027,iteration2_keff,SS316_k_ref,0.0015391009920468735,-0.007947544827362749,0.011025746811456495,0.005491796984842046,0.005103271649434417,0.005880322320249674
2027,iteration2_keff,SS316_alpha,0.01358547292468682,0.004536611916117421,0.02263433393325622,0.00898395050940785,0.008627843854015946,0.009340057164799754
2028,iteration2_max_global_stress,E_slope,0.03533302547618225,0.029680356273980926,0.040985694678383575,0.039380900887626316,0.0387048521206456,0.04005694965460703
2028,iteration2_max_global_stress,E_intercept,0.547158062452415,0.5428055429889186,0.5515105819159115,0.5686355102239875,0.5639844059058883,0.5732866145420867
2028,iteration2_max_global_stress,nu,0.06391497728621971,0.057546534671218785,0.07028341990122064,0.0678815457283167,0.06683781713181132,0.06892527432482208
2028,iteration2_max_global_stress,alpha_base,0.19563727988996527,0.18935177428946456,0.20192278549046597,0.2176985197179204,0.2147773464107361,0.2206196930251047
2028,iteration2_max_global_stress,alpha_slope,0.040258242461099186,0.033774146078501766,0.04674233884369661,0.04811093523499958,0.0472589864812928,0.048962883988706365
2028,iteration2_max_global_stress,SS316_T_ref,0.02328625497591645,0.016290908920646822,0.03028160103118608,0.03203259009775603,0.0313506685709626,0.03271451162454946
2028,iteration2_max_global_stress,SS316_k_ref,0.05966895530777501,0.05335786350530466,0.06598004711024535,0.07426278318483549,0.07286027847239641,0.07566528789727457
