model_id,ood_feature,split,output,epistemic_std_mean,aleatoric_std_mean,MAE,RMSE,R2,PICP,MPIW,CRPS
bnn-baseline,E_intercept,in_dist,iteration1_avg_fuel_temp,1.6534311646317639,4.115641662130186,2.8706651564197214,3.886997705723107,0.8335327689527926,0.9430591737997767,14.627256830652213,2.079239754949854
bnn-baseline,E_intercept,in_dist,iteration1_max_fuel_temp,2.974783402214645,7.378218377365151,4.998632589304992,6.675667112262634,0.8360740232127017,0.9538518794194268,26.250020053285905,3.627053606542933
bnn-baseline,E_intercept,in_dist,iteration1_max_monolith_temp,3.251724549068605,8.442369869998952,5.756339026127594,7.687016073835845,0.8367206062447661,0.9490137700037217,29.83908786313822,4.168957830481374
bnn-baseline,E_intercept,in_dist,iteration1_max_global_stress,8.19784455929219,13.31033737188108,7.639420919750655,9.951183629327922,0.9190060763124137,0.9858578340156308,51.637332294646356,5.877790009194232
bnn-baseline,E_intercept,in_dist,iteration1_monolith_new_temperature,0.5296075695961742,1.4167040068816297,0.9624799157385369,1.3427382275849329,0.830604574696262,0.9519910681056941,4.99219048368173,0.6970098298176977
bnn-baseline,E_intercept,in_dist,iteration1_Hcore_after,0.04515937777007949,0.10627619981483495,0.03710846545241257,0.5191406326369937,0.12329867261182592,0.9981391886862672,0.39327918274250523,0.044726181077238525
bnn-baseline,E_intercept,in_dist,iteration1_wall2,0.003426095360168097,0.0043088835578743165,0.0013553547679373951,0.0017459635696974061,0.9943885806154037,1.0,0.018166408353007858,0.0014821515305047362
bnn-baseline,E_intercept,in_dist,iteration2_keff,0.00013606257473837286,0.0004139212280419257,0.0002466582646893914,0.0010558076865332191,0.3079174906452117,0.9691105321920357,0.0014440166217437947,0.0001978189545195711
bnn-baseline,E_intercept,in_dist,iteration2_avg_fuel_temp,0.6964175348021914,2.4079702422257148,1.7344303654746929,2.227338574406519,0.6301318775849005,0.9330107927056196,8.26030601044672,1.245787149159447
bnn-baseline,E_intercept,in_dist,iteration2_max_fuel_temp,1.361259108052504,4.398772295069367,3.264390237103474,4.1761894273333855,0.6261938226631825,0.9266840342389282,15.181956599781667,2.3407290999926493
bnn-baseline,E_intercept,in_dist,iteration2_max_monolith_temp,1.5471711387836549,5.035301330927657,3.648874231886095,4.69299923521319,0.6281260596431383,0.9296613323409006,17.36575152673489,2.6266109405261258
bnn-baseline,E_intercept,in_dist,iteration2_max_global_stress,6.048183090641096,9.81406975117292,5.606776708051323,7.0760849123157925,0.9133314287274671,0.9899516189058429,38.06377561144307,4.295888614116592
bnn-baseline,E_intercept,in_dist,iteration2_monolith_new_temperature,0.19625248029958708,0.6649113523653726,0.47753445777750575,0.622366637780636,0.6307885890911519,0.93189430591738,2.2864394036123756,0.3439565964610282
bnn-baseline,E_intercept,in_dist,iteration2_Hcore_after,0.05663603678229145,0.26494622306466786,0.03840365430059072,0.516063552150049,0.11324862292236648,0.9977670264235207,0.906510539631641,0.08469092652533372
bnn-baseline,E_intercept,in_dist,iteration2_wall2,0.003278783478614894,0.004325389331386778,0.0012567809262370641,0.0015854803356169008,0.9952553932687535,1.0,0.017915415646658297,0.0014364211937832711
bnn-baseline,E_intercept,ood,iteration1_avg_fuel_temp,1.9344418606381253,4.3036115467118075,2.8528935324142415,4.070282153139274,0.838640406486473,0.9724770642201835,15.561411072000112,2.0568898288451747
bnn-baseline,E_intercept,ood,iteration1_max_fuel_temp,3.3083140587121775,7.639247777513503,5.021522986806643,6.9962823429485,0.8405567677182486,0.9694189602446484,27.456290517792098,3.614740630056778
bnn-baseline,E_intercept,ood,iteration1_max_monolith_temp,4.069939413500111,8.723660806146771,5.708674357172267,7.987800290552784,0.8439784783456302,0.9709480122324159,31.743521208543324,4.119707437347512
bnn-baseline,E_intercept,ood,iteration1_max_global_stress,9.773043189085541,15.10034698429942,8.655435303196997,12.394769393780056,0.962034648402352,0.9908256880733946,59.483954122624745,6.621877342922968
